rcdc_cso,INCa/INSERM/DGOS pubs,National Cancer Institute pubs,Cancer Research UK pubs,Wellcome Trust pubs,National Health and Medical Research Council pubs
HUMAN GENOME * 1. Biology,161.51937229437226,1947.7756225256032,257.1783730158729,93.15892857142856,345.38937590187476
NUTRITION * 3. Prevention,157.85317460317458,2528.391688866672,194.83910533910526,32.5642857142857,402.97138555888483
LUNG * 5. Treatment,156.32837301587304,1199.5013167388192,85.69404761904767,12.57460317460317,174.78724747474735
INFECTIOUS DISEASES * 2. Etiology,145.52228049728032,1264.1885355385398,96.92119963369962,64.32438672438686,353.6192580567577
PEDIATRIC * 5. Treatment,144.31446608946595,632.6205863580866,53.559920634920715,4.994444444444445,101.48910950160969
STEM CELL RESEARCH * 1. Biology,139.2886002886001,1795.7136516261633,225.22821067821042,24.264880952380956,377.3237734487718
"BREAST CANCER * 6. Cancer Control, Survivorship",138.50903679653683,2280.482178932176,164.48928571428573,10.842857142857143,381.14583333333314
HEMATOLOGY * 1. Biology,137.90943362193357,1146.856576756584,138.2928932178932,30.1031746031746,268.26809163059073
KIDNEY DISEASE * 5. Treatment,131.82142857142853,339.7626984126984,80.39999999999999,3.4166666666666665,49.82916666666667
DIGESTIVE DISEASES * 2. Etiology,129.2490120990121,1545.381555019071,145.37119963369955,38.89366883116884,368.84043410293367
"AGING * 6. Cancer Control, Survivorship",128.54947691197694,1743.9477675102505,141.02063492063473,13.431547619047619,370.7039321789308
LYMPHOMA * 5. Treatment,124.5933621933621,579.5796550671535,57.773611111111215,2.713690476190476,45.86922105672112
PROSTATE CANCER * 5. Treatment,123.46527777777759,656.152218614722,95.29365079365074,20.426190476190474,153.23075396825377
AGING * 5. Treatment,123.17242063492054,492.67344599844546,80.35059523809518,11.695833333333331,76.98118686868698
BREAST CANCER * 2. Etiology,122.16349206349201,1793.0603174603098,203.6208333333332,73.70555555555559,550.9202380952361
NEUROSCIENCES * 1. Biology,111.87480158730162,981.8986203611275,118.18219696969705,47.00972222222226,313.3909632034623
NEUROSCIENCES * 5. Treatment,111.14487734487741,867.7579499204551,54.71051587301596,11.016865079365077,117.23555194805184
NUTRITION * 2. Etiology,106.18360389610392,1499.082597957608,111.86073232323237,17.46904761904762,234.42525252525203
LUNG CANCER * 5. Treatment,104.57142857142848,880.9094516594591,60.678174603174625,9.36626984126984,72.17196969696975
"BIOTECHNOLOGY * 4. Early Detection, Diagnosis",102.6303571428571,1589.7335618085626,105.9787393162393,20.911904761904754,170.53432539682524
HUMAN GENOME * 2. Etiology,99.61455627705627,1965.532081807105,272.76845238095154,131.85241702741706,515.0502344877307
"HEMATOLOGY * 4. Early Detection, Diagnosis",94.04009740259735,308.07979797979687,44.138888888888914,3.576190476190476,29.15773809523808
"PEDIATRIC * 6. Cancer Control, Survivorship",89.22193362193367,701.5507205757227,65.9321428571429,12.480357142857143,235.76915584415545
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 5. Treatment,87.71661255411277,401.4061785436797,20.577976190476182,4.311904761904763,43.77432983682989
BRAIN DISORDERS * 5. Treatment,87.66233766233775,814.3967638842697,44.61587301587305,4.272222222222223,83.48390359640365
COLO-RECTAL CANCER * 5. Treatment,87.37142857142852,391.39408369408306,80.77460317460316,11.092460317460315,101.34761904761905
"UROLOGIC DISEASES * 4. Early Detection, Diagnosis",86.77261904761899,1019.9652777777948,134.77619047619024,64.22976190476199,108.31626984126979
BIOENGINEERING * 5. Treatment,86.41746031746031,1651.7576562326535,56.83452380952383,29.25753968253967,252.46562049062047
PEDIATRIC CANCER * 5. Treatment,85.01323953823974,414.54885114885184,28.366865079365073,2.1333333333333333,56.74031801531822
HEMATOLOGY * 2. Etiology,78.70168858918865,561.0363969363952,52.829599567099685,20.77400793650792,66.24531024531039
VACCINE RELATED * 1. Biology,78.2376984126984,509.7657106782101,60.637698412698455,17.514087301587303,221.319444444444
PEDIATRIC * 2. Etiology,76.45932539682536,563.1567270692249,52.83297258297264,24.702579365079355,183.07404401154386
PEDIATRIC * 1. Biology,75.81657647907652,621.4580599955585,67.67245670995682,16.94722222222221,201.51884920634913
LUNG * 2. Etiology,72.45767704517708,538.9047549672553,33.344047619047615,5.005555555555557,139.81130952380946
"HEMATOLOGY * 6. Cancer Control, Survivorship",72.33731962481963,283.23117993117916,35.13670634920636,3.4000000000000004,54.58412698412699
LIVER DISEASE * 5. Treatment,70.29388528138537,267.56375337625224,23.253571428571423,7.9580808080808065,39.70891654641658
BRAIN DISORDERS * 1. Biology,70.07857142857151,721.3469609094643,70.71949855699866,24.745238095238093,124.96966089466115
"COLO-RECTAL CANCER * 4. Early Detection, Diagnosis",69.62857142857142,595.0799963924958,86.22182539682541,10.702777777777778,143.74642857142854
"UROLOGIC DISEASES * 6. Cancer Control, Survivorship",68.03571428571432,558.8253968253963,68.80873015873023,10.18452380952381,196.86587301587278
AGING * 2. Etiology,65.23287545787552,1281.7167499167685,128.7669011544014,29.443253968253945,250.80645743145612
"NEUROSCIENCES * 4. Early Detection, Diagnosis",61.28892496392502,561.7413221038204,40.577651515151516,4.366666666666667,73.51756854256872
"MENTAL HEALTH * 6. Cancer Control, Survivorship",60.93816738816747,761.4141816516881,97.34801587301587,5.6075396825396835,317.9336580086566
"BRAIN DISORDERS * 4. Early Detection, Diagnosis",58.74547258297264,444.2623718873699,28.882413419913405,2.074603174603175,54.6570526695528
"COLO-RECTAL CANCER * 6. Cancer Control, Survivorship",58.70357142857146,525.5776154401146,63.797619047619094,2.1595238095238094,137.47559523809522
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 1. Biology,58.38353174603189,889.6848526473623,117.5893217893218,12.13730158730158,192.80371572871502
"LUNG * 4. Early Detection, Diagnosis",58.07619047619049,556.118849206349,48.14166666666668,9.25674603174603,119.26190476190467
REGENERATIVE MEDICINE * 5. Treatment,56.421608946609126,230.80096153845997,7.266666666666668,1.724206349206349,37.938467088467114
"AGING * 4. Early Detection, Diagnosis",55.4542027417028,887.4403721278828,123.79888167388138,32.715873015872994,134.12150072150067
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 5. Treatment,54.40595238095239,258.65694444444443,35.203571428571436,0.9166666666666666,34.466666666666676
"BRAIN DISORDERS * 6. Cancer Control, Survivorship",54.035497835497935,403.15638250638114,47.46428571428576,5.341305916305917,173.50452741702713
COLO-RECTAL CANCER * 1. Biology,53.18373015873017,524.3690476190458,90.4730158730159,21.297222222222224,147.15
"PROSTATE CANCER * 4. Early Detection, Diagnosis",51.35595238095242,778.6607142857229,96.27023809523786,64.79642857142865,94.17936507936506
"NEUROSCIENCES * 6. Cancer Control, Survivorship",51.35503246753252,381.3454767454754,40.73650793650794,3.60952380952381,142.8904220779221
AGING * 1. Biology,50.628373015873045,895.7156135531244,79.784577922078,11.731349206349206,127.40883838383833
"LIVER DISEASE * 4. Early Detection, Diagnosis",49.82739898989905,158.95268759018734,18.74520757020757,3.0595238095238098,19.90119047619046
"HUMAN GENOME * 4. Early Detection, Diagnosis",49.31587301587307,364.42117003366883,50.21051587301597,11.8563492063492,64.33793290043307
"PAIN RESEARCH * 6. Cancer Control, Survivorship",49.194065656565684,585.530674880676,77.92857142857149,7.6000000000000005,176.8883297258296
CHILDHOOD LEUKEMIA * 5. Treatment,48.5278860028861,216.46314657564437,13.616865079365068,1.2753968253968253,26.58849622599621
LUNG CANCER * 2. Etiology,46.42870879120881,322.15896464646346,17.916666666666664,2.897222222222222,24.972023809523805
"LUNG * 6. Cancer Control, Survivorship",46.36210317460321,483.0760461760449,64.9636904761905,2.5166666666666666,196.56845238095235
"DENTAL/ORAL AND CRANIOFACIAL DISEASE * 6. Cancer Control, Survivorship",46.15119047619049,178.44696275946268,37.10833333333334,4.583333333333334,69.36124338624343
"PEDIATRIC * 4. Early Detection, Diagnosis",45.6150793650794,166.84191225441177,15.816269841269838,5.696825396825397,25.413924963924956
INFECTIOUS DISEASES * 5. Treatment,45.49650072150077,569.2922526547517,45.926587301587325,11.883874458874457,142.30265752765737
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 1. Biology,44.723917748917835,495.8477022977019,47.76670274170284,6.571626984126985,87.20642135642157
LUNG * 1. Biology,44.299007936507955,780.2106060606114,50.21845238095241,11.75952380952381,97.3119047619048
HIV/AIDS * 2. Etiology,44.09177905427909,618.262286324786,41.089484126984146,35.44839466089467,115.14434223184234
ESTROGEN * 2. Etiology,43.82857142857145,374.67828282828145,25.33928571428571,8.991666666666667,52.752579365079384
"NUTRITION * 6. Cancer Control, Survivorship",43.51091269841271,503.3221320346314,56.27797619047624,6.919444444444446,124.42858946608948
BIOENGINEERING * 1. Biology,43.33531746031746,760.8928751803763,46.35119047619049,38.34761904761905,56.21547619047622
TOBACCO * 2. Etiology,41.48750000000004,422.3034331409335,21.90257936507937,5.751190476190476,48.3253968253969
PANCREATIC CANCER * 5. Treatment,41.27500000000004,367.48380230879974,32.196428571428555,2.266666666666666,23.671969696969708
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 2. Etiology,41.16666666666667,346.63791486291467,22.238095238095237,3.625,199.45297619047625
SMOKING AND HEALTH * 2. Etiology,41.154166666666704,419.71593314093343,21.569246031746033,5.251190476190476,48.3253968253969
LYMPHOMA * 2. Etiology,40.921926684426744,310.41568570318384,25.86666666666665,11.166468253968254,35.559523809523824
LIVER DISEASE * 2. Etiology,40.86925019425029,232.0586654086642,16.7083028083028,5.443470418470418,74.23415103415117
"LYMPHOMA * 4. Early Detection, Diagnosis",39.91926406926407,112.14545454545443,17.024999999999995,0.8333333333333333,11.822619047619051
BIOTECHNOLOGY * 2. Etiology,39.07292568542572,670.167534317536,61.899969474969566,34.19994588744591,125.97111592111594
UROLOGIC DISEASES * 1. Biology,38.29940476190475,1021.760515873031,102.702380952381,14.892261904761904,167.18035714285708
INFECTIOUS DISEASES * 1. Biology,37.534722222222236,504.2491272616269,54.53694083694086,20.037301587301588,258.1041666666663
"PAIN CONDITIONS - CHRONIC * 6. Cancer Control, Survivorship",36.96787518037519,442.3911907536891,49.81071428571435,6.1000000000000005,119.28436147186144
"LUNG CANCER * 4. Early Detection, Diagnosis",36.959523809523816,358.1795634920621,32.85833333333332,4.673412698412698,61.34166666666674
"CARDIOVASCULAR * 6. Cancer Control, Survivorship",36.81240981240982,441.53168498168367,55.74424603174607,16.86587301587301,122.65304834054832
"INFECTIOUS DISEASES * 6. Cancer Control, Survivorship",36.588852813852824,175.2927308802305,18.171626984126988,14.417730880230877,88.56126142376141
BRAIN CANCER * 5. Treatment,35.74920634920634,508.3138329263329,17.913690476190467,2.4763888888888888,31.0163059163059
PEDIATRIC RESEARCH INITIATIVE * 5. Treatment,34.7254329004329,152.30221167721112,16.741071428571416,3.496626984126985,24.207647907647896
EMERGING INFECTIOUS DISEASES * 2. Etiology,34.605956543456585,313.0904294779292,28.005128205128205,15.097366522366517,101.88519721019735
OBESITY * 2. Etiology,34.265386002886,538.8982323232322,34.52918470418471,11.413888888888884,90.03475829725845
SUBSTANCE ABUSE * 2. Etiology,33.58663836163836,244.79377844377666,16.550793650793647,3.402813852813853,58.67288961038973
PEDIATRIC CANCER * 1. Biology,32.71836219336221,230.19181512931348,17.282972582972565,3.000595238095238,37.05025252525256
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 2. Etiology,31.451190476190465,186.36886030635995,10.722619047619046,2.8583333333333334,17.45945767195767
LIVER DISEASE * 1. Biology,31.332557720057746,259.1914682539672,20.095634920634925,5.981944444444444,48.58333333333335
OBESITY * 3. Prevention,31.31111111111111,845.1211260961334,54.28474025974026,14.751190476190475,130.73743894993876
UROLOGIC DISEASES * 2. Etiology,30.628968253968253,657.5034562659587,78.99146825396838,17.19781746031744,103.45039682539709
REGENERATIVE MEDICINE * 1. Biology,30.393055555555534,553.4496503496499,77.2940836940838,10.596031746031747,141.1444264069264
OVARIAN CANCER * 5. Treatment,29.152380952380945,372.4686507936494,46.27103174603182,9.64722222222222,56.4726190476191
"ALCOHOLISM, ALCOHOL USE AND HEALTH * 2. Etiology",28.607586857586856,149.32161727161687,11.712698412698412,1.6016233766233765,38.55925324675325
BRAIN DISORDERS * 2. Etiology,28.416407203907212,297.18752913752735,27.015909090909087,25.95119047619045,68.83109668109685
LYMPHOMA * 1. Biology,28.349603174603175,241.99408369408206,23.588888888888878,6.139285714285713,38.899801587301624
GENETIC TESTING * 2. Etiology,28.102164502164495,355.2277528027513,40.563888888888904,22.87186147186146,152.60122655122626
"REHABILITATION * 6. Cancer Control, Survivorship",27.93059163059162,823.6989468864522,42.86904761904764,5.0,203.09312770562767
"BRAIN CANCER * 4. Early Detection, Diagnosis",27.512698412698406,203.76416453916386,12.514484126984126,1.7412698412698413,8.38095238095238
"TRANSPLANTATION * 6. Cancer Control, Survivorship",27.48217893217892,188.52225829725813,5.104166666666666,1.4416666666666667,29.99424603174603
SEXUALLY TRANSMITTED DISEASES/HERPES * 2. Etiology,27.088293650793645,314.8995060495049,24.462499999999995,9.999801587301588,104.33108465608473
VACCINE RELATED * 2. Etiology,26.85589826839829,239.21432780182718,15.130753968253964,7.854310966810969,84.76352212602232
COLO-RECTAL CANCER * 2. Etiology,26.80476190476191,603.0854978354973,67.41170634920645,15.905555555555553,149.57123015873012
EMERGING INFECTIOUS DISEASES * 1. Biology,26.629978354978356,261.2763098013093,38.50836940836942,19.36468253968254,145.3345238095238
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 5. Treatment,26.44855699855699,254.88730991230835,10.450595238095232,2.3222222222222224,30.47721167721169
"PROSTATE CANCER * 6. Cancer Control, Survivorship",26.255952380952372,354.5753968253955,46.692063492063554,6.5178571428571415,144.70694444444442
BRAIN CANCER * 1. Biology,25.58630952380952,349.6009791134772,14.755952380952376,4.173611111111112,20.664718614718605
CARDIOVASCULAR * 5. Treatment,25.5845238095238,167.6718253968255,19.18452380952381,1.45,31.989880952380947
"MIND AND BODY * 6. Cancer Control, Survivorship",25.38198051948051,529.5188131313121,56.04265873015879,2.2499999999999996,225.96776695526665
"DEPRESSION * 6. Cancer Control, Survivorship",24.83221500721499,351.7707722832707,38.17380952380954,1.8547619047619048,124.93124098124102
"COST EFFECTIVENESS RESEARCH * 6. Cancer Control, Survivorship",24.825000000000003,174.88075396825377,34.245039682539684,24.44134199134199,86.81904761904765
"CERVICAL CANCER * 4. Early Detection, Diagnosis",24.518650793650796,272.3666666666667,52.532142857142865,1.45,79.7817460317461
AUTOIMMUNE DISEASE * 1. Biology,24.38273809523809,292.31798340548283,33.89166666666667,13.907142857142857,135.15764790764797
"KIDNEY DISEASE * 4. Early Detection, Diagnosis",24.246428571428574,175.72222222222226,20.78333333333333,,26.584523809523798
LUNG CANCER * 1. Biology,24.173412698412697,479.21417748917645,27.651190476190475,4.625,32.766666666666666
CHRONIC LIVER DISEASE AND CIRRHOSIS * 2. Etiology,23.837576312576353,126.39928589928594,9.35413614163614,3.6204184704184703,52.58312289562311
NEURODEGENERATIVE * 1. Biology,23.407539682539674,218.07199883449826,30.93695887445886,7.432738095238094,59.246139971140096
BIODEFENSE * 1. Biology,22.572619047619046,160.31928210678217,21.707936507936505,6.330753968253966,112.53115079365085
KIDNEY DISEASE * 1. Biology,22.44404761904762,284.9380952380951,47.27698412698414,9.502777777777776,73.46071428571432
"LUNG CANCER * 6. Cancer Control, Survivorship",22.41646825396826,228.73908730158698,37.09722222222223,0.26666666666666666,68.20396825396828
CHILDHOOD LEUKEMIA * 1. Biology,22.35169552669553,133.5735680985681,8.669480519480517,1.6293650793650793,17.245652958152956
"CONTRACEPTION/REPRODUCTION * 6. Cancer Control, Survivorship",22.245238095238083,154.14785353535345,16.132936507936506,3.1666666666666665,61.36984126984135
"KIDNEY DISEASE * 6. Cancer Control, Survivorship",22.06904761904762,122.80142496392494,14.071428571428571,2.583333333333333,49.394841269841315
PANCREATIC CANCER * 1. Biology,21.96865079365079,350.36249999999797,31.721825396825373,6.276785714285715,27.97896825396825
HEPATITIS * 2. Etiology,21.878160728160754,108.26997493247517,6.423977411477412,3.6410894660894657,46.09614598364612
"HEART DISEASE * 6. Cancer Control, Survivorship",20.52074314574314,250.59851398601364,32.11646825396825,7.332539682539681,73.58789682539685
ORPHAN DRUG * 1. Biology,20.11138167388167,260.20968429718295,20.641865079365083,4.125793650793651,33.483477633477634
PAIN RESEARCH * 5. Treatment,19.942261904761907,67.08607503607507,13.699999999999996,1.2666666666666666,15.952380952380942
EMERGING INFECTIOUS DISEASES * 5. Treatment,19.799873737373744,199.7378764753761,16.43690476190476,5.702922077922079,52.677747715247754
NEUROSCIENCES * 2. Etiology,19.51224053724054,243.82732683982516,19.326424963924946,14.98412698412697,62.46069624819636
LIVER CANCER * 5. Treatment,19.46666666666666,76.85812243312259,3.4416666666666664,0.9833333333333333,3.428968253968254
NUTRITION * 1. Biology,19.39761904761905,400.7675324675316,27.620634920634913,10.086111111111112,72.13134920634933
PROSTATE CANCER * 1. Biology,19.048214285714288,840.0125000000096,83.5476190476191,9.299999999999999,129.08988095238087
DIGESTIVE DISEASES * 3. Prevention,18.986670274170276,485.41802965552944,41.123611111111096,5.121969696969697,58.15861592111596
"DENTAL/ORAL AND CRANIOFACIAL DISEASE * 4. Early Detection, Diagnosis",17.888888888888893,167.4575396825395,25.152380952380952,0.3214285714285714,17.9
"PEDIATRIC CANCER * 4. Early Detection, Diagnosis",17.816269841269836,38.63538961038965,5.1984126984126995,1.1718253968253967,5.114880952380954
KIDNEY DISEASE * 2. Etiology,17.742857142857137,201.23753607503602,17.83531746031746,7.977777777777778,16.08733766233766
NEURODEGENERATIVE * 5. Treatment,17.704563492063492,101.74973082473097,10.203373015873016,2.771230158730159,22.257936507936513
TOBACCO * 3. Prevention,17.43412698412698,1291.191474266489,233.23571428571458,23.169444444444434,281.74067460317434
SMOKING AND HEALTH * 3. Prevention,17.43412698412698,1257.2319504569653,229.23571428571452,20.669444444444437,279.74067460317445
DIABETES * 2. Etiology,17.26015512265512,321.41608252858214,16.92283549783549,20.824603174603176,54.33495670995676
CONTRACEPTION/REPRODUCTION * 2. Etiology,17.163492063492058,197.2078102453101,12.7281746031746,5.013095238095238,42.73042929292932
CARDIOVASCULAR * 3. Prevention,17.075,326.9709235209226,24.124007936507926,7.816666666666666,56.709895659895714
AGING * 3. Prevention,17.056746031746034,471.7226232101219,35.14009740259741,1.7166666666666666,60.590866078366126
CERVICAL CANCER * 2. Etiology,17.006547619047616,212.90183982683877,17.411309523809514,3.4123015873015876,57.025925925925975
CONTRACEPTION/REPRODUCTION * 1. Biology,16.992857142857144,159.1238095238095,15.391666666666671,16.766666666666666,158.84345238095233
CARDIOVASCULAR * 1. Biology,16.98611111111111,261.3974206349206,25.249999999999993,10.153571428571428,62.857539682539745
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 1. Biology,16.97142857142857,166.75238095238092,11.61190476190476,1.1809523809523808,18.358730158730147
VACCINE RELATED * 3. Prevention,16.661670274170262,252.73887686387513,16.632539682539672,3.4844696969696964,72.76263828763844
PEDIATRIC CANCER * 2. Etiology,16.50833333333334,91.11976218226222,8.380393217893218,4.176190476190476,19.56239177489177
PEDIATRIC RESEARCH INITIATIVE * 2. Etiology,16.322420634920636,94.40516983016981,3.8643217893217896,2.0492063492063495,21.955303030303032
OVARIAN CANCER * 2. Etiology,16.2876984126984,401.5511363636342,42.442063492063504,8.644047619047619,115.91984126984121
"NANOTECHNOLOGY * 4. Early Detection, Diagnosis",15.655555555555555,771.6912809412847,5.833333333333333,5.111111111111111,24.841269841269842
LIVER CANCER * 2. Etiology,15.63513014763013,54.87586996337017,3.3958028083028085,0.7367424242424243,7.555411255411256
NANOTECHNOLOGY * 5. Treatment,15.463888888888883,770.2360112110149,9.446428571428573,10.157539682539683,56.58427128427135
ESTROGEN * 5. Treatment,15.416666666666668,158.0521825396825,29.69999999999998,3.5500000000000003,22.66944444444444
"PEDIATRIC CANCER * 6. Cancer Control, Survivorship",15.337409812409804,149.3756604506602,4.3273809523809526,0.6553571428571429,9.518253968253967
HIV/AIDS * 1. Biology,15.140476190476187,160.93492063492047,21.766666666666662,11.210119047619047,78.91150793650796
"INFECTIOUS DISEASES * 4. Early Detection, Diagnosis",14.5275974025974,203.5550685425683,21.940445665445665,1.3309523809523807,56.83412698412705
NUTRITION * 5. Treatment,14.23452380952381,250.61765873015844,12.252777777777776,3.815873015873016,37.62323232323233
"PANCREATIC CANCER * 4. Early Detection, Diagnosis",14.166666666666664,177.2103174603173,13.85,1.1666666666666665,4.544047619047619
HUMAN GENOME * 5. Treatment,14.114880952380954,209.22931605431558,25.50456349206349,8.38095238095238,21.598412698412687
"CARDIOVASCULAR * 4. Early Detection, Diagnosis",14.018686868686869,192.03689782439773,12.331818181818182,3.561111111111111,9.313888888888886
AUTOIMMUNE DISEASE * 5. Treatment,13.98154761904762,137.54788961038955,21.613095238095237,2.1666666666666665,37.76626984126985
"LIVER CANCER * 4. Early Detection, Diagnosis",13.77777777777777,46.071121933622,2.044017094017094,,3.692063492063492
"CHRONIC LIVER DISEASE AND CIRRHOSIS * 4. Early Detection, Diagnosis",13.340494227994222,35.63185425685428,5.136874236874237,0.39285714285714285,10.317460317460318
"DIABETES * 6. Cancer Control, Survivorship",13.28472222222222,174.44089105339097,21.067063492063493,3.2499999999999996,63.518253968254
"OVARIAN CANCER * 6. Cancer Control, Survivorship",13.259523809523806,93.00753968253976,13.20833333333333,1.7083333333333333,36.05595238095239
PEDIATRIC * 3. Prevention,13.128968253968251,770.2868927368971,49.61408730158736,17.97420634920634,175.0804292929294
"GENETIC TESTING * 4. Early Detection, Diagnosis",12.957738095238094,101.62982804232803,19.626587301587296,4.082539682539683,24.820039682539687
"GENETICS * 6. Cancer Control, Survivorship",12.81785714285714,282.5895313020304,27.10714285714285,6.454599567099568,61.383134920634944
"NEURODEGENERATIVE * 6. Cancer Control, Survivorship",12.450270562770555,78.61136779886806,12.515079365079364,1.8470238095238094,50.005862193362304
"HIV/AIDS * 6. Cancer Control, Survivorship",12.400595238095239,90.6076839826839,17.99761904761905,20.23582251082251,17.17911856661856
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 3. Prevention,12.375,141.34226190476193,1.5,,52.64166666666667
"LIVER DISEASE * 6. Cancer Control, Survivorship",12.106800144300141,52.20160533910543,4.292857142857143,3.975306637806638,21.238510101010093
"AUTOIMMUNE DISEASE * 6. Cancer Control, Survivorship",12.062698412698408,56.14666305916314,6.57063492063492,1.3333333333333333,7.7109487734487745
GENE THERAPY * 5. Treatment,11.967496392496392,354.41145798645636,36.25753968253968,4.845634920634921,34.502680652680645
"STEM CELL RESEARCH * 6. Cancer Control, Survivorship",11.876406926406924,58.91055194805208,3.1458333333333335,,10.144444444444442
DIABETES * 1. Biology,11.626190476190475,184.16213924963915,27.51666666666667,32.11785714285713,73.94166666666666
"OVARIAN CANCER * 4. Early Detection, Diagnosis",11.458333333333336,217.51765873015887,41.34404761904763,1.9400793650793648,22.944444444444454
AUTOIMMUNE DISEASE * 2. Etiology,10.796536796536795,116.70551948051977,11.76666666666666,18.48333333333333,27.673214285714273
HIV/AIDS * 5. Treatment,10.785750360750358,288.1899447774441,8.070634920634921,6.820183982683983,33.928373015873035
"ORPHAN DRUG * 4. Early Detection, Diagnosis",10.755555555555553,97.62333453583449,6.717628205128206,2.078968253968254,6.5884920634920645
BREAST CANCER * 3. Prevention,10.628174603174601,299.3971001220991,16.288690476190478,0.14285714285714285,34.95833333333332
TRANSPLANTATION * 1. Biology,10.588095238095237,116.29744977244994,14.680555555555554,0.9761904761904762,37.60328282828284
BIODEFENSE * 2. Etiology,10.394191919191911,92.48304473304486,6.402777777777778,2.6092712842712844,36.78793290043292
"PEDIATRIC RESEARCH INITIATIVE * 4. Early Detection, Diagnosis",10.37222222222222,31.43380230880234,2.5537698412698413,1.3611111111111112,4.680357142857144
HEART DISEASE * 5. Treatment,10.26785714285714,62.03888888888898,7.934523809523811,,15.038690476190476
"BIOENGINEERING * 6. Cancer Control, Survivorship",10.122258297258298,133.8254148629149,11.895833333333332,1.6444444444444444,29.672817460317454
STEM CELL RESEARCH * 2. Etiology,10.018398268398265,121.39965867465847,11.627218614718615,4.1438492063492065,19.529924242424233
LIVER CANCER * 1. Biology,9.949224386724385,86.38504689754707,3.0670634920634927,0.6527777777777778,4.742460317460319
CERVICAL CANCER * 5. Treatment,9.947619047619048,45.529761904761926,3.7083333333333335,0.7142857142857142,8.114880952380952
INFECTIOUS DISEASES * 3. Prevention,9.816432178932175,168.68480038479976,10.565873015873011,4.226136363636362,54.76720177970191
