rcdc_cso,INCa/INSERM/DGOS share,National Cancer Institute share,Cancer Research UK share,Wellcome Trust share,National Health and Medical Research Council share,average_share
PROSTATE CANCER * 3. Prevention,0.0010963309457681625,0.007077823976897461,0.006536626654355187,0.00045413260672116256,0.001357417412574255,0.0033044663192632454
CERVICAL CANCER * 3. Prevention,0.0010476051259562442,0.00225075872026953,0.0022968605724838415,0.004768392370572207,0.005396070209391715,0.0031519373997347076
"UTERINE CANCER * 4. Early Detection, Diagnosis",0.0009745163962383668,0.0005916012674305118,0.0009464450600184672,,0.0009340644571674329,
PANCREATIC CANCER * 3. Prevention,0.0006131332326333057,0.0017696045444484554,0.0008310249307479224,,0.000846705910813644,
LIVER CANCER * 3. Prevention,0.0004872581981191833,0.0006695901350767192,0.00032317636195752536,,8.063865817272801e-05,
CERVICAL CANCER * 1. Biology,0.0004628952882132242,0.0010004857592327678,0.0011772853185595567,0.0022706630336058126,0.0006719888181060666,0.0011166636435434856
UTERINE CANCER * 5. Treatment,0.000438532378307265,0.000524382291030686,0.00034626038781163435,0.0013623978201634877,0.0011155014380560709,0.0007574148630738288
UTERINE CANCER * 1. Biology,0.0003654436485893875,0.0016741610254719062,0.00110803324099723,0.00715258855585831,0.003736257828669731,0.002807296859917313
"HPV AND/OR CERVICAL CANCER VACCINES * 4. Early Detection, Diagnosis",0.0002192661891536325,0.00032198261071076826,0.000554016620498615,,0.0012498992016772839,
PEDIATRIC CANCER * 3. Prevention,0.00017054036934171414,0.0004211398852895169,,,0.0005913501599333386,
BRAIN CANCER * 3. Prevention,0.000146177459435755,0.00018494502898957623,,0.00045413260672116256,8.063865817272801e-05,
OVARIAN CANCER * 3. Prevention,7.30887297178775e-05,0.0008827597066430175,0.0002077562326869806,,0.0007795070290030375,
UTERINE CANCER * 3. Prevention,7.30887297178775e-05,0.0003966290983149948,6.925207756232688e-05,,1.3439776362121334e-05,
"UTERINE CANCER * 6. Cancer Control, Survivorship",4.8725819811918335e-05,0.0006443365969817566,6.925207756232688e-05,,0.0010214230035212215,
"HPV AND/OR CERVICAL CANCER VACCINES * 6. Cancer Control, Survivorship",3.654436485893875e-05,0.0005960577741531524,0.00026546629732225304,0.0008514986376021798,0.0016732521570841064,0.0006845638462041261
HPV AND/OR CERVICAL CANCER VACCINES * 5. Treatment,2.4362909905959167e-05,0.00021725470272871908,0.0001038781163434903,0.0005108991825613079,0.00026879552724242664,0.0002250380877563806
HPV AND/OR CERVICAL CANCER VACCINES * 1. Biology,,3.342380041980293e-06,,,,
