="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="1.247",="0.786",="0.536",="2.043*",="-1.876",="-1.454",="1.061",="0.131"
="",="(1.467)",="(1.584)",="(1.776)",="(1.229)",="(1.824)",="(1.764)",="(1.784)",="(0.402)"
="post_flag=1 # National Cancer Institute",="0.467",="0.491",="0.448",="1.224",="-1.608",="-1.495",="-1.118",="-0.961"
="",="(1.347)",="(1.353)",="(1.341)",="(1.505)",="(1.341)",="(1.349)",="(1.367)",="(0.906)"
="post_flag=1 # National Health and Medical Rese",="0.213",="0.148",="0.107",="1.415",="-2.779*",="-2.704*",="-2.522",="-2.055"
="",="(1.481)",="(1.490)",="(1.512)",="(1.500)",="(1.630)",="(1.625)",="(1.622)",="(1.881)"
="post_flag=1 # Wellcome Trust",="3.712**",="3.411**",="3.119*",="0.410",="-1.522",="-1.566",="-2.501*",="-1.502***"
="",="(1.701)",="(1.714)",="(1.723)",="(1.229)",="(1.419)",="(1.428)",="(1.453)",="(0.402)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="3.298**",="4.240***",="4.222**",="",="5.873***",="5.012***",="1.792",=""
="",="(1.347)",="(1.639)",="(1.866)",="",="(1.787)",="(1.800)",="(2.092)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.403",="-0.498",="-0.511",="",="-0.195",="0.391",="-0.817",=""
="",="(0.822)",="(0.811)",="(0.812)",="",="(1.084)",="(1.187)",="(1.277)",=""
="start_year=2009",="2.095",="1.889",="2.029",="",="4.994***",="5.043***",="2.128",=""
="",="(1.323)",="(1.255)",="(1.380)",="",="(1.848)",="(1.858)",="(1.965)",=""
="start_year=2010",="0.348",="0.451",="0.403",="",="-0.469",="-0.180",="-1.574",=""
="",="(0.957)",="(0.964)",="(0.936)",="",="(1.346)",="(1.387)",="(1.457)",=""
="start_year=2011",="-0.570",="-0.572",="-0.595",="",="-0.246",="-0.204",="-0.805",=""
="",="(0.744)",="(0.737)",="(0.739)",="",="(1.156)",="(1.162)",="(1.123)",=""
="start_year=2012",="-1.354",="-1.259",="-1.251",="",="-0.571",="0.162",="-0.666",=""
="",="(0.876)",="(0.882)",="(0.881)",="",="(1.442)",="(1.518)",="(1.529)",=""
="F",="",="0.280",="0.304",="",="",="-2.390***",="-2.319***",=""
="",="",="(0.593)",="(0.594)",="",="",="(0.875)",="(0.879)",=""
="M",="",="1.146",="1.239",="",="",="-0.868",="-1.608*",=""
="",="",="(0.744)",="(0.814)",="",="",="(0.918)",="(0.945)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="-0.037",="",="",="",="-0.163",=""
="",="",="",="(0.094)",="",="",="",="(0.125)",=""
="rsr_career_age_2",="",="",="0.000",="",="",="",="0.008**",=""
="",="",="",="(0.003)",="",="",="",="(0.004)",=""
="Constant",="6.314***",="5.456***",="5.900***",="6.098***",="3.693***",="4.564***",="6.420***",="3.133***"
="",="(1.049)",="(1.249)",="(1.333)",="(0.361)",="(1.296)",="(1.623)",="(1.773)",="(0.093)"
="Observations",="1035",="1035",="1035",="1035",="1008",="1008",="1008",="1008"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
