="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="(1.445)",="(1.440)",="(1.419)",="(1.857)",="(8.473)",="(8.126)",="(7.795)",="(4.290)"
="post_flag=1 # National Health and Medical Rese",="2.145",="2.145",="2.002",="2.145",="-22.064***",="-22.064***",="-18.242**",="-22.064***"
="",="(1.759)",="(1.753)",="(1.727)",="(2.298)",="(8.531)",="(8.190)",="(8.807)",="(3.552)"
="post_flag=1 # Wellcome Trust",="5.692*",="5.692*",="4.313",="5.692",="-21.983**",="-21.983***",="-22.872***",="-21.983***"
="",="(3.205)",="(3.192)",="(3.096)",="(4.907)",="(8.572)",="(8.163)",="(8.021)",="(5.289)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-2.384",="-2.913",="-3.655**",="",="-3.146*",="-3.557**",="-3.046*",=""
="",="(1.811)",="(1.801)",="(1.774)",="",="(1.821)",="(1.810)",="(1.846)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.123",="0.237",="0.826*",="",="-9.230***",="-8.033***",="-6.716***",=""
="",="(0.436)",="(0.435)",="(0.426)",="",="(2.420)",="(2.253)",="(2.331)",=""
="start_year=2009",="5.028***",="5.111***",="4.250***",="",="-22.541***",="-24.787***",="-21.118***",=""
="",="(0.458)",="(0.457)",="(0.445)",="",="(2.268)",="(2.378)",="(4.999)",=""
="start_year=2010",="4.791***",="5.195***",="5.354***",="",="-9.770***",="-5.548***",="-6.533***",=""
="",="(0.521)",="(0.521)",="(0.509)",="",="(2.414)",="(2.110)",="(2.156)",=""
="start_year=2011",="6.389***",="6.926***",="7.239***",="",="1.554",="2.505",="2.301",=""
="",="(0.631)",="(0.633)",="(0.622)",="",="(3.343)",="(3.223)",="(3.066)",=""
="start_year=2012",="5.046***",="5.418***",="6.679***",="",="-1.918",="-1.418",="0.486",=""
="",="(0.652)",="(0.652)",="(0.643)",="",="(2.795)",="(2.704)",="(2.907)",=""
="F",="",="-2.226***",="-2.197***",="",="",="-8.654***",="-9.456***",=""
="",="",="(0.496)",="(0.485)",="",="",="(1.321)",="(1.332)",=""
="M",="",="6.837***",="2.411***",="",="",="3.587**",="2.101",=""
="",="",="(0.474)",="(0.468)",="",="",="(1.711)",="(1.799)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="2.178***",="",="",="",="-0.087",=""
="",="",="",="(0.034)",="",="",="",="(0.740)",=""
="rsr_career_age_2",="",="",="-0.031***",="",="",="",="0.021",=""
="",="",="",="(0.001)",="",="",="",="(0.019)",=""
="Constant",="17.430***",="13.881***",="-3.166***",="22.540***",="42.398***",="41.554***",="38.006***",="1.486***"
="",="(0.461)",="(0.612)",="(0.608)",="(0.206)",="(4.844)",="(4.366)",="(8.636)",="(0.013)"
="Observations",="132913",="132913",="132913",="132913",="98197",="98197",="98197",="98197"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
