="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="0.730",="",="",="0.746*",="",="",="0.745***",="",="",="0.730***",=""
="",="",="(0.448)",="",="",="(0.431)",="",="",="(0.246)",="",="",="(0.224)",=""
="post_1 # National Cancer Institute",="",="0.579*",="",="",="0.576*",="",="",="0.576***",="",="",="0.579***",=""
="",="",="(0.338)",="",="",="(0.325)",="",="",="(0.185)",="",="",="(0.184)",=""
="post_1 # National Health and Medical Rese",="",="0.616",="",="",="0.594",="",="",="0.597**",="",="",="0.616**",=""
="",="",="(0.401)",="",="",="(0.386)",="",="",="(0.251)",="",="",="(0.246)",=""
="post_1 # Wellcome Trust",="",="0.118",="",="",="-0.087",="",="",="-0.066",="",="",="0.118",=""
="",="",="(0.682)",="",="",="(0.656)",="",="",="(0.286)",="",="",="(0.270)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="1.026**",="",="",="1.047**",="",="",="1.045***",="",="",="1.026***",=""
="",="",="(0.448)",="",="",="(0.431)",="",="",="(0.293)",="",="",="(0.271)",=""
="post_2 # National Cancer Institute",="",="0.369",="",="",="0.366",="",="",="0.366*",="",="",="0.369**",=""
="",="",="(0.338)",="",="",="(0.325)",="",="",="(0.192)",="",="",="(0.172)",=""
="post_2 # National Health and Medical Rese",="",="0.474",="",="",="0.445",="",="",="0.448**",="",="",="0.474**",=""
="",="",="(0.401)",="",="",="(0.386)",="",="",="(0.218)",="",="",="(0.199)",=""
="post_2 # Wellcome Trust",="",="-0.281",="",="",="-0.545",="",="",="-0.517",="",="",="-0.281",=""
="",="",="(0.682)",="",="",="(0.656)",="",="",="(0.337)",="",="",="(0.300)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="0.722",="",="",="0.748*",="",="",="0.745**",="",="",="0.722**",=""
="",="",="(0.448)",="",="",="(0.431)",="",="",="(0.342)",="",="",="(0.295)",=""
="post_3 # National Cancer Institute",="",="0.252",="",="",="0.247",="",="",="0.248",="",="",="0.252",=""
="",="",="(0.338)",="",="",="(0.325)",="",="",="(0.216)",="",="",="(0.199)",=""
="post_3 # National Health and Medical Rese",="",="0.384",="",="",="0.350",="",="",="0.354",="",="",="0.384*",=""
="",="",="(0.401)",="",="",="(0.386)",="",="",="(0.250)",="",="",="(0.220)",=""
="post_3 # Wellcome Trust",="",="-0.292",="",="",="-0.615",="",="",="-0.581",="",="",="-0.292",=""
="",="",="(0.682)",="",="",="(0.656)",="",="",="(0.359)",="",="",="(0.334)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="0.598",="",="",="0.629",="",="",="0.625",="",="",="0.598*",=""
="",="",="(0.448)",="",="",="(0.431)",="",="",="(0.390)",="",="",="(0.328)",=""
="post_4 # National Cancer Institute",="",="0.051",="",="",="0.046",="",="",="0.046",="",="",="0.051",=""
="",="",="(0.338)",="",="",="(0.325)",="",="",="(0.272)",="",="",="(0.235)",=""
="post_4 # National Health and Medical Rese",="",="0.842**",="",="",="0.801**",="",="",="0.805**",="",="",="0.842***",=""
="",="",="(0.401)",="",="",="(0.386)",="",="",="(0.345)",="",="",="(0.319)",=""
="post_4 # Wellcome Trust",="",="-0.005",="",="",="-0.386",="",="",="-0.346",="",="",="-0.005",=""
="",="",="(0.682)",="",="",="(0.656)",="",="",="(0.765)",="",="",="(0.815)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="1.105**",="",="",="1.141***",="",="",="1.137***",="",="",="1.105***",=""
="",="",="(0.448)",="",="",="(0.431)",="",="",="(0.372)",="",="",="(0.337)",=""
="post_5 # National Cancer Institute",="",="0.287",="",="",="0.282",="",="",="0.282",="",="",="0.287",=""
="",="",="(0.338)",="",="",="(0.325)",="",="",="(0.256)",="",="",="(0.222)",=""
="post_5 # National Health and Medical Rese",="",="1.011**",="",="",="0.964**",="",="",="0.969***",="",="",="1.011***",=""
="",="",="(0.401)",="",="",="(0.386)",="",="",="(0.310)",="",="",="(0.259)",=""
="post_5 # Wellcome Trust",="",="-0.309",="",="",="-0.749",="",="",="-0.702*",="",="",="-0.309",=""
="",="",="(0.682)",="",="",="(0.656)",="",="",="(0.402)",="",="",="(0.390)",=""
="post_1",="",="",="1.872***",="",="",="0.222",="",="",="0.258",="",="",="1.872***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.205)",="",="",="(0.182)"
="post_2",="",="",="2.242***",="",="",="0.366",="",="",="0.403",="",="",="2.242***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.250)",="",="",="(0.212)"
="post_3",="",="",="2.782***",="",="",="0.694*",="",="",="0.730***",="",="",="2.782***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.264)",="",="",="(0.222)"
="post_4",="",="",="3.247***",="",="",="0.961**",="",="",="0.994***",="",="",="3.247***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.321)",="",="",="(0.269)"
="post_5",="",="",="3.038***",="",="",="0.569",="",="",="0.597*",="",="",="3.038***"
="",="",="",="(0.421)",="",="",="(0.406)",="",="",="(0.315)",="",="",="(0.261)"
="pre_-1",="",="",="1.315***",="",="",="0.159",="",="",="0.190",="",="",="1.315***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.177)",="",="",="(0.163)"
="pre_-2",="",="",="0.997**",="",="",="0.108",="",="",="0.134",="",="",="0.997***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.144)",="",="",="(0.142)"
="pre_-3",="",="",="0.730*",="",="",="0.124",="",="",="0.142",="",="",="0.730***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.129)",="",="",="(0.133)"
="pre_-4",="",="",="0.270",="",="",="-0.040",="",="",="-0.030",="",="",="0.270**"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.121)",="",="",="(0.124)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="1.388***",="",="",="-0.023",="",="",="0.012",="",="",="1.388***"
="",="",="",="(0.421)",="",="",="(0.405)",="",="",="(0.185)",="",="",="(0.166)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="1.254**",="",="",="1.282**",="",="",="1.279***",="",="",="1.254***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.317)",="",="",="(0.286)"
="post_1 # National Cancer Institute",="",="",="0.765*",="",="",="0.761*",="",="",="0.761***",="",="",="0.765***"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.242)",="",="",="(0.230)"
="post_1 # National Health and Medical Rese",="",="",="0.970*",="",="",="0.933*",="",="",="0.937***",="",="",="0.970***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.312)",="",="",="(0.296)"
="post_1 # Wellcome Trust",="",="",="0.234",="",="",="-0.114",="",="",="-0.074",="",="",="0.234"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.402)",="",="",="(0.366)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="1.550***",="",="",="1.583***",="",="",="1.579***",="",="",="1.550***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.368)",="",="",="(0.327)"
="post_2 # National Cancer Institute",="",="",="0.556",="",="",="0.550",="",="",="0.551**",="",="",="0.556**"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.263)",="",="",="(0.226)"
="post_2 # National Health and Medical Rese",="",="",="0.827",="",="",="0.784",="",="",="0.789***",="",="",="0.827***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.294)",="",="",="(0.262)"
="post_2 # Wellcome Trust",="",="",="-0.165",="",="",="-0.571",="",="",="-0.524",="",="",="-0.165"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.446)",="",="",="(0.381)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="1.246**",="",="",="1.284**",="",="",="1.280***",="",="",="1.246***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.407)",="",="",="(0.347)"
="post_3 # National Cancer Institute",="",="",="0.438",="",="",="0.432",="",="",="0.433",="",="",="0.438*"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.276)",="",="",="(0.244)"
="post_3 # National Health and Medical Rese",="",="",="0.738",="",="",="0.689",="",="",="0.695**",="",="",="0.738***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.322)",="",="",="(0.277)"
="post_3 # Wellcome Trust",="",="",="-0.177",="",="",="-0.640",="",="",="-0.587",="",="",="-0.177"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.469)",="",="",="(0.420)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="1.122*",="",="",="1.164**",="",="",="1.160**",="",="",="1.122***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.454)",="",="",="(0.385)"
="post_4 # National Cancer Institute",="",="",="0.237",="",="",="0.230",="",="",="0.231",="",="",="0.237"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.333)",="",="",="(0.285)"
="post_4 # National Health and Medical Rese",="",="",="1.195**",="",="",="1.140**",="",="",="1.146***",="",="",="1.195***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.407)",="",="",="(0.369)"
="post_4 # Wellcome Trust",="",="",="0.111",="",="",="-0.411",="",="",="-0.351",="",="",="0.111"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.792)",="",="",="(0.848)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="1.629***",="",="",="1.676***",="",="",="1.671***",="",="",="1.629***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.440)",="",="",="(0.392)"
="post_5 # National Cancer Institute",="",="",="0.474",="",="",="0.466",="",="",="0.467",="",="",="0.474*"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.324)",="",="",="(0.276)"
="post_5 # National Health and Medical Rese",="",="",="1.365***",="",="",="1.303***",="",="",="1.310***",="",="",="1.365***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.382)",="",="",="(0.319)"
="post_5 # Wellcome Trust",="",="",="-0.193",="",="",="-0.773",="",="",="-0.706",="",="",="-0.193"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.507)",="",="",="(0.468)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="0.851",="",="",="0.870",="",="",="0.868***",="",="",="0.851***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.258)",="",="",="(0.256)"
="pre_-1 # National Cancer Institute",="",="",="0.245",="",="",="0.242",="",="",="0.243",="",="",="0.245"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.182)",="",="",="(0.172)"
="pre_-1 # National Health and Medical Rese",="",="",="0.532",="",="",="0.507",="",="",="0.510**",="",="",="0.532***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.214)",="",="",="(0.202)"
="pre_-1 # Wellcome Trust",="",="",="-0.063",="",="",="-0.295",="",="",="-0.269",="",="",="-0.063"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.287)",="",="",="(0.270)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="0.419",="",="",="0.433",="",="",="0.432**",="",="",="0.419**"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.202)",="",="",="(0.209)"
="pre_-2 # National Cancer Institute",="",="",="0.137",="",="",="0.135",="",="",="0.135",="",="",="0.137"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.153)",="",="",="(0.150)"
="pre_-2 # National Health and Medical Rese",="",="",="0.509",="",="",="0.491",="",="",="0.493***",="",="",="0.509***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.182)",="",="",="(0.182)"
="pre_-2 # Wellcome Trust",="",="",="0.134",="",="",="-0.040",="",="",="-0.020",="",="",="0.134"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.291)",="",="",="(0.286)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="0.254",="",="",="0.263",="",="",="0.262",="",="",="0.254"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.190)",="",="",="(0.198)"
="pre_-3 # National Cancer Institute",="",="",="0.070",="",="",="0.069",="",="",="0.069",="",="",="0.070"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.136)",="",="",="(0.140)"
="pre_-3 # National Health and Medical Rese",="",="",="0.107",="",="",="0.094",="",="",="0.096",="",="",="0.107"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.160)",="",="",="(0.162)"
="pre_-3 # Wellcome Trust",="",="",="0.112",="",="",="-0.004",="",="",="0.009",="",="",="0.112"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.246)",="",="",="(0.255)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.032",="",="",="0.037",="",="",="0.036",="",="",="0.032"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.178)",="",="",="(0.182)"
="pre_-4 # National Cancer Institute",="",="",="0.132",="",="",="0.132",="",="",="0.132",="",="",="0.132"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.125)",="",="",="(0.130)"
="pre_-4 # National Health and Medical Rese",="",="",="0.145",="",="",="0.139",="",="",="0.139",="",="",="0.145"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.153)",="",="",="(0.149)"
="pre_-4 # Wellcome Trust",="",="",="0.173",="",="",="0.115",="",="",="0.122",="",="",="0.173"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.228)",="",="",="(0.228)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="1.590***",="",="",="1.614***",="",="",="1.611**",="",="",="1.590**"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.639)",="",="",="(0.644)"
="pre_0 # National Cancer Institute",="",="",="0.535",="",="",="0.531",="",="",="0.532***",="",="",="0.535***"
="",="",="",="(0.441)",="",="",="(0.425)",="",="",="(0.199)",="",="",="(0.187)"
="pre_0 # National Health and Medical Rese",="",="",="0.830",="",="",="0.799",="",="",="0.803***",="",="",="0.830***"
="",="",="",="(0.525)",="",="",="(0.506)",="",="",="(0.214)",="",="",="(0.206)"
="pre_0 # Wellcome Trust",="",="",="0.340",="",="",="0.050",="",="",="0.083",="",="",="0.340"
="",="",="",="(0.891)",="",="",="(0.859)",="",="",="(0.361)",="",="",="(0.325)"
="rsr_career_age",="",="",="",="0.461***",="0.460***",="0.455***",="0.438***",="0.436***",="0.428***",="",="",=""
="",="",="",="",="(0.006)",="(0.006)",="(0.006)",="(0.016)",="(0.016)",="(0.016)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.007***",="-0.007***",="-0.007***",="-0.006***",="-0.006***",="-0.006***",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",=""
="Constant",="4.552***",="4.552***",="3.769***",="0.500***",="0.508***",="0.493*",="0.542",="0.554",="0.542",="5.149***",="5.149***",="4.146***"
="",="(0.128)",="(0.128)",="(0.300)",="(0.130)",="(0.130)",="(0.291)",="(0.373)",="(0.373)",="(0.368)",="(0.022)",="(0.022)",="(0.039)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
