="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="rsr_career_age_2",="",="",="-0.001***",="",="",="",="-0.001**",=""
="",="",="",="(0.000)",="",="",="",="(0.000)",=""
="Constant",="0.871***",="0.774***",="0.230**",="0.627***",="1.042***",="0.820***",="0.119",="0.748***"
="",="(0.093)",="(0.100)",="(0.102)",="(0.024)",="(0.178)",="(0.218)",="(0.220)",="(0.079)"
="Observations",="24750",="24750",="24750",="24750",="23320",="23320",="23320",="23320"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
