="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=0 # Wellcome Trust",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1 # INCa/INSERM/DGOS",="4.895***",="",="5.008***",="",="4.984**",="",="4.895**",=""
="",="(1.752)",="",="(1.715)",="",="(2.338)",="",="(2.232)",=""
="post_flag=1 # National Cancer Institute",="0.126",="",="0.107",="",="0.111",="",="0.126",=""
="",="(1.319)",="",="(1.292)",="",="(1.977)",="",="(1.859)",=""
="post_flag=1 # National Health and Medical Rese",="2.064",="",="1.916",="",="1.947",="",="2.064",=""
="",="(1.569)",="",="(1.537)",="",="(2.431)",="",="(2.297)",=""
="post_flag=1 # Wellcome Trust",="5.617**",="",="4.224",="",="4.520",="",="5.617",=""
="",="(2.665)",="",="(2.611)",="",="(4.873)",="",="(4.896)",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",=""
="start_year=2008",="0.379",="0.379",="1.173**",="1.155**",="2.108",="2.088",="",=""
="",="(0.542)",="(0.540)",="(0.531)",="(0.529)",="(1.303)",="(1.304)",="",=""
="start_year=2009",="0.480",="0.480",="-0.381",="-0.342",="0.513",="0.584",="",=""
="",="(0.525)",="(0.523)",="(0.514)",="(0.513)",="(1.392)",="(1.395)",="",=""
="start_year=2010",="0.302",="0.302",="0.692",="0.681",="0.603",="0.577",="",=""
="",="(0.571)",="(0.569)",="(0.559)",="(0.558)",="(1.380)",="(1.381)",="",=""
="start_year=2011",="0.109",="0.109",="0.663",="0.652",="1.756",="1.765",="",=""
="",="(0.579)",="(0.577)",="(0.567)",="(0.565)",="(1.662)",="(1.662)",="",=""
="start_year=2012",="0.056",="0.056",="1.521***",="1.496**",="2.800**",="2.770**",="",=""
="",="(0.594)",="(0.592)",="(0.582)",="(0.581)",="(1.381)",="(1.381)",="",=""
="post_0",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1",="",="8.704***",="",="4.035*",="",="4.215***",="",="8.704***"
="",="",="(2.236)",="",="(2.193)",="",="(0.963)",="",="(0.881)"
="post_2",="",="14.419***",="",="8.583***",="",="8.779***",="",="14.419***"
="",="",="(2.236)",="",="(2.194)",="",="(1.633)",="",="(1.531)"
="post_3",="",="17.378***",="",="10.434***",="",="10.633***",="",="17.378***"
="",="",="(2.236)",="",="(2.194)",="",="(1.913)",="",="(1.762)"
="post_4",="",="27.993***",="",="20.005***",="",="20.194***",="",="27.993***"
="",="",="(2.236)",="",="(2.195)",="",="(3.533)",="",="(3.513)"
="post_5",="",="31.314***",="",="22.342***",="",="22.509***",="",="31.314***"
="",="",="(2.236)",="",="(2.196)",="",="(4.183)",="",="(3.924)"
="post_0 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # National Cancer Institute",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # National Health and Medical Rese",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # Wellcome Trust",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="3.957",="",="4.030",="",="4.015***",="",="3.957***"
="",="",="(3.114)",="",="(3.053)",="",="(1.431)",="",="(1.284)"
="post_1 # National Cancer Institute",="",="2.193",="",="2.181",="",="2.183**",="",="2.193**"
="",="",="(2.346)",="",="(2.300)",="",="(1.034)",="",="(0.960)"
="post_1 # National Health and Medical Rese",="",="3.229",="",="3.134",="",="3.154**",="",="3.229**"
="",="",="(2.790)",="",="(2.735)",="",="(1.401)",="",="(1.445)"
="post_1 # Wellcome Trust",="",="4.515",="",="3.622",="",="3.811",="",="4.515"
="",="",="(4.739)",="",="(4.646)",="",="(3.120)",="",="(3.170)"
="post_2 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="4.135",="",="4.229",="",="4.209**",="",="4.135**"
="",="",="(3.114)",="",="(3.053)",="",="(2.077)",="",="(2.019)"
="post_2 # National Cancer Institute",="",="0.158",="",="0.143",="",="0.146",="",="0.158"
="",="",="(2.346)",="",="(2.300)",="",="(1.695)",="",="(1.597)"
="post_2 # National Health and Medical Rese",="",="1.952",="",="1.830",="",="1.855",="",="1.952"
="",="",="(2.790)",="",="(2.735)",="",="(2.172)",="",="(2.036)"
="post_2 # Wellcome Trust",="",="6.344",="",="5.196",="",="5.438",="",="6.344"
="",="",="(4.739)",="",="(4.646)",="",="(5.566)",="",="(5.438)"
="post_3 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="5.646*",="",="5.761*",="",="5.737**",="",="5.646**"
="",="",="(3.114)",="",="(3.053)",="",="(2.456)",="",="(2.235)"
="post_3 # National Cancer Institute",="",="1.974",="",="1.956",="",="1.960",="",="1.974"
="",="",="(2.346)",="",="(2.300)",="",="(2.056)",="",="(1.862)"
="post_3 # National Health and Medical Rese",="",="3.225",="",="3.076",="",="3.108",="",="3.225"
="",="",="(2.790)",="",="(2.735)",="",="(2.646)",="",="(2.442)"
="post_3 # Wellcome Trust",="",="9.512**",="",="8.108*",="",="8.405",="",="9.512"
="",="",="(4.739)",="",="(4.647)",="",="(5.821)",="",="(5.818)"
="post_4 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="3.849",="",="3.984",="",="3.956",="",="3.849"
="",="",="(3.114)",="",="(3.053)",="",="(4.418)",="",="(4.568)"
="post_4 # National Cancer Institute",="",="-0.814",="",="-0.836",="",="-0.832",="",="-0.814"
="",="",="(2.346)",="",="(2.300)",="",="(3.711)",="",="(3.655)"
="post_4 # National Health and Medical Rese",="",="0.374",="",="0.198",="",="0.235",="",="0.374"
="",="",="(2.790)",="",="(2.735)",="",="(4.150)",="",="(4.148)"
="post_4 # Wellcome Trust",="",="1.482",="",="-0.177",="",="0.173",="",="1.482"
="",="",="(4.739)",="",="(4.647)",="",="(5.433)",="",="(6.157)"
="post_5 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="6.886**",="",="7.042**",="",="7.009",="",="6.886"
="",="",="(3.114)",="",="(3.053)",="",="(5.371)",="",="(5.165)"
="post_5 # National Cancer Institute",="",="-2.883",="",="-2.908",="",="-2.903",="",="-2.883"
="",="",="(2.346)",="",="(2.300)",="",="(4.273)",="",="(4.051)"
="post_5 # National Health and Medical Rese",="",="1.538",="",="1.334",="",="1.377",="",="1.538"
="",="",="(2.790)",="",="(2.735)",="",="(4.976)",="",="(4.667)"
="post_5 # Wellcome Trust",="",="6.235",="",="4.321",="",="4.725",="",="6.235"
="",="",="(4.739)",="",="(4.647)",="",="(8.047)",="",="(7.903)"
="rsr_career_age",="",="",="2.207***",="2.178***",="2.001***",="1.948***",="",=""
="",="",="",="(0.042)",="(0.042)",="(0.098)",="(0.097)",="",=""
="rsr_career_age_2",="",="",="-0.031***",="-0.031***",="-0.024***",="-0.024***",="",=""
="",="",="",="(0.001)",="(0.001)",="(0.003)",="(0.003)",="",=""
="Constant",="-11.404***",="-11.404***",="-31.606***",="-31.192***",="-34.035***",="-33.426***",="-9.454***",="-9.454***"
="",="(0.892)",="(0.889)",="(0.923)",="(0.921)",="(2.468)",="(2.455)",="(0.205)",="(0.205)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="Yes",="Yes",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
