="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="3.736",="",="",="3.938",="",="",="3.938",="",="",="3.894",="",="",="3.736",=""
="",="",="(3.118)",="",="",="(3.055)",="",="",="(3.055)",="",="",="(4.612)",="",="",="(4.588)",=""
="post_4 # National Cancer Institute",="",="-1.202",="",="",="-1.217",="",="",="-1.217",="",="",="-1.214",="",="",="-1.202",=""
="",="",="(2.348)",="",="",="(2.301)",="",="",="(2.301)",="",="",="(3.701)",="",="",="(3.650)",=""
="post_4 # National Health and Medical Rese",="",="0.046",="",="",="-0.124",="",="",="-0.124",="",="",="-0.087",="",="",="0.046",=""
="",="",="(2.793)",="",="",="(2.736)",="",="",="(2.736)",="",="",="(4.138)",="",="",="(4.144)",=""
="post_4 # Wellcome Trust",="",="1.681",="",="",="0.039",="",="",="0.039",="",="",="0.396",="",="",="1.681",=""
="",="",="(4.753)",="",="",="(4.657)",="",="",="(4.657)",="",="",="(5.425)",="",="",="(6.158)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="7.185**",="",="",="7.418**",="",="",="7.418**",="",="",="7.367",="",="",="7.185",=""
="",="",="(3.118)",="",="",="(3.055)",="",="",="(3.055)",="",="",="(5.405)",="",="",="(5.179)",=""
="post_5 # National Cancer Institute",="",="-3.034",="",="",="-3.051",="",="",="-3.051",="",="",="-3.048",="",="",="-3.034",=""
="",="",="(2.348)",="",="",="(2.301)",="",="",="(2.301)",="",="",="(4.266)",="",="",="(4.048)",=""
="post_5 # National Health and Medical Rese",="",="1.562",="",="",="1.366",="",="",="1.366",="",="",="1.408",="",="",="1.562",=""
="",="",="(2.793)",="",="",="(2.736)",="",="",="(2.736)",="",="",="(4.969)",="",="",="(4.664)",=""
="post_5 # Wellcome Trust",="",="6.401",="",="",="4.506",="",="",="4.506",="",="",="4.918",="",="",="6.401",=""
="",="",="(4.753)",="",="",="(4.657)",="",="",="(4.657)",="",="",="(8.071)",="",="",="(7.925)",=""
="post_1",="",="",="13.766***",="",="",="5.832**",="",="",="5.832**",="",="",="6.359***",="",="",="13.766***"
="",="",="",="(2.926)",="",="",="(2.873)",="",="",="(2.873)",="",="",="(1.351)",="",="",="(1.172)"
="post_2",="",="",="19.690***",="",="",="10.644***",="",="",="10.644***",="",="",="11.208***",="",="",="19.690***"
="",="",="",="(2.926)",="",="",="(2.873)",="",="",="(2.873)",="",="",="(1.988)",="",="",="(1.814)"
="post_3",="",="",="22.802***",="",="",="12.706***",="",="",="12.706***",="",="",="13.292***",="",="",="22.802***"
="",="",="",="(2.926)",="",="",="(2.874)",="",="",="(2.874)",="",="",="(2.223)",="",="",="(2.003)"
="post_4",="",="",="33.537***",="",="",="22.451***",="",="",="22.451***",="",="",="23.043***",="",="",="33.537***"
="",="",="",="(2.926)",="",="",="(2.875)",="",="",="(2.875)",="",="",="(3.835)",="",="",="(3.770)"
="post_5",="",="",="36.491***",="",="",="24.475***",="",="",="24.475***",="",="",="25.060***",="",="",="36.491***"
="",="",="",="(2.926)",="",="",="(2.876)",="",="",="(2.876)",="",="",="(4.492)",="",="",="(4.143)"
="pre_-1",="",="",="7.988***",="",="",="2.457",="",="",="2.457",="",="",="2.867***",="",="",="7.988***"
="",="",="",="(2.926)",="",="",="(2.871)",="",="",="(2.871)",="",="",="(0.903)",="",="",="(0.866)"
="pre_-2",="",="",="5.830**",="",="",="1.591",="",="",="1.591",="",="",="1.921***",="",="",="5.830***"
="",="",="",="(2.926)",="",="",="(2.871)",="",="",="(2.871)",="",="",="(0.728)",="",="",="(0.674)"
="pre_-3",="",="",="3.549",="",="",="0.662",="",="",="0.662",="",="",="0.897",="",="",="3.549***"
="",="",="",="(2.926)",="",="",="(2.870)",="",="",="(2.870)",="",="",="(0.646)",="",="",="(0.627)"
="pre_-4",="",="",="1.772",="",="",="0.299",="",="",="0.299",="",="",="0.423",="",="",="1.772***"
="",="",="",="(2.926)",="",="",="(2.870)",="",="",="(2.870)",="",="",="(0.488)",="",="",="(0.551)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="11.286***",="",="",="4.523",="",="",="4.523",="",="",="4.999***",="",="",="11.286***"
="",="",="",="(2.926)",="",="",="(2.872)",="",="",="(2.872)",="",="",="(1.446)",="",="",="(1.387)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="7.466*",="",="",="7.646*",="",="",="7.646*",="",="",="7.602***",="",="",="7.466***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(1.979)",="",="",="(1.717)"
="post_1 # National Cancer Institute",="",="",="3.177",="",="",="3.164",="",="",="3.164",="",="",="3.168**",="",="",="3.177**"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(1.413)",="",="",="(1.261)"
="post_1 # National Health and Medical Rese",="",="",="3.860",="",="",="3.708",="",="",="3.708",="",="",="3.745",="",="",="3.860*"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.363)",="",="",="(2.255)"
="post_1 # Wellcome Trust",="",="",="5.030",="",="",="3.558",="",="",="3.558",="",="",="3.916",="",="",="5.030"
="",="",="",="(6.214)",="",="",="(6.096)",="",="",="(6.096)",="",="",="(3.551)",="",="",="(3.559)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="7.363*",="",="",="7.574*",="",="",="7.574*",="",="",="7.522***",="",="",="7.363***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(2.526)",="",="",="(2.397)"
="post_2 # National Cancer Institute",="",="",="1.090",="",="",="1.075",="",="",="1.075",="",="",="1.078",="",="",="1.090"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(2.038)",="",="",="(1.890)"
="post_2 # National Health and Medical Rese",="",="",="2.596",="",="",="2.418",="",="",="2.418",="",="",="2.462",="",="",="2.596"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.954)",="",="",="(2.742)"
="post_2 # Wellcome Trust",="",="",="7.200",="",="",="5.484",="",="",="5.484",="",="",="5.901",="",="",="7.200"
="",="",="",="(6.214)",="",="",="(6.096)",="",="",="(6.096)",="",="",="(5.920)",="",="",="(5.748)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="8.914**",="",="",="9.155**",="",="",="9.155**",="",="",="9.097***",="",="",="8.914***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(2.952)",="",="",="(2.604)"
="post_3 # National Cancer Institute",="",="",="2.552",="",="",="2.535",="",="",="2.535",="",="",="2.539",="",="",="2.552"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(2.353)",="",="",="(2.114)"
="post_3 # National Health and Medical Rese",="",="",="3.830",="",="",="3.626",="",="",="3.626",="",="",="3.676",="",="",="3.830"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(3.400)",="",="",="(3.091)"
="post_3 # Wellcome Trust",="",="",="10.275*",="",="",="8.313",="",="",="8.313",="",="",="8.791",="",="",="10.275"
="",="",="",="(6.214)",="",="",="(6.096)",="",="",="(6.096)",="",="",="(6.238)",="",="",="(6.286)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="7.349*",="",="",="7.620*",="",="",="7.620*",="",="",="7.554",="",="",="7.349"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(4.990)",="",="",="(4.905)"
="post_4 # National Cancer Institute",="",="",="-0.207",="",="",="-0.226",="",="",="-0.226",="",="",="-0.221",="",="",="-0.207"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(4.001)",="",="",="(3.919)"
="post_4 # National Health and Medical Rese",="",="",="0.435",="",="",="0.206",="",="",="0.206",="",="",="0.262",="",="",="0.435"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(4.770)",="",="",="(4.679)"
="post_4 # Wellcome Trust",="",="",="2.389",="",="",="0.182",="",="",="0.182",="",="",="0.719",="",="",="2.389"
="",="",="",="(6.214)",="",="",="(6.096)",="",="",="(6.096)",="",="",="(5.906)",="",="",="(6.633)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="10.798***",="",="",="11.099***",="",="",="11.099***",="",="",="11.026*",="",="",="10.798**"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(5.749)",="",="",="(5.432)"
="post_5 # National Cancer Institute",="",="",="-2.039",="",="",="-2.060",="",="",="-2.060",="",="",="-2.055",="",="",="-2.039"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(4.572)",="",="",="(4.278)"
="post_5 # National Health and Medical Rese",="",="",="1.951",="",="",="1.697",="",="",="1.697",="",="",="1.759",="",="",="1.951"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(5.562)",="",="",="(5.134)"
="post_5 # Wellcome Trust",="",="",="7.109",="",="",="4.657",="",="",="4.657",="",="",="5.254",="",="",="7.109"
="",="",="",="(6.214)",="",="",="(6.096)",="",="",="(6.096)",="",="",="(8.424)",="",="",="(8.297)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="6.261",="",="",="6.382",="",="",="6.382",="",="",="6.352***",="",="",="6.261***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(1.377)",="",="",="(1.330)"
="pre_-1 # National Cancer Institute",="",="",="2.105",="",="",="2.097",="",="",="2.097",="",="",="2.099**",="",="",="2.105**"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(0.939)",="",="",="(0.922)"
="pre_-1 # National Health and Medical Rese",="",="",="1.249",="",="",="1.148",="",="",="1.148",="",="",="1.172",="",="",="1.249"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(2.054)",="",="",="(1.967)"
="pre_-1 # Wellcome Trust",="",="",="0.881",="",="",="-0.100",="",="",="-0.100",="",="",="0.139",="",="",="0.881"
="",="",="",="(6.214)",="",="",="(6.095)",="",="",="(6.095)",="",="",="(1.771)",="",="",="(1.735)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="4.621",="",="",="4.711",="",="",="4.711",="",="",="4.689***",="",="",="4.621***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(1.177)",="",="",="(1.158)"
="pre_-2 # National Cancer Institute",="",="",="1.113",="",="",="1.107",="",="",="1.107",="",="",="1.108",="",="",="1.113"
="",="",="",="(3.070)",="",="",="(3.011)",="",="",="(3.011)",="",="",="(0.762)",="",="",="(0.717)"
="pre_-2 # National Health and Medical Rese",="",="",="-0.379",="",="",="-0.455",="",="",="-0.455",="",="",="-0.437",="",="",="-0.379"
="",="",="",="(3.652)",="",="",="(3.582)",="",="",="(3.582)",="",="",="(1.773)",="",="",="(1.728)"
="pre_-2 # Wellcome Trust",="",="",="0.566",="",="",="-0.170",="",="",="-0.170",="",="",="0.009",="",="",="0.566"
="",="",="",="(6.214)",="",="",="(6.095)",="",="",="(6.095)",="",="",="(1.291)",="",="",="(1.335)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="2.777",="",="",="2.837",="",="",="2.837",="",="",="2.823***",="",="",="2.777***"
="",="",="",="(4.077)",="",="",="(3.999)",="",="",="(3.999)",="",="",="(1.000)",="",="",="(0.987)"
="pre_-3 # National Cancer Institute",="",="",="0.938",="",="",="0.934",="",="",="0.934",="",="",="0.935",="",="",="0.938"
