="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="ALS",="-0.015**",="-0.001",="0.003",="-0.017**",="-0.009",="-0.022***"
="",="(0.006)",="(0.009)",="(0.006)",="(0.007)",="(0.011)",="(0.005)"
="ALZHEIMER'S DISEASE",="-0.006",="-0.002",="-0.000",="-0.002",="-0.002",="-0.019***"
="",="(0.005)",="(0.009)",="(0.003)",="(0.007)",="(0.010)",="(0.004)"
="ALZHEIMER'S DISEASE INCLUDING AL",="-0.004",="-0.002",="-0.000",="-0.001",="-0.002",="-0.019***"
="",="(0.005)",="(0.009)",="(0.003)",="(0.007)",="(0.010)",="(0.004)"
="ALZHEIMER'S DISEASE RELATED DEME",="-0.018***",="-0.001",="0.002",="-0.014*",="-0.019",="-0.028***"
="",="(0.006)",="(0.010)",="(0.008)",="(0.008)",="(0.024)",="(0.006)"
="AMERICAN INDIANS / ALASKA NATIVE",="-0.030***",="-0.001",="0.001",="-0.011*",="-0.012",="-0.020***"
="",="(0.009)",="(0.010)",="(0.003)",="(0.006)",="(0.018)",="(0.005)"
="ANTHRAX",="-0.029***",="-0.003",="-0.004",="0.006",="-0.006",=""
="",="(0.006)",="(0.015)",="(0.005)",="(0.008)",="(0.010)",=""
="ANTIMICROBIAL RESISTANCE",="-0.015***",="-0.003",="0.002",="-0.014**",="0.091***",="-0.014*"
="",="(0.006)",="(0.009)",="(0.006)",="(0.007)",="(0.022)",="(0.007)"
="ANXIETY DISORDERS",="-0.018*",="-0.005",="0.003",="0.001",="-0.019",="-0.020***"
="",="(0.009)",="(0.009)",="(0.004)",="(0.011)",="(0.024)",="(0.004)"
="ARTHRITIS",="0.014*",="0.051***",="0.007",="0.003",="0.031**",="0.008"
="",="(0.008)",="(0.015)",="(0.004)",="(0.008)",="(0.013)",="(0.007)"
="ASSISTIVE TECHNOLOGY",="-0.022***",="0.007",="-0.000",="-0.011*",="-0.005",="-0.012**"
="",="(0.006)",="(0.012)",="(0.004)",="(0.007)",="(0.011)",="(0.006)"
="ASTHMA",="-0.001",="0.052***",="0.003",="-0.013*",="0.004",="-0.004"
="",="(0.007)",="(0.014)",="(0.003)",="(0.007)",="(0.011)",="(0.006)"
="ATAXIA TELANGIECTASIA",="-0.001",="-0.002",="0.002",="-0.051***",="-0.005",=""
="",="(0.006)",="(0.009)",="(0.008)",="(0.019)",="(0.011)",=""
="ATHEROSCLEROSIS",="0.001",="0.044***",="0.007*",="-0.002",="0.002",="-0.016***"
="",="(0.006)",="(0.014)",="(0.004)",="(0.006)",="(0.011)",="(0.005)"
="ATTENTION DEFICIT DISORDER (ADD)",="-0.016*",="-0.009",="0.002",="-0.003",="",="-0.022***"
="",="(0.009)",="(0.011)",="(0.004)",="(0.011)",="",="(0.004)"
="AUTISM",="-0.018***",="-0.004",="",="-0.012",="-0.019",="-0.022***"
="",="(0.005)",="(0.009)",="",="(0.007)",="(0.024)",="(0.005)"
="AUTOIMMUNE DISEASE",="0.219***",="0.150***",="0.005",="0.020**",="0.085***",="0.007"
="",="(0.025)",="(0.039)",="(0.003)",="(0.008)",="(0.017)",="(0.006)"
="BATTEN DISEASE",="-0.027***",="-0.009",="",="",="",=""
="",="(0.009)",="(0.015)",="",="",="",=""
="BIODEFENSE",="0.139***",="0.052***",="0.009***",="-0.009",="0.054***",="-0.020***"
="",="(0.017)",="(0.010)",="(0.004)",="(0.006)",="(0.013)",="(0.004)"
="BIOENGINEERING",="0.344***",="0.007",="0.003",="1.957***",="0.584***",="0.036***"
="",="(0.055)",="(0.010)",="(0.003)",="(0.257)",="(0.056)",="(0.008)"
="BIOTECHNOLOGY",="2.026***",="0.413***",="0.054***",="0.583***",="1.436***",="-0.009*"
="",="(0.071)",="(0.038)",="(0.005)",="(0.038)",="(0.062)",="(0.005)"
="BIPOLAR DISORDER",="-0.025**",="-0.001",="-0.001",="",="",="-0.027***"
="",="(0.012)",="(0.010)",="(0.008)",="",="",="(0.005)"
="BRAIN CANCER",="0.090***",="0.078***",="-0.001",="0.067***",="0.140***",="-0.009*"
="",="(0.012)",="(0.023)",="(0.003)",="(0.009)",="(0.013)",="(0.005)"
="BRAIN DISORDERS",="0.382***",="0.254***",="0.055***",="0.174***",="0.301***",="0.247***"
="",="(0.022)",="(0.039)",="(0.005)",="(0.017)",="(0.023)",="(0.017)"
="BREAST CANCER",="1.585***",="1.218***",="0.089***",="1.545***",="1.369***",="0.866***"
="",="(0.058)",="(0.090)",="(0.013)",="(0.087)",="(0.090)",="(0.065)"
="CANNABINOID RESEARCH",="-0.028***",="-0.001",="0.001",="",="0.003",="-0.024***"
="",="(0.006)",="(0.009)",="(0.004)",="",="(0.011)",="(0.005)"
="CARDIOVASCULAR",="0.139***",="0.176***",="0.150***",="0.061***",="0.081***",="0.263***"
="",="(0.015)",="(0.030)",="(0.014)",="(0.009)",="(0.011)",="(0.022)"
="CEREBRAL PALSY",="-0.026**",="-0.011",="0.004",="-0.033***",="-0.020",="-0.024***"
="",="(0.012)",="(0.010)",="(0.005)",="(0.010)",="(0.018)",="(0.004)"
="CERVICAL CANCER",="-0.008",="0.097***",="0.032***",="0.152***",="0.019*",="0.032***"
="",="(0.006)",="(0.014)",="(0.005)",="(0.019)",="(0.010)",="(0.008)"
="CHARCOT-MARIE-TOOTH DISEASE",="-0.016***",="-0.003",="",="",="",=""
="",="(0.006)",="(0.010)",="",="",="",=""
="CHILDHOOD LEUKEMIA",="0.044***",="0.021**",="0.002",="0.007",="0.107***",="-0.019***"
="",="(0.010)",="(0.009)",="(0.003)",="(0.007)",="(0.011)",="(0.005)"
="CHRONIC FATIGUE SYNDROME (ME/CFS",="-0.024**",="-0.009",="",="",="-0.014",="-0.023***"
="",="(0.009)",="(0.011)",="",="",="(0.023)",="(0.005)"
="CHRONIC LIVER DISEASE AND CIRRHO",="0.019***",="0.105***",="0.006*",="0.020***",="0.031**",="0.002"
="",="(0.007)",="(0.018)",="(0.003)",="(0.007)",="(0.015)",="(0.008)"
="CHRONIC OBSTRUCTIVE PULMONARY DI",="-0.010*",="0.007",="0.005",="-0.013**",="-0.007",="-0.012***"
="",="(0.006)",="(0.009)",="(0.004)",="(0.006)",="(0.011)",="(0.004)"
="CLIMATE-RELATED EXPOSURES AND CO",="0.025***",="0.250***",="0.063***",="-0.011*",="-0.000",="-0.014***"
="",="(0.008)",="(0.037)",="(0.016)",="(0.006)",="(0.011)",="(0.005)"
="COLO-RECTAL CANCER",="0.366***",="0.317***",="0.080***",="0.354***",="0.319***",="0.263***"
="",="(0.021)",="(0.028)",="(0.009)",="(0.022)",="(0.027)",="(0.028)"
="CONDITIONS AFFECTING THE EMBRYON",="-0.021***",="0.003",="0.004",="-0.018**",="0.021",="-0.021***"
="",="(0.006)",="(0.009)",="(0.003)",="(0.007)",="(0.025)",="(0.005)"
="CONGENITAL STRUCTURAL ANOMALIES",="0.019**",="0.009",="-0.001",="-0.009",="-0.010",="-0.021***"
="",="(0.009)",="(0.008)",="(0.006)",="(0.007)",="(0.012)",="(0.005)"
="CONTRACEPTION/REPRODUCTION",="0.214***",="0.101***",="0.008*",="0.019*",="0.018",="0.075***"
="",="(0.040)",="(0.012)",="(0.004)",="(0.010)",="(0.014)",="(0.012)"
="COOLEY'S ANEMIA",="-0.022***",="-0.003",="",="-0.028**",="-0.009",="-0.026***"
="",="(0.006)",="(0.015)",="",="(0.014)",="(0.012)",="(0.009)"
="CROHN'S DISEASE",="-0.009",="0.030**",="0.001",="-0.008",="-0.003",="-0.024***"
="",="(0.006)",="(0.015)",="(0.004)",="(0.007)",="(0.010)",="(0.005)"
="CYSTIC FIBROSIS",="-0.012**",="-0.002",="0.001",="-0.014*",="-0.003",="-0.020***"
="",="(0.006)",="(0.009)",="(0.005)",="(0.008)",="(0.010)",="(0.004)"
="DEMENTIA",="-0.001",="-0.000",="-0.000",="-0.001",="-0.001",="-0.011**"
="",="(0.005)",="(0.009)",="(0.003)",="(0.007)",="(0.010)",="(0.004)"
="DENTAL/ORAL AND CRANIOFACIAL DIS",="0.047***",="0.083***",="0.009**",="0.068***",="0.142***",="0.157***"
="",="(0.010)",="(0.018)",="(0.004)",="(0.011)",="(0.014)",="(0.026)"
="DEPRESSION",="-0.017***",="0.007",="0.016***",="-0.003",="-0.003",="0.163***"
="",="(0.006)",="(0.009)",="(0.004)",="(0.007)",="(0.010)",="(0.018)"
="DIABETES",="0.279***",="0.263***",="0.057***",="0.006",="0.047***",="0.078***"
="",="(0.071)",="(0.096)",="(0.007)",="(0.007)",="(0.017)",="(0.011)"
="DIGESTIVE DISEASES",="1.072***",="0.871***",="0.197***",="0.914***",="1.244***",="0.842***"
="",="(0.045)",="(0.044)",="(0.022)",="(0.059)",="(0.096)",="(0.074)"
="DIGESTIVE DISEASES - (GALLBLADDE",="-0.015**",="-0.003",="-0.021*",="-0.010",="-0.010",="-0.022***"
="",="(0.006)",="(0.009)",="(0.012)",="(0.007)",="(0.011)",="(0.005)"
="DIGESTIVE DISEASES - (PEPTIC ULC",="-0.025***",="0.031***",="-0.000",="-0.021***",="-0.014",="-0.031***"
="",="(0.005)",="(0.010)",="(0.003)",="(0.008)",="(0.012)",="(0.007)"
="DOWN SYNDROME",="-0.021***",="-0.008",="0.002",="0.001",="-0.004",="-0.025***"
="",="(0.005)",="(0.009)",="(0.004)",="(0.012)",="(0.014)",="(0.005)"
="DRUG ABUSE (NIDA ONLY)",="-0.013**",="0.010",="0.092***",="-0.010",="-0.000",="-0.014***"
="",="(0.006)",="(0.009)",="(0.010)",="(0.007)",="(0.010)",="(0.004)"
="DUCHENNE/ BECKER MUSCULAR DYSTRO",="-0.020***",="",="",="-0.026***",="-0.004",="-0.029***"
="",="(0.006)",="",="",="(0.010)",="(0.015)",="(0.008)"
="DYSTONIA",="-0.028***",="-0.006",="",="",="",=""
="",="(0.008)",="(0.013)",="",="",="",=""
="EATING DISORDERS",="0.021",="0.005",="0.000",="",="",="-0.025***"
="",="(0.014)",="(0.011)",="(0.003)",="",="",="(0.004)"
="ECZEMA / ATOPIC DERMATITIS",="-0.027***",="0.002",="",="",="",=""
="",="(0.009)",="(0.011)",="",="",="",=""
="EMERGING INFECTIOUS DISEASES",="0.231***",="0.236***",="0.017***",="-0.001",="0.106***",="0.002"
="",="(0.025)",="(0.019)",="(0.004)",="(0.006)",="(0.014)",="(0.007)"
="EMPHYSEMA",="-0.019***",="0.004",="0.003",="-0.005",="0.006",="-0.020***"
="",="(0.006)",="(0.009)",="(0.008)",="(0.007)",="(0.015)",="(0.005)"
="ENDOMETRIOSIS",="-0.012**",="0.003",="0.003",="-0.014",="0.003",="-0.021***"
="",="(0.006)",="(0.009)",="(0.005)",="(0.009)",="(0.013)",="(0.005)"
="EPILEPSY",="-0.017***",="0.007",="",="-0.012*",="-0.014",="-0.022***"
="",="(0.005)",="(0.009)",="",="(0.006)",="(0.012)",="(0.005)"
="ESTROGEN",="0.085***",="0.168***",="0.015***",="0.013",="0.092***",="0.012**"
="",="(0.012)",="(0.019)",="(0.004)",="(0.008)",="(0.015)",="(0.005)"
="EYE DISEASE AND DISORDERS OF VIS",="0.044***",="0.017*",="0.005",="0.014*",="0.028**",="-0.015***"
="",="(0.009)",="(0.009)",="(0.004)",="(0.008)",="(0.012)",="(0.005)"
="FACIOSCAPULOHUMERAL MUSCULAR DYS",="-0.015**",="-0.008",="",="-0.023*",="",=""
="",="(0.007)",="(0.019)",="",="(0.012)",="",=""
="FETAL ALCOHOL SYNDROME",="-0.025**",="-0.010",="0.002",="-0.005",="",="-0.022***"
="",="(0.012)",="(0.009)",="(0.006)",="(0.009)",="",="(0.006)"
="FIBROID TUMORS (UTERINE)",="-0.013*",="-0.000",="",="-0.008",="-0.010",="-0.029***"
="",="(0.007)",="(0.010)",="",="(0.008)",="(0.015)",="(0.007)"
="FIBROMYALGIA",="-0.026**",="",="0.003",="",="",="-0.023***"
="",="(0.012)",="",="(0.008)",="",="",="(0.005)"
="FOOD ALLERGIES",="-0.023***",="0.003",="0.000",="-0.010",="-0.008",="-0.025***"
="",="(0.006)",="(0.009)",="(0.004)",="(0.007)",="(0.014)",="(0.005)"
="FOODBORNE ILLNESS",="-0.008",="0.019**",="0.003",="-0.006",="-0.002",="-0.026***"
="",="(0.006)",="(0.010)",="(0.003)",="(0.006)",="(0.010)",="(0.005)"
="FRAGILE X SYNDROME",="-0.024***",="-0.013",="",="-0.008",="",="-0.028***"
="",="(0.005)",="(0.013)",="",="(0.009)",="",="(0.005)"
="FRONTOTEMPORAL DEMENTIA (FTD)",="-0.019***",="-0.001",="",="-0.017**",="-0.009",="-0.028***"
="",="(0.006)",="(0.010)",="",="(0.008)",="(0.018)",="(0.006)"
="GENE THERAPY",="-0.013**",="-0.001",="-0.000",="-0.008",="0.130***",="-0.027***"
="",="(0.005)",="(0.009)",="(0.003)",="(0.006)",="(0.018)",="(0.006)"
="GENETIC TESTING",="0.039***",="0.321***",="0.004",="0.069***",="0.001",="0.015**"
="",="(0.008)",="(0.028)",="(0.003)",="(0.010)",="(0.010)",="(0.007)"
="GENETICS",="7.733***",="3.643***",="0.085***",="1.009***",="1.616***",="0.124***"
="",="(0.326)",="(0.346)",="(0.008)",="(0.054)",="(0.073)",="(0.016)"
="HEADACHES",="-0.033***",="-0.007",="0.003",="",="-0.000",="-0.024***"
="",="(0.008)",="(0.010)",="(0.006)",="",="(0.018)",="(0.004)"
="HEALTH EFFECTS OF INDOOR AIR POL",="-0.029***",="0.000",="0.011*",="",="-0.008",="-0.025***"
="",="(0.007)",="(0.009)",="(0.006)",="",="(0.015)",="(0.006)"
="HEART DISEASE",="0.046***",="0.094***",="0.034***",="0.033***",="0.026***",="0.137***"
="",="(0.007)",="(0.021)",="(0.006)",="(0.008)",="(0.010)",="(0.014)"
="HEART DISEASE - CORONARY HEART D",="-0.010*",="0.031***",="0.003",="0.001",="-0.001",="0.012"
="",="(0.005)",="(0.010)",="(0.003)",="(0.006)",="(0.010)",="(0.009)"
="HEMATOLOGY",="0.697***",="0.330***",="0.007*",="0.205***",="1.283***",="0.181***"
="",="(0.034)",="(0.021)",="(0.004)",="(0.025)",="(0.122)",="(0.023)"
="HEPATITIS",="-0.012**",="0.096***",="0.004",="-0.001",="0.012",="-0.009"
="",="(0.006)",="(0.020)",="(0.003)",="(0.006)",="(0.011)",="(0.006)"
="HEPATITIS - B",="-0.016***",="0.032**",="0.002",="-0.004",="-0.002",="-0.019***"
="",="(0.006)",="(0.013)",="(0.003)",="(0.006)",="(0.011)",="(0.006)"
="HEPATITIS - C",="-0.016***",="0.033***",="-0.000",="-0.011*",="0.002",="-0.021***"
="",="(0.006)",="(0.009)",="(0.003)",="(0.007)",="(0.010)",="(0.005)"
="HIV/AIDS",="0.134***",="0.398***",="0.040***",="0.018**",="0.108***",="0.121***"
="",="(0.018)",="(0.042)",="(0.007)",="(0.007)",="(0.021)",="(0.030)"
="HODGKIN'S DISEASE",="-0.024***",="0.005",="0.004",="-0.005",="-0.004",="-0.028***"
="",="(0.006)",="(0.008)",="(0.008)",="(0.007)",="(0.010)",="(0.006)"
="HPV AND/OR CERVICAL CANCER VACCI",="-0.029**",="0.010",="0.041***",="-0.006",="-0.002",="-0.018***"
="",="(0.012)",="(0.009)",="(0.007)",="(0.006)",="(0.011)",="(0.004)"
="HUMAN FETAL TISSUE",="-0.020***",="0.006",="-0.001",="0.019",="-0.012",=""
="",="(0.006)",="(0.009)",="(0.006)",="(0.014)",="(0.011)",=""
="HUMAN GENOME",="1.229***",="1.514***",="0.005",="0.226***",="0.110***",="0.009"
="",="(0.070)",="(0.167)",="(0.003)",="(0.020)",="(0.017)",="(0.009)"
="HUNTINGTON'S DISEASE",="-0.017***",="0.004",="",="-0.007",="-0.003",="-0.029***"
="",="(0.006)",="(0.010)",="",="(0.008)",="(0.013)",="(0.005)"
="HYDROCEPHALUS",="-0.026***",="",="",="-0.014",="0.003",="-0.025***"
="",="(0.009)",="",="",="(0.009)",="(0.024)",="(0.005)"
="HYPERTENSION",="-0.002",="0.022**",="0.004",="-0.017**",="0.003",="-0.014**"
="",="(0.007)",="(0.009)",="(0.003)",="(0.007)",="(0.010)",="(0.006)"
="INFANT MORTALITY",="-0.029**",="-0.002",="0.002",="-0.004",="-0.019",="-0.028***"
="",="(0.012)",="(0.014)",="(0.005)",="(0.011)",="(0.024)",="(0.006)"
="INFANT MORTALITY/ (LBW)",="-0.015***",="0.010",="0.003",="-0.012*",="-0.008",="-0.007"
="",="(0.005)",="(0.008)",="(0.003)",="(0.006)",="(0.011)",="(0.005)"
="INFECTIOUS DISEASES",="0.385***",="0.915***",="0.086***",="0.087***",="0.298***",="0.179***"
="",="(0.037)",="(0.070)",="(0.009)",="(0.011)",="(0.022)",="(0.024)"
="INFERTILITY",="0.002",="0.002",="0.000",="-0.005",="-0.002",="-0.005"
="",="(0.006)",="(0.009)",="(0.004)",="(0.007)",="(0.013)",="(0.006)"
="INFLAMMATORY BOWEL DISEASE",="0.005",="0.045**",="0.002",="-0.000",="0.006",="-0.018***"
="",="(0.007)",="(0.019)",="(0.003)",="(0.006)",="(0.010)",="(0.005)"
="INFLUENZA",="-0.014***",="0.012",="0.007*",="-0.008",="0.000",="-0.021***"
="",="(0.005)",="(0.009)",="(0.004)",="(0.007)",="(0.010)",="(0.004)"
="INJURY (TOTAL) ACCIDENTS/ADVERSE",="-0.003",="0.015",="0.002",="-0.004",="-0.001",="0.020***"
="",="(0.006)",="(0.013)",="(0.003)",="(0.007)",="(0.010)",="(0.007)"
="INJURY - TRAUMA - (HEAD AND SPIN",="-0.016***",="-0.002",="0.001",="-0.013*",="-0.007",="-0.016***"
="",="(0.006)",="(0.011)",="(0.008)",="(0.007)",="(0.011)",="(0.004)"
="INJURY - TRAUMATIC BRAIN INJURY",="-0.017*",="-0.002",="",="-0.005",="-0.005",="-0.017***"
="",="(0.009)",="(0.011)",="",="(0.007)",="(0.012)",="(0.004)"
="INTELLECTUAL AND DEVELOPMENTAL D",="0.011**",="0.014*",="0.002",="-0.010",="-0.008",="-0.019***"
="",="(0.006)",="(0.008)",="(0.004)",="(0.007)",="(0.010)",="(0.005)"
="INTERSTITIAL CYSTITIS",="-0.027***",="0.011",="",="",="-0.013",="-0.025***"
="",="(0.009)",="(0.018)",="",="",="(0.023)",="(0.005)"
="KIDNEY DISEASE",="0.170***",="0.098***",="0.004",="0.074***",="0.321***",="0.075***"
="",="(0.018)",="(0.014)",="(0.003)",="(0.014)",="(0.046)",="(0.017)"
="LEAD POISONING",="-0.025**",="0.009",="0.001",="0.002",="",=""
="",="(0.012)",="(0.011)",="(0.008)",="(0.011)",="",=""
="LIVER CANCER",="0.012",="0.039***",="0.003",="0.012*",="0.036***",="-0.012*"
="",="(0.008)",="(0.015)",="(0.004)",="(0.007)",="(0.010)",="(0.006)"
="LIVER DISEASE",="0.125***",="0.167***",="0.013***",="0.107***",="0.195***",="0.031***"
="",="(0.014)",="(0.021)",="(0.003)",="(0.017)",="(0.026)",="(0.009)"
="LUNG",="0.281***",="0.276***",="0.053***",="0.265***",="0.557***",="0.281***"
="",="(0.021)",="(0.025)",="(0.006)",="(0.018)",="(0.035)",="(0.031)"
="LUNG CANCER",="0.130***",="0.129***",="0.027***",="0.155***",="0.364***",="0.112***"
="",="(0.014)",="(0.017)",="(0.005)",="(0.010)",="(0.023)",="(0.015)"
="LUPUS",="-0.002",="0.003",="0.003",="-0.016**",="0.003",="-0.022***"
="",="(0.007)",="(0.009)",="(0.007)",="(0.007)",="(0.011)",="(0.005)"
="LYME DISEASE",="-0.027***",="-0.011",="0.002",="-0.004",="-0.020",=""
="",="(0.007)",="(0.014)",="(0.006)",="(0.011)",="(0.018)",=""
="LYMPHOMA",="0.114***",="0.170***",="0.001",="0.071***",="0.292***",="0.002"
="",="(0.012)",="(0.016)",="(0.003)",="(0.013)",="(0.028)",="(0.006)"
="MACULAR DEGENERATION",="-0.016***",="0.003",="0.001",="-0.007",="0.001",="-0.030***"
="",="(0.005)",="(0.008)",="(0.004)",="(0.007)",="(0.011)",="(0.006)"
="MAJOR DEPRESSIVE DISORDER",="-0.018*",="-0.010",="0.002",="-0.004",="-0.022",="-0.025***"
="",="(0.009)",="(0.011)",="(0.004)",="(0.011)",="(0.024)",="(0.005)"
="MALARIA",="-0.012**",="-0.001",="0.002",="-0.019***",="0.007",="-0.019***"
="",="(0.006)",="(0.008)",="(0.004)",="(0.007)",="(0.011)",="(0.006)"
="MENTAL HEALTH",="0.009",="0.049***",="0.051***",="-0.000",="0.003",="0.428***"
="",="(0.007)",="(0.010)",="(0.007)",="(0.007)",="(0.010)",="(0.042)"
="METHAMPHETAMINE",="-0.018***",="-0.013",="-0.002",="",="-0.013",="-0.023***"
="",="(0.007)",="(0.013)",="(0.008)",="",="(0.012)",="(0.005)"
="MIGRAINES",="-0.033***",="-0.007",="0.003",="",="",="-0.025***"
="",="(0.008)",="(0.010)",="(0.006)",="",="",="(0.005)"
="MIND AND BODY",="-0.019***",="-0.007",="0.029***",="-0.010",="-0.001",="0.253***"
="",="(0.006)",="(0.009)",="(0.006)",="(0.007)",="(0.011)",="(0.030)"
="MUCOPOLYSACCHARIDOSES (MPS)",="-0.010",="",="",="-0.004",="-0.001",="-0.030***"
="",="(0.013)",="",="",="(0.011)",="(0.015)",="(0.006)"
="MULTIPLE SCLEROSIS",="-0.014**",="-0.000",="0.002",="-0.009",="-0.003",="-0.019***"
="",="(0.005)",="(0.008)",="(0.004)",="(0.006)",="(0.010)",="(0.005)"
="MUSCULAR DYSTROPHY",="-0.014**",="-0.013",="",="-0.014*",="-0.012",="-0.024***"
="",="(0.006)",="(0.011)",="",="(0.008)",="(0.011)",="(0.005)"
="MYASTHENIA GRAVIS",="-0.018***",="",="",="",="-0.007",="-0.021**"
="",="(0.007)",="",="",="",="(0.015)",="(0.009)"
="MYOTONIC DYSTROPHY",="-0.019**",="-0.008",="",="0.001",="-0.020",="-0.021***"
="",="(0.008)",="(0.019)",="",="(0.011)",="(0.018)",="(0.007)"
="NANOTECHNOLOGY",="0.004",="-0.003",="0.000",="0.134***",="0.170***",="-0.024***"
="",="(0.008)",="(0.009)",="(0.003)",="(0.026)",="(0.025)",="(0.006)"
="NEUROBLASTOMA",="0.012*",="0.001",="0.001",="-0.002",="0.028***",="-0.025***"
="",="(0.007)",="(0.008)",="(0.005)",="(0.006)",="(0.011)",="(0.004)"
="NEURODEGENERATIVE",="0.143***",="0.043***",="0.001",="0.020**",="0.056***",="0.043***"
="",="(0.015)",="(0.009)",="(0.003)",="(0.008)",="(0.011)",="(0.006)"
="NEUROFIBROMATOSIS",="-0.009",="-0.004",="",="-0.011*",="-0.003",="-0.023***"
="",="(0.006)",="(0.009)",="",="(0.006)",="(0.010)",="(0.005)"
="NEUROSCIENCES",="0.752***",="0.161***",="0.036***",="0.229***",="0.389***",="0.207***"
="",="(0.053)",="(0.020)",="(0.009)",="(0.020)",="(0.027)",="(0.017)"
="NUTRITION",="0.168***",="0.644***",="1.150***",="0.017**",="0.092***",="0.244***"
="",="(0.021)",="(0.039)",="(0.101)",="(0.008)",="(0.015)",="(0.020)"
="OBESITY",="0.037***",="0.248***",="0.368***",="-0.006",="0.004",="0.082***"
="",="(0.013)",="(0.020)",="(0.044)",="(0.006)",="(0.011)",="(0.013)"
="ORGAN TRANSPLANTATION",="-0.009",="0.002",="0.001",="-0.008",="0.013",="-0.002"
="",="(0.006)",="(0.009)",="(0.003)",="(0.006)",="(0.010)",="(0.005)"
="ORPHAN DRUG",="0.087***",="0.023***",="0.002",="0.030***",="0.806***",="-0.012**"
="",="(0.010)",="(0.009)",="(0.003)",="(0.006)",="(0.044)",="(0.005)"
="OSTEOARTHRITIS",="-0.026***",="0.004",="0.001",="-0.013**",="-0.009",="-0.020***"
="",="(0.007)",="(0.009)",="(0.004)",="(0.007)",="(0.018)",="(0.005)"
="OSTEOGENESIS IMPERFECTA",="-0.008",="-0.008",="",="-0.005",="",=""
="",="(0.012)",="(0.011)",="",="(0.009)",="",=""
