="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="post_4 # National Health and Medical Rese",="",="0.374",="",="",="0.198",="",="",="0.235",="",="",="0.374",=""
="",="",="(2.790)",="",="",="(2.735)",="",="",="(4.150)",="",="",="(4.148)",=""
="post_4 # Wellcome Trust",="",="1.482",="",="",="-0.180",="",="",="0.172",="",="",="1.482",=""
="",="",="(4.739)",="",="",="(4.647)",="",="",="(5.433)",="",="",="(6.157)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="6.886**",="",="",="7.042**",="",="",="7.009",="",="",="6.886",=""
="",="",="(3.114)",="",="",="(3.053)",="",="",="(5.371)",="",="",="(5.165)",=""
="post_5 # National Cancer Institute",="",="-2.883",="",="",="-2.908",="",="",="-2.903",="",="",="-2.883",=""
="",="",="(2.346)",="",="",="(2.300)",="",="",="(4.273)",="",="",="(4.051)",=""
="post_5 # National Health and Medical Rese",="",="1.538",="",="",="1.334",="",="",="1.377",="",="",="1.538",=""
="",="",="(2.790)",="",="",="(2.735)",="",="",="(4.976)",="",="",="(4.667)",=""
="post_5 # Wellcome Trust",="",="6.235",="",="",="4.318",="",="",="4.723",="",="",="6.235",=""
="",="",="(4.739)",="",="",="(4.647)",="",="",="(8.047)",="",="",="(7.903)",=""
="post_1",="",="",="13.878***",="",="",="5.726**",="",="",="6.221***",="",="",="13.878***"
="",="",="",="(2.924)",="",="",="(2.872)",="",="",="(1.350)",="",="",="(1.173)"
="post_2",="",="",="19.594***",="",="",="10.294***",="",="",="10.822***",="",="",="19.594***"
="",="",="",="(2.924)",="",="",="(2.873)",="",="",="(1.987)",="",="",="(1.815)"
="post_3",="",="",="22.552***",="",="",="12.164***",="",="",="12.711***",="",="",="22.552***"
="",="",="",="(2.924)",="",="",="(2.873)",="",="",="(2.236)",="",="",="(2.005)"
="post_4",="",="",="33.168***",="",="",="21.753***",="",="",="22.303***",="",="",="33.168***"
="",="",="",="(2.924)",="",="",="(2.874)",="",="",="(3.831)",="",="",="(3.775)"
="post_5",="",="",="36.488***",="",="",="24.106***",="",="",="24.646***",="",="",="36.488***"
="",="",="",="(2.924)",="",="",="(2.875)",="",="",="(4.499)",="",="",="(4.148)"
="pre_-1",="",="",="8.126***",="",="",="2.450",="",="",="2.838***",="",="",="8.126***"
="",="",="",="(2.924)",="",="",="(2.871)",="",="",="(0.894)",="",="",="(0.865)"
="pre_-2",="",="",="6.028**",="",="",="1.681",="",="",="1.993***",="",="",="6.028***"
="",="",="",="(2.924)",="",="",="(2.870)",="",="",="(0.725)",="",="",="(0.670)"
="pre_-3",="",="",="3.622",="",="",="0.664",="",="",="0.886",="",="",="3.622***"
="",="",="",="(2.924)",="",="",="(2.870)",="",="",="(0.641)",="",="",="(0.626)"
="pre_-4",="",="",="1.774",="",="",="0.265",="",="",="0.383",="",="",="1.774***"
="",="",="",="(2.924)",="",="",="(2.870)",="",="",="(0.487)",="",="",="(0.551)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="11.496***",="",="",="4.552",="",="",="5.001***",="",="",="11.496***"
="",="",="",="(2.924)",="",="",="(2.871)",="",="",="(1.441)",="",="",="(1.386)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="6.992*",="",="",="7.114*",="",="",="7.085***",="",="",="6.992***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(1.973)",="",="",="(1.689)"
="post_1 # National Cancer Institute",="",="",="3.104",="",="",="3.085",="",="",="3.089**",="",="",="3.104**"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(1.417)",="",="",="(1.262)"
="post_1 # National Health and Medical Rese",="",="",="3.602",="",="",="3.444",="",="",="3.482",="",="",="3.602"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.362)",="",="",="(2.255)"
="post_1 # Wellcome Trust",="",="",="5.167",="",="",="3.677",="",="",="4.030",="",="",="5.167"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(3.549)",="",="",="(3.556)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="7.170*",="",="",="7.312*",="",="",="7.278***",="",="",="7.170***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(2.533)",="",="",="(2.379)"
="post_2 # National Cancer Institute",="",="",="1.070",="",="",="1.047",="",="",="1.052",="",="",="1.070"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(2.043)",="",="",="(1.890)"
="post_2 # National Health and Medical Rese",="",="",="2.325",="",="",="2.141",="",="",="2.184",="",="",="2.325"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.952)",="",="",="(2.741)"
="post_2 # Wellcome Trust",="",="",="6.996",="",="",="5.257",="",="",="5.670",="",="",="6.996"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(5.909)",="",="",="(5.734)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="8.681**",="",="",="8.843**",="",="",="8.805***",="",="",="8.681***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(2.930)",="",="",="(2.588)"
="post_3 # National Cancer Institute",="",="",="2.886",="",="",="2.859",="",="",="2.866",="",="",="2.886"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(2.371)",="",="",="(2.116)"
="post_3 # National Health and Medical Rese",="",="",="3.599",="",="",="3.388",="",="",="3.438",="",="",="3.599"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(3.426)",="",="",="(3.090)"
="post_3 # Wellcome Trust",="",="",="10.164",="",="",="8.177",="",="",="8.648",="",="",="10.164"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(6.237)",="",="",="(6.268)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="6.884*",="",="",="7.066*",="",="",="7.023",="",="",="6.884"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(4.776)",="",="",="(4.886)"
="post_4 # National Cancer Institute",="",="",="0.097",="",="",="0.068",="",="",="0.075",="",="",="0.097"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(4.007)",="",="",="(3.924)"
="post_4 # National Health and Medical Rese",="",="",="0.748",="",="",="0.511",="",="",="0.567",="",="",="0.748"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(4.787)",="",="",="(4.683)"
="post_4 # Wellcome Trust",="",="",="2.133",="",="",="-0.102",="",="",="0.428",="",="",="2.133"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(5.926)",="",="",="(6.637)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="9.920**",="",="",="10.123**",="",="",="10.075*",="",="",="9.920*"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(5.742)",="",="",="(5.418)"
="post_5 # National Cancer Institute",="",="",="-1.971",="",="",="-2.004",="",="",="-1.996",="",="",="-1.971"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(4.584)",="",="",="(4.283)"
="post_5 # National Health and Medical Rese",="",="",="1.911",="",="",="1.648",="",="",="1.710",="",="",="1.911"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(5.582)",="",="",="(5.138)"
="post_5 # Wellcome Trust",="",="",="6.886",="",="",="4.403",="",="",="4.992",="",="",="6.886"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(8.413)",="",="",="(8.277)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="5.497",="",="",="5.578",="",="",="5.559***",="",="",="5.497***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(1.331)",="",="",="(1.284)"
="pre_-1 # National Cancer Institute",="",="",="1.995",="",="",="1.982",="",="",="1.985**",="",="",="1.995**"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(0.937)",="",="",="(0.921)"
="pre_-1 # National Health and Medical Rese",="",="",="1.174",="",="",="1.068",="",="",="1.093",="",="",="1.174"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.061)",="",="",="(1.967)"
="pre_-1 # Wellcome Trust",="",="",="0.866",="",="",="-0.127",="",="",="0.108",="",="",="0.866"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(1.736)",="",="",="(1.733)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="3.365",="",="",="3.426",="",="",="3.411***",="",="",="3.365***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(1.041)",="",="",="(0.995)"
="pre_-2 # National Cancer Institute",="",="",="0.939",="",="",="0.930",="",="",="0.932",="",="",="0.939"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(0.760)",="",="",="(0.713)"
="pre_-2 # National Health and Medical Rese",="",="",="-0.239",="",="",="-0.318",="",="",="-0.299",="",="",="-0.239"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(1.785)",="",="",="(1.727)"
="pre_-2 # Wellcome Trust",="",="",="0.342",="",="",="-0.403",="",="",="-0.226",="",="",="0.342"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(1.291)",="",="",="(1.330)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="2.029",="",="",="2.070",="",="",="2.060**",="",="",="2.029**"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(0.936)",="",="",="(0.904)"
="pre_-3 # National Cancer Institute",="",="",="0.874",="",="",="0.867",="",="",="0.869",="",="",="0.874"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(0.671)",="",="",="(0.660)"
="pre_-3 # National Health and Medical Rese",="",="",="0.791",="",="",="0.738",="",="",="0.751",="",="",="0.791"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.079)",="",="",="(2.220)"
="pre_-3 # Wellcome Trust",="",="",="0.484",="",="",="-0.013",="",="",="0.105",="",="",="0.484"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(0.956)",="",="",="(1.008)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.637",="",="",="0.657",="",="",="0.653",="",="",="0.637"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(0.710)",="",="",="(0.780)"
="pre_-4 # National Cancer Institute",="",="",="0.466",="",="",="0.463",="",="",="0.464",="",="",="0.466"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(0.512)",="",="",="(0.579)"
="pre_-4 # National Health and Medical Rese",="",="",="-0.236",="",="",="-0.262",="",="",="-0.256",="",="",="-0.236"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.073)",="",="",="(2.146)"
="pre_-4 # Wellcome Trust",="",="",="-0.063",="",="",="-0.311",="",="",="-0.252",="",="",="-0.063"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(0.869)",="",="",="(0.929)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="6.680",="",="",="6.782*",="",="",="6.758***",="",="",="6.680***"
="",="",="",="(4.072)",="",="",="(3.997)",="",="",="(2.000)",="",="",="(1.881)"
="pre_0 # National Cancer Institute",="",="",="1.194",="",="",="1.178",="",="",="1.182",="",="",="1.194"
="",="",="",="(3.067)",="",="",="(3.011)",="",="",="(1.475)",="",="",="(1.438)"
="pre_0 # National Health and Medical Rese",="",="",="0.752",="",="",="0.620",="",="",="0.651",="",="",="0.752"
="",="",="",="(3.648)",="",="",="(3.580)",="",="",="(2.338)",="",="",="(2.268)"
="pre_0 # Wellcome Trust",="",="",="2.280",="",="",="1.039",="",="",="1.333",="",="",="2.280"
="",="",="",="(6.196)",="",="",="(6.082)",="",="",="(2.693)",="",="",="(2.649)"
="rsr_career_age",="",="",="",="2.209***",="2.180***",="2.130***",="2.002***",="1.949***",="1.864***",="",="",=""
="",="",="",="",="(0.042)",="(0.042)",="(0.042)",="(0.098)",="(0.097)",="(0.098)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.031***",="-0.031***",="-0.030***",="-0.024***",="-0.024***",="-0.023***",="",="",=""
="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.003)",="(0.003)",="(0.003)",="",="",=""
="Constant",="17.531***",="17.531***",="12.357***",="-2.681***",="-2.267**",="-3.457*",="-5.108**",="-4.499*",="-5.694**",="22.506***",="22.506***",="16.398***"
="",="(0.892)",="(0.889)",="(2.085)",="(0.922)",="(0.921)",="(2.062)",="(2.469)",="(2.456)",="(2.500)",="(0.205)",="(0.205)",="(0.339)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
