="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=1 # National Health and Medical Rese",="-26.235",="-26.748",="-26.049",="-27.113",="4.437",="3.903",="3.831",="1.119"
="",="(17.112)",="(17.065)",="(17.022)",="(16.511)",="(25.640)",="(25.728)",="(25.561)",="(24.470)"
="post_flag=1 # Wellcome Trust",="4.923",="4.071",="6.298",="-6.662",="46.448*",="46.364*",="46.392*",="21.735"
="",="(21.627)",="(21.673)",="(21.516)",="(20.287)",="(27.289)",="(27.574)",="(27.328)",="(20.794)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="20.114",="18.157",="20.507",="",="16.436",="14.018",="14.090",=""
="",="(20.108)",="(19.962)",="(20.037)",="",="(19.836)",="(19.556)",="(19.546)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="6.370",="7.562",="7.226",="",="0.268",="1.074",="1.027",=""
="",="(5.013)",="(5.020)",="(5.013)",="",="(9.278)",="(9.256)",="(9.121)",=""
="start_year=2009",="-2.283",="-2.373",="-2.722",="",="6.733",="7.999",="8.294",=""
="",="(4.233)",="(4.229)",="(4.175)",="",="(8.864)",="(8.990)",="(9.596)",=""
="start_year=2010",="-4.663",="-4.154",="-3.906",="",="-20.326**",="-21.954**",="-21.903**",=""
="",="(6.194)",="(6.205)",="(6.245)",="",="(9.824)",="(9.893)",="(10.004)",=""
="start_year=2011",="-18.706***",="-17.033***",="-16.971***",="",="-23.205***",="-22.804***",="-22.684**",=""
="",="(4.111)",="(4.081)",="(4.009)",="",="(8.806)",="(8.767)",="(8.970)",=""
="start_year=2012",="-23.612***",="-22.958***",="-23.421***",="",="-22.440**",="-20.953**",="-20.776*",=""
="",="(4.536)",="(4.468)",="(4.446)",="",="(10.763)",="(10.490)",="(10.623)",=""
="F",="",="-15.139***",="-14.925***",="",="",="7.277",="7.284",=""
="",="",="(4.922)",="(4.849)",="",="",="(6.964)",="(6.979)",=""
="M",="",="4.765",="5.037",="",="",="18.233***",="18.392***",=""
="",="",="(5.461)",="(5.267)",="",="",="(7.053)",="(7.013)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="-1.992***",="",="",="",="-0.013",=""
="",="",="",="(0.580)",="",="",="",="(1.032)",=""
="rsr_career_age_2",="",="",="0.048***",="",="",="",="-0.001",=""
="",="",="",="(0.014)",="",="",="",="(0.024)",=""
="Constant",="101.920***",="104.285***",="120.595***",="89.796***",="128.337***",="114.909***",="115.367***",="95.387***"
="",="(9.782)",="(10.529)",="(12.349)",="(1.766)",="(21.502)",="(21.884)",="(21.914)",="(3.066)"
="Observations",="11072",="11072",="11072",="11072",="10648",="10648",="10648",="10648"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
