="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="0.000",="",="0.000",="",="0.000",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.836***",="",="0.862***",="",="0.859***",="",="0.836***",=""
="",="(0.251)",="",="(0.242)",="",="(0.283)",="",="(0.244)",=""
="post_flag=1 # National Cancer Institute",="0.308",="",="0.303*",="",="0.304*",="",="0.308**",=""
="",="(0.189)",="",="(0.182)",="",="(0.178)",="",="(0.156)",=""
="post_flag=1 # National Health and Medical Rese",="0.665***",="",="0.631***",="",="0.635***",="",="0.665***",=""
="",="(0.225)",="",="(0.217)",="",="(0.214)",="",="(0.187)",=""
="post_flag=1 # Wellcome Trust",="-0.154",="",="-0.476",="",="-0.442",="",="-0.154",=""
="",="(0.382)",="",="(0.368)",="",="(0.314)",="",="(0.309)",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",=""
="start_year=2008",="0.016",="0.016",="0.173**",="0.173**",="0.131",="0.131",="",=""
="",="(0.078)",="(0.078)",="(0.075)",="(0.075)",="(0.237)",="(0.237)",="",=""
="start_year=2009",="-0.008",="-0.008",="-0.156**",="-0.155**",="-0.191",="-0.190",="",=""
="",="(0.075)",="(0.075)",="(0.072)",="(0.072)",="(0.210)",="(0.210)",="",=""
="start_year=2010",="-0.013",="-0.013",="0.062",="0.062",="-0.137",="-0.137",="",=""
="",="(0.082)",="(0.082)",="(0.079)",="(0.079)",="(0.232)",="(0.232)",="",=""
="start_year=2011",="0.004",="0.004",="0.116",="0.115",="0.163",="0.163",="",=""
="",="(0.083)",="(0.083)",="(0.080)",="(0.080)",="(0.245)",="(0.245)",="",=""
="start_year=2012",="-0.021",="-0.021",="0.278***",="0.277***",="0.284",="0.284",="",=""
="",="(0.085)",="(0.085)",="(0.082)",="(0.082)",="(0.206)",="(0.206)",="",=""
="post_0",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1",="",="1.089***",="",="0.159",="",="0.169",="",="1.089***"
="",="",="(0.322)",="",="(0.310)",="",="(0.135)",="",="(0.126)"
="post_2",="",="1.459***",="",="0.301",="",="0.310*",="",="1.459***"
="",="",="(0.322)",="",="(0.310)",="",="(0.178)",="",="(0.159)"
="post_3",="",="1.999***",="",="0.628**",="",="0.634***",="",="1.999***"
="",="",="(0.322)",="",="(0.310)",="",="(0.200)",="",="(0.176)"
="post_4",="",="2.464***",="",="0.893***",="",="0.895***",="",="2.464***"
="",="",="(0.322)",="",="(0.310)",="",="(0.260)",="",="(0.220)"
="post_5",="",="2.255***",="",="0.499",="",="0.496**",="",="2.255***"
="",="",="(0.322)",="",="(0.310)",="",="(0.246)",="",="(0.209)"
="post_0 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # National Cancer Institute",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # National Health and Medical Rese",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_0 # Wellcome Trust",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="0.730",="",="0.746*",="",="0.745***",="",="0.730***"
="",="",="(0.448)",="",="(0.431)",="",="(0.246)",="",="(0.224)"
="post_1 # National Cancer Institute",="",="0.579*",="",="0.576*",="",="0.576***",="",="0.579***"
="",="",="(0.338)",="",="(0.325)",="",="(0.185)",="",="(0.184)"
="post_1 # National Health and Medical Rese",="",="0.616",="",="0.594",="",="0.597**",="",="0.616**"
="",="",="(0.401)",="",="(0.386)",="",="(0.251)",="",="(0.246)"
="post_1 # Wellcome Trust",="",="0.118",="",="-0.087",="",="-0.065",="",="0.118"
="",="",="(0.682)",="",="(0.656)",="",="(0.286)",="",="(0.270)"
="post_2 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="1.026**",="",="1.047**",="",="1.045***",="",="1.026***"
="",="",="(0.448)",="",="(0.431)",="",="(0.293)",="",="(0.271)"
="post_2 # National Cancer Institute",="",="0.369",="",="0.366",="",="0.366*",="",="0.369**"
="",="",="(0.338)",="",="(0.325)",="",="(0.192)",="",="(0.172)"
="post_2 # National Health and Medical Rese",="",="0.474",="",="0.446",="",="0.448**",="",="0.474**"
="",="",="(0.401)",="",="(0.386)",="",="(0.218)",="",="(0.199)"
="post_2 # Wellcome Trust",="",="-0.281",="",="-0.544",="",="-0.517",="",="-0.281"
="",="",="(0.682)",="",="(0.656)",="",="(0.337)",="",="(0.300)"
="post_3 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="0.722",="",="0.748*",="",="0.745**",="",="0.722**"
="",="",="(0.448)",="",="(0.431)",="",="(0.342)",="",="(0.295)"
="post_3 # National Cancer Institute",="",="0.252",="",="0.247",="",="0.248",="",="0.252"
="",="",="(0.338)",="",="(0.325)",="",="(0.216)",="",="(0.199)"
="post_3 # National Health and Medical Rese",="",="0.384",="",="0.350",="",="0.354",="",="0.384*"
="",="",="(0.401)",="",="(0.386)",="",="(0.250)",="",="(0.220)"
="post_3 # Wellcome Trust",="",="-0.292",="",="-0.615",="",="-0.581",="",="-0.292"
="",="",="(0.682)",="",="(0.656)",="",="(0.359)",="",="(0.334)"
="post_4 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="0.598",="",="0.629",="",="0.625",="",="0.598*"
="",="",="(0.448)",="",="(0.431)",="",="(0.390)",="",="(0.328)"
="post_4 # National Cancer Institute",="",="0.051",="",="0.046",="",="0.046",="",="0.051"
="",="",="(0.338)",="",="(0.325)",="",="(0.272)",="",="(0.235)"
="post_4 # National Health and Medical Rese",="",="0.842**",="",="0.801**",="",="0.805**",="",="0.842***"
="",="",="(0.401)",="",="(0.386)",="",="(0.345)",="",="(0.319)"
="post_4 # Wellcome Trust",="",="-0.005",="",="-0.386",="",="-0.346",="",="-0.005"
="",="",="(0.682)",="",="(0.656)",="",="(0.765)",="",="(0.815)"
="post_5 # Cancer Research UK",="",="0.000",="",="0.000",="",="0.000",="",="0.000"
="",="",="(.)",="",="(.)",="",="(.)",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="1.105**",="",="1.140***",="",="1.137***",="",="1.105***"
="",="",="(0.448)",="",="(0.431)",="",="(0.372)",="",="(0.337)"
="post_5 # National Cancer Institute",="",="0.287",="",="0.282",="",="0.282",="",="0.287"
="",="",="(0.338)",="",="(0.325)",="",="(0.256)",="",="(0.222)"
="post_5 # National Health and Medical Rese",="",="1.011**",="",="0.964**",="",="0.969***",="",="1.011***"
="",="",="(0.401)",="",="(0.386)",="",="(0.310)",="",="(0.259)"
="post_5 # Wellcome Trust",="",="-0.309",="",="-0.748",="",="-0.702*",="",="-0.309"
="",="",="(0.682)",="",="(0.656)",="",="(0.402)",="",="(0.390)"
="rsr_career_age",="",="",="0.460***",="0.459***",="0.437***",="0.436***",="",=""
="",="",="",="(0.006)",="(0.006)",="(0.016)",="(0.016)",="",=""
="rsr_career_age_2",="",="",="-0.007***",="-0.007***",="-0.006***",="-0.006***",="",=""
="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",=""
="Constant",="-1.612***",="-1.612***",="-5.662***",="-5.654***",="-5.621***",="-5.609***",="-1.007***",="-1.007***"
="",="(0.128)",="(0.128)",="(0.130)",="(0.130)",="(0.373)",="(0.373)",="(0.022)",="(0.022)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="Yes",="Yes",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
