="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="(2.001)",="(1.999)",="(1.982)",="(1.453)",="(2.392)",="(2.433)",="(2.321)",="(1.594)"
="post_flag=1 # National Health and Medical Rese",="1.975",="1.975",="1.317",="1.975",="-0.100",="-0.100",="0.970",="-0.100"
="",="(2.305)",="(2.304)",="(2.280)",="(2.094)",="(5.122)",="(5.046)",="(4.546)",="(2.139)"
="post_flag=1 # Wellcome Trust",="0.118",="0.118",="-0.554",="0.118",="-9.364***",="-9.364***",="-10.727***",="-9.364***"
="",="(2.341)",="(2.332)",="(2.280)",="(2.156)",="(2.953)",="(2.990)",="(2.665)",="(1.851)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="0.629",="1.388*",="5.496***",="",="2.205",="2.575",="4.131**",=""
="",="(0.723)",="(0.796)",="(0.806)",="",="(1.907)",="(1.869)",="(1.707)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.691",="-0.715",="-0.673",="",="2.954*",="4.663**",="2.944",=""
="",="(0.616)",="(0.619)",="(0.614)",="",="(1.632)",="(2.024)",="(1.791)",=""
="start_year=2009",="6.123***",="6.207***",="5.451***",="",="20.408***",="20.900***",="12.634***",=""
="",="(0.964)",="(0.954)",="(0.945)",="",="(4.092)",="(4.132)",="(3.164)",=""
="start_year=2010",="-0.319",="0.003",="-0.035",="",="9.199***",="10.352***",="1.067",=""
="",="(0.650)",="(0.653)",="(0.654)",="",="(1.955)",="(2.183)",="(1.297)",=""
="start_year=2011",="1.352*",="1.401*",="1.481**",="",="8.281***",="8.786***",="8.556***",=""
="",="(0.736)",="(0.732)",="(0.720)",="",="(2.802)",="(2.868)",="(2.427)",=""
="start_year=2012",="0.649",="0.679",="0.237",="",="8.106***",="10.167***",="3.954**",=""
="",="(0.823)",="(0.845)",="(0.841)",="",="(1.929)",="(2.375)",="(1.566)",=""
="F",="",="2.256***",="2.433***",="",="",="-1.331",="-1.379",=""
="",="",="(0.538)",="(0.537)",="",="",="(1.222)",="(1.137)",=""
="M",="",="2.702***",="2.270***",="",="",="2.556*",="-0.678",=""
="",="",="(0.521)",="(0.508)",="",="",="(1.483)",="(0.959)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.509***",="",="",="",="-0.063",=""
="",="",="",="(0.051)",="",="",="",="(0.224)",=""
="rsr_career_age_2",="",="",="-0.010***",="",="",="",="0.022**",=""
="",="",="",="(0.002)",="",="",="",="(0.009)",=""
="Constant",="4.384***",="1.749",="-2.197*",="3.965***",="-4.814*",="-7.569*",="-8.236**",="6.232***"
="",="(1.186)",="(1.282)",="(1.317)",="(0.208)",="(2.756)",="(3.879)",="(3.829)",="(0.323)"
="Observations",="3113",="3113",="3113",="3113",="2992",="2992",="2992",="2992"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
