="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)"
="start_year=2011",="-19.131***",="-19.157***",="-19.111***",="-19.276***",="-19.281***",="-19.206***",="-18.499***",="-18.523***",="-18.472***",="",="",=""
="",="(0.910)",="(0.908)",="(0.907)",="(0.910)",="(0.908)",="(0.907)",="(1.714)",="(1.713)",="(1.707)",="",="",=""
="start_year=2012",="-24.705***",="-24.747***",="-24.638***",="-24.963***",="-24.971***",="-24.814***",="-25.372***",="-25.397***",="-25.223***",="",="",=""
="",="(0.943)",="(0.941)",="(0.940)",="(0.943)",="(0.942)",="(0.940)",="(1.659)",="(1.659)",="(1.655)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="-20.430***",="",="",="-20.081***",="",="",="-17.970***",="",="",="-18.869***",=""
="",="",="(3.464)",="",="",="(3.464)",="",="",="(1.909)",="",="",="(2.012)",=""
="post_2",="",="-23.627***",="",="",="-23.161***",="",="",="-22.355***",="",="",="-22.720***",=""
="",="",="(3.487)",="",="",="(3.488)",="",="",="(2.182)",="",="",="(1.936)",=""
="post_3",="",="-28.351***",="",="",="-27.769***",="",="",="-26.423***",="",="",="-26.805***",=""
="",="",="(3.472)",="",="",="(3.474)",="",="",="(2.381)",="",="",="(2.368)",=""
="post_4",="",="-31.595***",="",="",="-30.965***",="",="",="-29.827***",="",="",="-31.654***",=""
="",="",="(3.452)",="",="",="(3.455)",="",="",="(2.734)",="",="",="(2.565)",=""
="post_5",="",="-32.273***",="",="",="-31.611***",="",="",="-30.504***",="",="",="-32.148***",=""
="",="",="(3.483)",="",="",="(3.488)",="",="",="(6.512)",="",="",="(6.369)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="6.806",="",="",="6.716",="",="",="5.185**",="",="",="5.308*",=""
="",="",="(4.803)",="",="",="(4.802)",="",="",="(2.609)",="",="",="(2.776)",=""
="post_1 # National Cancer Institute",="",="1.764",="",="",="1.765",="",="",="0.003",="",="",="-0.212",=""
="",="",="(3.636)",="",="",="(3.635)",="",="",="(2.183)",="",="",="(2.245)",=""
="post_1 # National Health and Medical Rese",="",="3.296",="",="",="3.353",="",="",="1.930",="",="",="2.398",=""
="",="",="(4.325)",="",="",="(4.324)",="",="",="(2.404)",="",="",="(2.539)",=""
="post_1 # Wellcome Trust",="",="17.181**",="",="",="16.866**",="",="",="14.061*",="",="",="14.663*",=""
="",="",="(7.994)",="",="",="(7.993)",="",="",="(7.765)",="",="",="(8.137)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="9.257*",="",="",="9.065*",="",="",="8.929***",="",="",="8.502***",=""
="",="",="(4.821)",="",="",="(4.820)",="",="",="(2.825)",="",="",="(2.623)",=""
="post_2 # National Cancer Institute",="",="-0.473",="",="",="-0.496",="",="",="-0.937",="",="",="-1.769",=""
="",="",="(3.657)",="",="",="(3.656)",="",="",="(2.480)",="",="",="(2.219)",=""
="post_2 # National Health and Medical Rese",="",="3.080",="",="",="3.086",="",="",="2.969",="",="",="2.383",=""
="",="",="(4.337)",="",="",="(4.336)",="",="",="(2.854)",="",="",="(2.653)",=""
="post_2 # Wellcome Trust",="",="7.134",="",="",="6.761",="",="",="5.907",="",="",="6.325",=""
="",="",="(7.944)",="",="",="(7.943)",="",="",="(5.673)",="",="",="(5.109)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="9.104*",="",="",="8.889*",="",="",="8.661***",="",="",="8.150***",=""
="",="",="(4.790)",="",="",="(4.789)",="",="",="(2.922)",="",="",="(2.940)",=""
="post_3 # National Cancer Institute",="",="-2.155",="",="",="-2.206",="",="",="-3.078",="",="",="-4.573*",=""
="",="",="(3.642)",="",="",="(3.641)",="",="",="(2.543)",="",="",="(2.529)",=""
="post_3 # National Health and Medical Rese",="",="1.831",="",="",="1.825",="",="",="1.315",="",="",="0.721",=""
="",="",="(4.327)",="",="",="(4.326)",="",="",="(2.808)",="",="",="(2.800)",=""
="post_3 # Wellcome Trust",="",="9.175",="",="",="8.674",="",="",="8.958",="",="",="7.238",=""
="",="",="(7.923)",="",="",="(7.921)",="",="",="(7.229)",="",="",="(6.131)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="8.638*",="",="",="8.442*",="",="",="8.426***",="",="",="9.102***",=""
="",="",="(4.785)",="",="",="(4.785)",="",="",="(3.127)",="",="",="(3.083)",=""
="post_4 # National Cancer Institute",="",="-5.904",="",="",="-5.915",="",="",="-6.592**",="",="",="-6.811**",=""
="",="",="(3.625)",="",="",="(3.624)",="",="",="(2.909)",="",="",="(2.700)",=""
="post_4 # National Health and Medical Rese",="",="-0.687",="",="",="-0.660",="",="",="-0.756",="",="",="0.010",=""
="",="",="(4.302)",="",="",="(4.301)",="",="",="(2.972)",="",="",="(2.891)",=""
="post_4 # Wellcome Trust",="",="3.054",="",="",="2.370",="",="",="1.880",="",="",="3.362",=""
="",="",="(7.658)",="",="",="(7.658)",="",="",="(7.064)",="",="",="(6.617)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="6.191",="",="",="6.000",="",="",="6.196",="",="",="6.581",=""
="",="",="(4.803)",="",="",="(4.802)",="",="",="(6.716)",="",="",="(6.578)",=""
="post_5 # National Cancer Institute",="",="-10.383***",="",="",="-10.387***",="",="",="-11.203*",="",="",="-11.878*",=""
="",="",="(3.656)",="",="",="(3.656)",="",="",="(6.608)",="",="",="(6.427)",=""
="post_5 # National Health and Medical Rese",="",="-3.641",="",="",="-3.588",="",="",="-3.627",="",="",="-3.726",=""
="",="",="(4.335)",="",="",="(4.334)",="",="",="(6.702)",="",="",="(6.612)",=""
="post_5 # Wellcome Trust",="",="-3.439",="",="",="-3.998",="",="",="-4.218",="",="",="-2.509",=""
="",="",="(7.660)",="",="",="(7.659)",="",="",="(8.654)",="",="",="(7.990)",=""
="post_1",="",="",="-25.178***",="",="",="-24.772***",="",="",="-22.166***",="",="",="-23.792***"
="",="",="",="(4.668)",="",="",="(4.669)",="",="",="(3.498)",="",="",="(3.069)"
="post_2",="",="",="-28.375***",="",="",="-27.905***",="",="",="-26.645***",="",="",="-27.643***"
="",="",="",="(4.685)",="",="",="(4.687)",="",="",="(3.720)",="",="",="(3.025)"
="post_3",="",="",="-33.099***",="",="",="-32.567***",="",="",="-30.825***",="",="",="-31.707***"
="",="",="",="(4.673)",="",="",="(4.677)",="",="",="(3.745)",="",="",="(3.362)"
="post_4",="",="",="-36.343***",="",="",="-35.806***",="",="",="-34.311***",="",="",="-36.566***"
="",="",="",="(4.659)",="",="",="(4.664)",="",="",="(3.819)",="",="",="(3.420)"
="post_5",="",="",="-37.022***",="",="",="-36.493***",="",="",="-35.054***",="",="",="-37.064***"
="",="",="",="(4.682)",="",="",="(4.688)",="",="",="(7.287)",="",="",="(6.908)"
="pre_-1",="",="",="-12.138***",="",="",="-11.833**",="",="",="-11.087***",="",="",="-11.966***"
="",="",="",="(4.694)",="",="",="(4.694)",="",="",="(3.789)",="",="",="(3.500)"
="pre_-2",="",="",="-0.606",="",="",="-0.356",="",="",="0.416",="",="",="-1.008"
="",="",="",="(4.713)",="",="",="(4.713)",="",="",="(4.645)",="",="",="(4.554)"
="pre_-3",="",="",="2.706",="",="",="2.841",="",="",="2.909",="",="",="2.005"
="",="",="",="(4.747)",="",="",="(4.746)",="",="",="(4.273)",="",="",="(4.520)"
="pre_-4",="",="",="-2.372",="",="",="-2.240",="",="",="-2.110",="",="",="-3.057"
="",="",="",="(4.808)",="",="",="(4.807)",="",="",="(3.585)",="",="",="(3.639)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="-14.860***",="",="",="-14.481***",="",="",="-12.297***",="",="",="-14.028***"
="",="",="",="(4.686)",="",="",="(4.687)",="",="",="(3.573)",="",="",="(3.354)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="4.192",="",="",="4.048",="",="",="2.224",="",="",="2.791"
="",="",="",="(6.480)",="",="",="(6.479)",="",="",="(5.560)",="",="",="(5.340)"
="post_1 # National Cancer Institute",="",="",="-4.068",="",="",="-4.117",="",="",="-6.374",="",="",="-6.245*"
="",="",="",="(4.902)",="",="",="(4.902)",="",="",="(4.203)",="",="",="(3.508)"
="post_1 # National Health and Medical Rese",="",="",="0.574",="",="",="0.581",="",="",="-1.276",="",="",="-0.076"
="",="",="",="(5.853)",="",="",="(5.853)",="",="",="(4.212)",="",="",="(3.975)"
="post_1 # Wellcome Trust",="",="",="18.721*",="",="",="18.284*",="",="",="15.922*",="",="",="17.151*"
="",="",="",="(11.060)",="",="",="(11.059)",="",="",="(9.484)",="",="",="(10.124)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="6.643",="",="",="6.419",="",="",="5.982",="",="",="5.973"
="",="",="",="(6.493)",="",="",="(6.493)",="",="",="(5.807)",="",="",="(5.379)"
="post_2 # National Cancer Institute",="",="",="-6.304",="",="",="-6.368",="",="",="-7.302*",="",="",="-7.805**"
="",="",="",="(4.918)",="",="",="(4.917)",="",="",="(4.327)",="",="",="(3.501)"
="post_2 # National Health and Medical Rese",="",="",="0.358",="",="",="0.329",="",="",="-0.223",="",="",="-0.106"
="",="",="",="(5.862)",="",="",="(5.861)",="",="",="(4.607)",="",="",="(4.072)"
="post_2 # Wellcome Trust",="",="",="8.675",="",="",="8.204",="",="",="7.817",="",="",="8.691"
="",="",="",="(11.025)",="",="",="(11.024)",="",="",="(8.433)",="",="",="(8.641)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="6.489",="",="",="6.249",="",="",="5.727",="",="",="5.597"
="",="",="",="(6.470)",="",="",="(6.470)",="",="",="(5.715)",="",="",="(5.473)"
="post_3 # National Cancer Institute",="",="",="-7.987",="",="",="-8.076*",="",="",="-9.428**",="",="",="-10.615***"
="",="",="",="(4.907)",="",="",="(4.906)",="",="",="(4.292)",="",="",="(3.751)"
="post_3 # National Health and Medical Rese",="",="",="-0.892",="",="",="-0.937",="",="",="-1.871",="",="",="-1.794"
="",="",="",="(5.855)",="",="",="(5.854)",="",="",="(4.529)",="",="",="(4.178)"
="post_3 # Wellcome Trust",="",="",="10.710",="",="",="10.140",="",="",="10.964",="",="",="9.676"
="",="",="",="(11.009)",="",="",="(11.008)",="",="",="(8.788)",="",="",="(8.405)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="6.023",="",="",="5.794",="",="",="5.498",="",="",="6.558"
="",="",="",="(6.467)",="",="",="(6.466)",="",="",="(5.670)",="",="",="(5.500)"
="post_4 # National Cancer Institute",="",="",="-11.735**",="",="",="-11.793**",="",="",="-12.948***",="",="",="-12.846***"
="",="",="",="(4.894)",="",="",="(4.893)",="",="",="(4.397)",="",="",="(3.786)"
="post_4 # National Health and Medical Rese",="",="",="-3.409",="",="",="-3.419",="",="",="-3.942",="",="",="-2.492"
="",="",="",="(5.837)",="",="",="(5.836)",="",="",="(4.374)",="",="",="(4.194)"
="post_4 # Wellcome Trust",="",="",="4.593",="",="",="3.919",="",="",="3.933",="",="",="5.709"
="",="",="",="(10.821)",="",="",="(10.821)",="",="",="(9.245)",="",="",="(9.135)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="3.577",="",="",="3.347",="",="",="3.243",="",="",="4.044"
="",="",="",="(6.480)",="",="",="(6.479)",="",="",="(8.494)",="",="",="(8.181)"
="post_5 # National Cancer Institute",="",="",="-16.215***",="",="",="-16.271***",="",="",="-17.569**",="",="",="-17.891**"
="",="",="",="(4.917)",="",="",="(4.917)",="",="",="(7.646)",="",="",="(7.102)"
="post_5 # National Health and Medical Rese",="",="",="-6.363",="",="",="-6.360",="",="",="-6.827",="",="",="-6.210"
="",="",="",="(5.860)",="",="",="(5.860)",="",="",="(7.724)",="",="",="(7.411)"
="post_5 # Wellcome Trust",="",="",="-1.901",="",="",="-2.485",="",="",="-2.245",="",="",="-0.128"
="",="",="",="(10.823)",="",="",="(10.822)",="",="",="(9.794)",="",="",="(9.644)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="1.857",="",="",="1.732",="",="",="1.406",="",="",="1.807"
="",="",="",="(6.514)",="",="",="(6.513)",="",="",="(6.750)",="",="",="(6.587)"
="pre_-1 # National Cancer Institute",="",="",="-5.029",="",="",="-5.093",="",="",="-5.387",="",="",="-5.516"
="",="",="",="(4.930)",="",="",="(4.930)",="",="",="(4.262)",="",="",="(3.891)"
="pre_-1 # National Health and Medical Rese",="",="",="0.811",="",="",="0.770",="",="",="0.455",="",="",="0.929"
="",="",="",="(5.885)",="",="",="(5.884)",="",="",="(4.707)",="",="",="(4.439)"
="pre_-1 # Wellcome Trust",="",="",="-2.448",="",="",="-2.807",="",="",="-2.314",="",="",="1.120"
="",="",="",="(11.200)",="",="",="(11.199)",="",="",="(8.323)",="",="",="(9.613)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="-5.304",="",="",="-5.413",="",="",="-5.661",="",="",="-4.813"
="",="",="",="(6.552)",="",="",="(6.551)",="",="",="(6.537)",="",="",="(6.413)"
="pre_-2 # National Cancer Institute",="",="",="-10.662**",="",="",="-10.741**",="",="",="-11.157**",="",="",="-10.468**"
="",="",="",="(4.951)",="",="",="(4.951)",="",="",="(5.102)",="",="",="(4.933)"
="pre_-2 # National Health and Medical Rese",="",="",="-3.861",="",="",="-3.929",="",="",="-4.387",="",="",="-3.225"
="",="",="",="(5.910)",="",="",="(5.909)",="",="",="(5.920)",="",="",="(5.840)"
="pre_-2 # Wellcome Trust",="",="",="-8.070",="",="",="-8.440",="",="",="-8.481",="",="",="-6.571"
="",="",="",="(11.246)",="",="",="(11.244)",="",="",="(9.506)",="",="",="(9.475)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="-12.825*",="",="",="-12.835*",="",="",="-12.139**",="",="",="-11.753*"
="",="",="",="(6.621)",="",="",="(6.620)",="",="",="(5.894)",="",="",="(6.054)"
="pre_-3 # National Cancer Institute",="",="",="-10.183**",="",="",="-10.198**",="",="",="-10.213**",="",="",="-9.635**"
="",="",="",="(4.987)",="",="",="(4.986)",="",="",="(4.629)",="",="",="(4.855)"
="pre_-3 # National Health and Medical Rese",="",="",="-9.879*",="",="",="-9.889*",="",="",="-9.731*",="",="",="-9.241*"
="",="",="",="(5.964)",="",="",="(5.963)",="",="",="(5.407)",="",="",="(5.395)"
="pre_-3 # Wellcome Trust",="",="",="15.685",="",="",="15.561",="",="",="16.773",="",="",="15.903"
="",="",="",="(11.453)",="",="",="(11.452)",="",="",="(16.962)",="",="",="(17.137)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="-1.402",="",="",="-1.486",="",="",="-1.867",="",="",="-1.688"
="",="",="",="(6.673)",="",="",="(6.672)",="",="",="(6.027)",="",="",="(6.183)"
="pre_-4 # National Cancer Institute",="",="",="0.552",="",="",="0.470",="",="",="0.271",="",="",="0.846"
="",="",="",="(5.048)",="",="",="(5.048)",="",="",="(4.233)",="",="",="(4.133)"
="pre_-4 # National Health and Medical Rese",="",="",="-1.763",="",="",="-1.846",="",="",="-1.816",="",="",="-0.906"
="",="",="",="(6.029)",="",="",="(6.028)",="",="",="(4.507)",="",="",="(4.771)"
="pre_-4 # Wellcome Trust",="",="",="9.070",="",="",="9.064",="",="",="10.387",="",="",="9.467"
="",="",="",="(11.707)",="",="",="(11.705)",="",="",="(15.918)",="",="",="(12.324)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="1.787",="",="",="1.650",="",="",="0.325",="",="",="1.108"
="",="",="",="(6.512)",="",="",="(6.511)",="",="",="(5.995)",="",="",="(5.800)"
="pre_0 # National Cancer Institute",="",="",="-8.519*",="",="",="-8.595*",="",="",="-10.513**",="",="",="-9.793***"
="",="",="",="(4.922)",="",="",="(4.921)",="",="",="(4.209)",="",="",="(3.762)"
="pre_0 # National Health and Medical Rese",="",="",="-1.228",="",="",="-1.277",="",="",="-3.210",="",="",="-1.927"
="",="",="",="(5.873)",="",="",="(5.873)",="",="",="(4.492)",="",="",="(4.299)"
="pre_0 # Wellcome Trust",="",="",="-1.201",="",="",="-1.520",="",="",="-1.603",="",="",="-1.234"
="",="",="",="(11.125)",="",="",="(11.124)",="",="",="(8.013)",="",="",="(8.166)"
="rsr_career_age",="",="",="",="-0.669***",="-0.598***",="-0.479***",="-0.998***",="-0.890***",="-0.688***",="",="",=""
="",="",="",="",="(0.089)",="(0.089)",="(0.089)",="(0.240)",="(0.240)",="(0.236)",="",="",=""
="rsr_career_age_2",="",="",="",="0.014***",="0.014***",="0.012***",="0.019***",="0.019***",="0.016***",="",="",=""
="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.005)",="(0.005)",="(0.005)",="",="",=""
="Constant",="74.165***",="74.182***",="78.918***",="79.841***",="78.942***",="82.285***",="80.609***",="79.377***",="81.356***",="62.647***",="62.664***",="72.257***"
="",="(1.418)",="(1.415)",="(3.439)",="(1.594)",="(1.591)",="(3.505)",="(4.052)",="(4.049)",="(5.000)",="(0.270)",="(0.270)",="(1.070)"
="Observations",="112218",="112218",="112218",="112218",="112218",="112218",="112218",="112218",="112218",="112218",="112218",="112218"
