="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="",="(0.054)",="(0.054)",="(0.132)",="(0.053)",="(0.053)",="(0.129)",="(0.053)",="(0.053)",="(0.129)",="(0.174)",="(0.174)",="(0.186)",="(.)",="(.)",="(.)"
="Wellcome Trust",="-0.406***",="-0.406***",="-0.392*",="0.019",="0.013",="0.052",="0.019",="0.013",="0.052",="0.097",="0.088",="0.114",="0.000",="0.000",="0.000"
="",="(0.093)",="(0.092)",="(0.225)",="(0.090)",="(0.090)",="(0.220)",="(0.090)",="(0.090)",="(0.220)",="(0.174)",="(0.174)",="(0.179)",="(.)",="(.)",="(.)"
="post_flag=0 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # INCa/INSERM/DGOS",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Cancer Institute",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # National Health and Medical Rese",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=0 # Wellcome Trust",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # Cancer Research UK",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",=""
="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",=""
="post_flag=1 # INCa/INSERM/DGOS",="0.046",="",="",="0.056",="",="",="0.056",="",="",="0.054",="",="",="0.046",="",=""
="",="(0.090)",="",="",="(0.087)",="",="",="(0.087)",="",="",="(0.135)",="",="",="(0.122)",="",=""
="post_flag=1 # National Cancer Institute",="-0.469***",="",="",="-0.470***",="",="",="-0.470***",="",="",="-0.470***",="",="",="-0.469***",="",=""
="",="(0.068)",="",="",="(0.066)",="",="",="(0.066)",="",="",="(0.097)",="",="",="(0.089)",="",=""
="post_flag=1 # National Health and Medical Rese",="0.055",="",="",="0.047",="",="",="0.047",="",="",="0.048",="",="",="0.055",="",=""
="",="(0.081)",="",="",="(0.078)",="",="",="(0.078)",="",="",="(0.119)",="",="",="(0.112)",="",=""
="post_flag=1 # Wellcome Trust",="0.327**",="",="",="0.248*",="",="",="0.248*",="",="",="0.267",="",="",="0.327",="",=""
="",="(0.137)",="",="",="(0.133)",="",="",="(0.133)",="",="",="(0.216)",="",="",="(0.224)",="",=""
="False",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="True",="-0.079",="-0.079",="-0.079",="-0.147*",="-0.147*",="-0.146*",="-0.147*",="-0.147*",="-0.146*",="-0.135",="-0.132",="-0.128",="",="",=""
="",="(0.081)",="(0.081)",="(0.081)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.079)",="(0.285)",="(0.286)",="(0.286)",="",="",=""
="start_year=2007",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="start_year=2008",="-0.041",="-0.041",="-0.041",="0.011",="0.011",="0.010",="0.011",="0.011",="0.010",="0.035",="0.034",="0.033",="",="",=""
="",="(0.028)",="(0.028)",="(0.028)",="(0.027)",="(0.027)",="(0.027)",="(0.027)",="(0.027)",="(0.027)",="(0.061)",="(0.061)",="(0.061)",="",="",=""
="start_year=2009",="0.275***",="0.275***",="0.275***",="0.227***",="0.229***",="0.230***",="0.227***",="0.229***",="0.230***",="0.249***",="0.252***",="0.254***",="",="",=""
="",="(0.027)",="(0.027)",="(0.027)",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.026)",="(0.072)",="(0.072)",="(0.072)",="",="",=""
="start_year=2010",="0.273***",="0.273***",="0.273***",="0.302***",="0.302***",="0.302***",="0.302***",="0.302***",="0.302***",="0.282***",="0.281***",="0.281***",="",="",=""
="",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.028)",="(0.028)",="(0.029)",="(0.028)",="(0.028)",="(0.066)",="(0.066)",="(0.066)",="",="",=""
="start_year=2011",="0.411***",="0.411***",="0.411***",="0.456***",="0.456***",="0.455***",="0.456***",="0.456***",="0.455***",="0.483***",="0.483***",="0.483***",="",="",=""
="",="(0.030)",="(0.030)",="(0.030)",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.029)",="(0.085)",="(0.085)",="(0.085)",="",="",=""
="start_year=2012",="0.393***",="0.393***",="0.393***",="0.485***",="0.484***",="0.482***",="0.485***",="0.484***",="0.482***",="0.503***",="0.502***",="0.499***",="",="",=""
="",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.030)",="(0.075)",="(0.075)",="(0.075)",="",="",=""
="post_0",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1",="",="0.797***",="",="",="0.526***",="",="",="0.526***",="",="",="0.548***",="",="",="0.797***",=""
="",="",="(0.115)",="",="",="(0.112)",="",="",="(0.112)",="",="",="(0.079)",="",="",="(0.080)",=""
="post_2",="",="1.083***",="",="",="0.745***",="",="",="0.745***",="",="",="0.770***",="",="",="1.083***",=""
="",="",="(0.115)",="",="",="(0.112)",="",="",="(0.112)",="",="",="(0.113)",="",="",="(0.102)",=""
="post_3",="",="1.267***",="",="",="0.864***",="",="",="0.864***",="",="",="0.893***",="",="",="1.267***",=""
="",="",="(0.115)",="",="",="(0.112)",="",="",="(0.112)",="",="",="(0.115)",="",="",="(0.104)",=""
="post_4",="",="1.812***",="",="",="1.349***",="",="",="1.349***",="",="",="1.379***",="",="",="1.812***",=""
="",="",="(0.115)",="",="",="(0.112)",="",="",="(0.112)",="",="",="(0.174)",="",="",="(0.153)",=""
="post_5",="",="2.110***",="",="",="1.589***",="",="",="1.589***",="",="",="1.621***",="",="",="2.110***",=""
="",="",="(0.115)",="",="",="(0.112)",="",="",="(0.112)",="",="",="(0.152)",="",="",="(0.148)",=""
="post_0 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # INCa/INSERM/DGOS",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Cancer Institute",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # National Health and Medical Rese",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_0 # Wellcome Trust",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_1 # INCa/INSERM/DGOS",="",="-0.071",="",="",="-0.065",="",="",="-0.065",="",="",="-0.066",="",="",="-0.071",=""
="",="",="(0.160)",="",="",="(0.156)",="",="",="(0.156)",="",="",="(0.140)",="",="",="(0.122)",=""
="post_1 # National Cancer Institute",="",="-0.281**",="",="",="-0.282**",="",="",="-0.282**",="",="",="-0.282***",="",="",="-0.281***",=""
="",="",="(0.120)",="",="",="(0.117)",="",="",="(0.117)",="",="",="(0.083)",="",="",="(0.084)",=""
="post_1 # National Health and Medical Rese",="",="0.142",="",="",="0.137",="",="",="0.137",="",="",="0.138",="",="",="0.142",=""
="",="",="(0.143)",="",="",="(0.139)",="",="",="(0.139)",="",="",="(0.107)",="",="",="(0.114)",=""
="post_1 # Wellcome Trust",="",="0.017",="",="",="-0.033",="",="",="-0.033",="",="",="-0.021",="",="",="0.017",=""
="",="",="(0.244)",="",="",="(0.237)",="",="",="(0.237)",="",="",="(0.150)",="",="",="(0.157)",=""
="post_2 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_2 # INCa/INSERM/DGOS",="",="-0.032",="",="",="-0.024",="",="",="-0.024",="",="",="-0.026",="",="",="-0.032",=""
="",="",="(0.160)",="",="",="(0.156)",="",="",="(0.156)",="",="",="(0.153)",="",="",="(0.143)",=""
="post_2 # National Cancer Institute",="",="-0.378***",="",="",="-0.379***",="",="",="-0.379***",="",="",="-0.379***",="",="",="-0.378***",=""
="",="",="(0.120)",="",="",="(0.117)",="",="",="(0.117)",="",="",="(0.118)",="",="",="(0.105)",=""
="post_2 # National Health and Medical Rese",="",="0.036",="",="",="0.029",="",="",="0.029",="",="",="0.031",="",="",="0.036",=""
="",="",="(0.143)",="",="",="(0.139)",="",="",="(0.139)",="",="",="(0.138)",="",="",="(0.133)",=""
="post_2 # Wellcome Trust",="",="0.352",="",="",="0.287",="",="",="0.287",="",="",="0.302",="",="",="0.352",=""
="",="",="(0.244)",="",="",="(0.237)",="",="",="(0.237)",="",="",="(0.266)",="",="",="(0.265)",=""
="post_3 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_3 # INCa/INSERM/DGOS",="",="0.114",="",="",="0.123",="",="",="0.123",="",="",="0.121",="",="",="0.114",=""
="",="",="(0.160)",="",="",="(0.156)",="",="",="(0.156)",="",="",="(0.157)",="",="",="(0.152)",=""
="post_3 # National Cancer Institute",="",="-0.339***",="",="",="-0.340***",="",="",="-0.340***",="",="",="-0.340***",="",="",="-0.339***",=""
="",="",="(0.120)",="",="",="(0.117)",="",="",="(0.117)",="",="",="(0.121)",="",="",="(0.109)",=""
="post_3 # National Health and Medical Rese",="",="0.025",="",="",="0.017",="",="",="0.017",="",="",="0.019",="",="",="0.025",=""
="",="",="(0.143)",="",="",="(0.139)",="",="",="(0.139)",="",="",="(0.154)",="",="",="(0.139)",=""
="post_3 # Wellcome Trust",="",="0.654***",="",="",="0.574**",="",="",="0.574**",="",="",="0.593**",="",="",="0.654**",=""
="",="",="(0.244)",="",="",="(0.237)",="",="",="(0.237)",="",="",="(0.288)",="",="",="(0.286)",=""
="post_4 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_4 # INCa/INSERM/DGOS",="",="0.040",="",="",="0.051",="",="",="0.051",="",="",="0.049",="",="",="0.040",=""
="",="",="(0.160)",="",="",="(0.156)",="",="",="(0.156)",="",="",="(0.237)",="",="",="(0.216)",=""
="post_4 # National Cancer Institute",="",="-0.577***",="",="",="-0.578***",="",="",="-0.578***",="",="",="-0.577***",="",="",="-0.577***",=""
="",="",="(0.120)",="",="",="(0.117)",="",="",="(0.117)",="",="",="(0.182)",="",="",="(0.158)",=""
="post_4 # National Health and Medical Rese",="",="0.118",="",="",="0.108",="",="",="0.108",="",="",="0.110",="",="",="0.118",=""
="",="",="(0.143)",="",="",="(0.139)",="",="",="(0.139)",="",="",="(0.211)",="",="",="(0.194)",=""
="post_4 # Wellcome Trust",="",="0.198",="",="",="0.104",="",="",="0.104",="",="",="0.126",="",="",="0.198",=""
="",="",="(0.244)",="",="",="(0.237)",="",="",="(0.237)",="",="",="(0.280)",="",="",="(0.312)",=""
="post_5 # Cancer Research UK",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",=""
="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",=""
="post_5 # INCa/INSERM/DGOS",="",="0.180",="",="",="0.193",="",="",="0.193",="",="",="0.190",="",="",="0.180",=""
="",="",="(0.160)",="",="",="(0.156)",="",="",="(0.156)",="",="",="(0.232)",="",="",="(0.221)",=""
="post_5 # National Cancer Institute",="",="-0.771***",="",="",="-0.772***",="",="",="-0.772***",="",="",="-0.772***",="",="",="-0.771***",=""
="",="",="(0.120)",="",="",="(0.117)",="",="",="(0.117)",="",="",="(0.160)",="",="",="(0.154)",=""
="post_5 # National Health and Medical Rese",="",="-0.047",="",="",="-0.059",="",="",="-0.059",="",="",="-0.056",="",="",="-0.047",=""
="",="",="(0.143)",="",="",="(0.139)",="",="",="(0.139)",="",="",="(0.204)",="",="",="(0.195)",=""
="post_5 # Wellcome Trust",="",="0.415*",="",="",="0.306",="",="",="0.306",="",="",="0.332",="",="",="0.415",=""
="",="",="(0.244)",="",="",="(0.237)",="",="",="(0.237)",="",="",="(0.397)",="",="",="(0.402)",=""
="post_1",="",="",="1.229***",="",="",="0.757***",="",="",="0.757***",="",="",="0.806***",="",="",="1.229***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.101)",="",="",="(0.103)"
="post_2",="",="",="1.515***",="",="",="0.977***",="",="",="0.977***",="",="",="1.030***",="",="",="1.515***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.136)",="",="",="(0.121)"
="post_3",="",="",="1.699***",="",="",="1.097***",="",="",="1.097***",="",="",="1.155***",="",="",="1.699***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.137)",="",="",="(0.124)"
="post_4",="",="",="2.244***",="",="",="1.583***",="",="",="1.583***",="",="",="1.644***",="",="",="2.244***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.194)",="",="",="(0.171)"
="post_5",="",="",="2.542***",="",="",="1.824***",="",="",="1.824***",="",="",="1.888***",="",="",="2.542***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.170)",="",="",="(0.165)"
="pre_-1",="",="",="0.740***",="",="",="0.411***",="",="",="0.411***",="",="",="0.447***",="",="",="0.740***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.087)",="",="",="(0.089)"
="pre_-2",="",="",="0.480***",="",="",="0.229",="",="",="0.229",="",="",="0.257***",="",="",="0.480***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.075)",="",="",="(0.073)"
="pre_-3",="",="",="0.280*",="",="",="0.109",="",="",="0.109",="",="",="0.129**",="",="",="0.280***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.062)",="",="",="(0.061)"
="pre_-4",="",="",="0.109",="",="",="0.022",="",="",="0.022",="",="",="0.032",="",="",="0.109*"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.058)",="",="",="(0.058)"
="pre_-5",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0",="",="",="0.984***",="",="",="0.582***",="",="",="0.582***",="",="",="0.625***",="",="",="0.984***"
="",="",="",="(0.150)",="",="",="(0.146)",="",="",="(0.146)",="",="",="(0.093)",="",="",="(0.092)"
="post_1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_1 # INCa/INSERM/DGOS",="",="",="0.004",="",="",="0.014",="",="",="0.014",="",="",="0.012",="",="",="0.004"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.172)",="",="",="(0.151)"
="post_1 # National Cancer Institute",="",="",="-0.407***",="",="",="-0.408***",="",="",="-0.408***",="",="",="-0.408***",="",="",="-0.407***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.105)",="",="",="(0.107)"
="post_1 # National Health and Medical Rese",="",="",="0.154",="",="",="0.145",="",="",="0.145",="",="",="0.148",="",="",="0.154"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.143)",="",="",="(0.145)"
="post_1 # Wellcome Trust",="",="",="0.004",="",="",="-0.081",="",="",="-0.081",="",="",="-0.059",="",="",="0.004"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.196)",="",="",="(0.198)"
="post_2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_2 # INCa/INSERM/DGOS",="",="",="0.043",="",="",="0.055",="",="",="0.055",="",="",="0.052",="",="",="0.043"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.184)",="",="",="(0.173)"
="post_2 # National Cancer Institute",="",="",="-0.504***",="",="",="-0.505***",="",="",="-0.505***",="",="",="-0.505***",="",="",="-0.504***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.141)",="",="",="(0.125)"
="post_2 # National Health and Medical Rese",="",="",="0.047",="",="",="0.037",="",="",="0.037",="",="",="0.040",="",="",="0.047"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.171)",="",="",="(0.164)"
="post_2 # Wellcome Trust",="",="",="0.338",="",="",="0.240",="",="",="0.240",="",="",="0.265",="",="",="0.338"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.306)",="",="",="(0.299)"
="post_3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_3 # INCa/INSERM/DGOS",="",="",="0.188",="",="",="0.202",="",="",="0.202",="",="",="0.199",="",="",="0.188"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.189)",="",="",="(0.181)"
="post_3 # National Cancer Institute",="",="",="-0.465***",="",="",="-0.466***",="",="",="-0.466***",="",="",="-0.466***",="",="",="-0.465***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.142)",="",="",="(0.129)"
="post_3 # National Health and Medical Rese",="",="",="0.037",="",="",="0.025",="",="",="0.025",="",="",="0.028",="",="",="0.037"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.192)",="",="",="(0.171)"
="post_3 # Wellcome Trust",="",="",="0.640**",="",="",="0.528*",="",="",="0.528*",="",="",="0.557*",="",="",="0.640**"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.315)",="",="",="(0.318)"
="post_4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_4 # INCa/INSERM/DGOS",="",="",="0.115",="",="",="0.130",="",="",="0.130",="",="",="0.126",="",="",="0.115"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.263)",="",="",="(0.240)"
="post_4 # National Cancer Institute",="",="",="-0.703***",="",="",="-0.704***",="",="",="-0.704***",="",="",="-0.703***",="",="",="-0.703***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.202)",="",="",="(0.177)"
="post_4 # National Health and Medical Rese",="",="",="0.129",="",="",="0.116",="",="",="0.116",="",="",="0.119",="",="",="0.129"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.242)",="",="",="(0.222)"
="post_4 # Wellcome Trust",="",="",="0.184",="",="",="0.058",="",="",="0.058",="",="",="0.091",="",="",="0.184"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.327)",="",="",="(0.347)"
="post_5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="post_5 # INCa/INSERM/DGOS",="",="",="0.255",="",="",="0.272",="",="",="0.272",="",="",="0.267",="",="",="0.255"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.255)",="",="",="(0.243)"
="post_5 # National Cancer Institute",="",="",="-0.897***",="",="",="-0.899***",="",="",="-0.899***",="",="",="-0.898***",="",="",="-0.897***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.177)",="",="",="(0.172)"
="post_5 # National Health and Medical Rese",="",="",="-0.036",="",="",="-0.050",="",="",="-0.050",="",="",="-0.046",="",="",="-0.036"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.233)",="",="",="(0.222)"
="post_5 # Wellcome Trust",="",="",="0.401",="",="",="0.261",="",="",="0.261",="",="",="0.297",="",="",="0.401"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.431)",="",="",="(0.438)"
="pre_-1 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-1 # INCa/INSERM/DGOS",="",="",="0.130",="",="",="0.137",="",="",="0.137",="",="",="0.135",="",="",="0.130"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.133)",="",="",="(0.134)"
="pre_-1 # National Cancer Institute",="",="",="-0.242",="",="",="-0.243",="",="",="-0.243",="",="",="-0.243***",="",="",="-0.242***"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.090)",="",="",="(0.092)"
="pre_-1 # National Health and Medical Rese",="",="",="0.046",="",="",="0.040",="",="",="0.040",="",="",="0.042",="",="",="0.046"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.134)",="",="",="(0.129)"
="pre_-1 # Wellcome Trust",="",="",="0.097",="",="",="0.041",="",="",="0.041",="",="",="0.056",="",="",="0.097"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.209)",="",="",="(0.192)"
="pre_-2 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-2 # INCa/INSERM/DGOS",="",="",="0.090",="",="",="0.095",="",="",="0.095",="",="",="0.094",="",="",="0.090"
="",="",="",="(0.209)",="",="",="(0.204)",="",="",="(0.204)",="",="",="(0.114)",="",="",="(0.114)"
="pre_-2 # National Cancer Institute",="",="",="-0.114",="",="",="-0.115",="",="",="-0.115",="",="",="-0.114",="",="",="-0.114"
="",="",="",="(0.157)",="",="",="(0.153)",="",="",="(0.153)",="",="",="(0.078)",="",="",="(0.076)"
="pre_-2 # National Health and Medical Rese",="",="",="-0.030",="",="",="-0.034",="",="",="-0.034",="",="",="-0.033",="",="",="-0.030"
="",="",="",="(0.187)",="",="",="(0.182)",="",="",="(0.182)",="",="",="(0.113)",="",="",="(0.108)"
="pre_-2 # Wellcome Trust",="",="",="-0.080",="",="",="-0.122",="",="",="-0.122",="",="",="-0.111",="",="",="-0.080"
="",="",="",="(0.318)",="",="",="(0.310)",="",="",="(0.310)",="",="",="(0.149)",="",="",="(0.138)"
="pre_-3 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-3 # INCa/INSERM/DGOS",="",="",="0.078",="",="",="0.081",="",="",="0.081",="",="",="0.080",="",="",="0.078"
