="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-0.164",="-0.162",="-0.177",="-0.248",="-0.200",="-0.196",="-0.193",="-0.213"
="",="(0.318)",="(0.318)",="(0.318)",="(0.327)",="(0.455)",="(0.454)",="(0.454)",="(0.457)"
="post_flag=1 # National Cancer Institute",="-0.524*",="-0.524*",="-0.526*",="-0.762**",="-0.308",="-0.308",="-0.306",="-0.437"
="",="(0.289)",="(0.289)",="(0.289)",="(0.303)",="(0.450)",="(0.449)",="(0.449)",="(0.461)"
="post_flag=1 # National Health and Medical Rese",="-0.493",="-0.490",="-0.487",="-0.584*",="-0.585",="-0.583",="-0.592",="-0.603"
="",="(0.310)",="(0.309)",="(0.309)",="(0.324)",="(0.487)",="(0.486)",="(0.486)",="(0.485)"
="post_flag=1 # Wellcome Trust",="0.907",="0.922",="0.893",="0.821",="2.046",="2.015",="2.021",="2.051"
="",="(0.580)",="(0.580)",="(0.580)",="(0.599)",="(1.319)",="(1.324)",="(1.318)",="(1.742)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="0.935***",="0.912***",="0.931***",="",="0.937***",="0.911***",="0.894***",=""
="",="(0.262)",="(0.262)",="(0.262)",="",="(0.263)",="(0.262)",="(0.263)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.102",="-0.077",="-0.085",="",="-0.208",="-0.130",="-0.135",=""
="",="(0.088)",="(0.089)",="(0.089)",="",="(0.215)",="(0.215)",="(0.216)",=""
="start_year=2009",="0.480***",="0.485***",="0.479***",="",="0.270",="0.288",="0.293",=""
="",="(0.095)",="(0.095)",="(0.095)",="",="(0.225)",="(0.226)",="(0.226)",=""
="start_year=2010",="0.200*",="0.228**",="0.223**",="",="0.110",="0.255",="0.265",=""
="",="(0.105)",="(0.106)",="(0.106)",="",="(0.467)",="(0.429)",="(0.433)",=""
="start_year=2011",="0.326***",="0.368***",="0.359***",="",="0.091",="0.141",="0.153",=""
="",="(0.097)",="(0.098)",="(0.097)",="",="(0.211)",="(0.211)",="(0.210)",=""
="start_year=2012",="0.411***",="0.435***",="0.417***",="",="0.125",="0.231",="0.229",=""
="",="(0.112)",="(0.112)",="(0.112)",="",="(0.320)",="(0.327)",="(0.327)",=""
="F",="",="-0.256**",="-0.251**",="",="",="-0.119",="-0.114",=""
="",="",="(0.101)",="(0.101)",="",="",="(0.194)",="(0.197)",=""
="M",="",="0.405***",="0.427***",="",="",="0.462***",="0.479***",=""
="",="",="(0.096)",="(0.098)",="",="",="(0.157)",="(0.158)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="-0.051***",="",="",="",="0.023",=""
="",="",="",="(0.010)",="",="",="",="(0.024)",=""
="rsr_career_age_2",="",="",="0.001***",="",="",="",="-0.001",=""
="",="",="",="(0.000)",="",="",="",="(0.001)",=""
="Constant",="5.628***",="5.440***",="5.821***",="5.666***",="5.348***",="5.047***",="4.924***",="4.743***"
="",="(0.124)",="(0.157)",="(0.174)",="(0.029)",="(0.238)",="(0.263)",="(0.321)",="(0.153)"
="Observations",="112221",="112221",="112221",="112221",="108850",="108850",="108850",="108850"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
