="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=1 # National Health and Medical Rese",="0.521***",="0.525***",="0.518***",="0.599***",="0.729***",="0.730***",="0.674**",="0.733**"
="",="(0.132)",="(0.131)",="(0.128)",="(0.140)",="(0.269)",="(0.266)",="(0.266)",="(0.297)"
="post_flag=1 # Wellcome Trust",="-0.373",="-0.356",="-0.108",="0.169",="-0.639",="-0.664",="-0.529",="-0.468"
="",="(0.251)",="(0.251)",="(0.240)",="(0.261)",="(0.577)",="(0.581)",="(0.583)",="(0.769)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="-0.121",="-0.151",="-0.194*",="",="-0.156",="-0.153",="-0.189*",=""
="",="(0.110)",="(0.109)",="(0.111)",="",="(0.111)",="(0.111)",="(0.112)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-0.218***",="-0.190***",="-0.127***",="",="-0.303**",="-0.238*",="-0.145",=""
="",="(0.049)",="(0.048)",="(0.047)",="",="(0.122)",="(0.123)",="(0.110)",=""
="start_year=2009",="0.054",="0.060",="0.011",="",="-0.595***",="-0.586***",="-0.550***",=""
="",="(0.048)",="(0.048)",="(0.047)",="",="(0.123)",="(0.125)",="(0.113)",=""
="start_year=2010",="0.022",="0.054",="0.093*",="",="-0.354*",="-0.234",="-0.296",=""
="",="(0.054)",="(0.054)",="(0.052)",="",="(0.199)",="(0.196)",="(0.188)",=""
="start_year=2011",="-0.138***",="-0.094*",="-0.051",="",="0.177",="0.216",="0.252*",=""
="",="(0.052)",="(0.052)",="(0.051)",="",="(0.156)",="(0.156)",="(0.149)",=""
="start_year=2012",="-0.433***",="-0.407***",="-0.313***",="",="0.199",="0.271",="0.317",=""
="",="(0.050)",="(0.050)",="(0.048)",="",="(0.229)",="(0.227)",="(0.210)",=""
="F",="",="-0.200***",="-0.277***",="",="",="-0.520***",="-0.581***",=""
="",="",="(0.046)",="(0.045)",="",="",="(0.126)",="(0.125)",=""
="M",="",="0.507***",="0.085*",="",="",="-0.039",="-0.304***",=""
="",="",="(0.044)",="(0.044)",="",="",="(0.107)",="(0.108)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="0.275***",="",="",="",="0.226***",=""
="",="",="",="(0.004)",="",="",="",="(0.013)",=""
="rsr_career_age_2",="",="",="-0.005***",="",="",="",="-0.004***",=""
="",="",="",="(0.000)",="",="",="",="(0.000)",=""
="Constant",="2.802***",="2.532***",="0.174**",="3.547***",="2.938***",="3.088***",="1.024***",="2.978***"
="",="(0.060)",="(0.071)",="(0.073)",="(0.014)",="(0.134)",="(0.161)",="(0.200)",="(0.069)"
="Observations",="112221",="112221",="112221",="112221",="108850",="108850",="108850",="108850"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
