="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=1 # National Health and Medical Rese",="9.019",="8.634",="8.516",="19.988",="-31.375**",="-30.887**",="-30.496**",="-24.846"
="",="(15.468)",="(15.449)",="(15.568)",="(17.977)",="(15.038)",="(15.020)",="(15.187)",="(19.473)"
="post_flag=1 # Wellcome Trust",="46.311***",="44.722***",="42.180***",="27.274*",="1.098",="0.821",="-1.894",="4.679"
="",="(15.457)",="(15.522)",="(15.687)",="(15.129)",="(11.485)",="(11.510)",="(11.489)",="(7.700)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="33.343***",="38.943***",="37.976***",="",="52.242***",="45.837***",="36.511*",=""
="",="(10.389)",="(12.568)",="(14.200)",="",="(15.239)",="(15.850)",="(19.566)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="-11.406",="-11.850",="-11.942",="",="-11.423",="-7.803",="-12.109",=""
="",="(7.958)",="(7.971)",="(7.972)",="",="(11.084)",="(11.369)",="(11.778)",=""
="start_year=2009",="5.667",="4.605",="5.530",="",="24.492",="24.861",="15.440",=""
="",="(10.939)",="(10.727)",="(11.403)",="",="(16.823)",="(16.959)",="(18.451)",=""
="start_year=2010",="-15.172*",="-14.550",="-15.070*",="",="-19.993*",="-18.280",="-22.618*",=""
="",="(8.885)",="(8.908)",="(8.582)",="",="(12.099)",="(12.238)",="(12.812)",=""
="start_year=2011",="-27.176***",="-27.096***",="-27.287***",="",="-27.250**",="-27.023**",="-28.999**",=""
="",="(7.021)",="(6.995)",="(7.009)",="",="(11.864)",="(11.849)",="(11.763)",=""
="start_year=2012",="-35.376***",="-34.841***",="-34.854***",="",="-28.370**",="-23.729*",="-26.539**",=""
="",="(8.168)",="(8.132)",="(8.116)",="",="(12.645)",="(13.047)",="(13.204)",=""
="F",="",="2.161",="2.304",="",="",="-16.012**",="-16.014**",=""
="",="",="(5.704)",="(5.693)",="",="",="(8.004)",="(8.007)",=""
="M",="",="6.743",="7.354",="",="",="-6.548",="-9.638",=""
="",="",="(6.487)",="(6.880)",="",="",="(8.686)",="(8.847)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="-0.440",="",="",="",="-0.179",=""
="",="",="",="(0.957)",="",="",="",="(1.076)",=""
="rsr_career_age_2",="",="",="0.006",="",="",="",="0.018",=""
="",="",="",="(0.026)",="",="",="",="(0.034)",=""
="Constant",="86.936***",="81.659***",="86.132***",="67.203***",="61.568***",="68.152***",="71.159***",="32.117***"
="",="(12.086)",="(13.320)",="(14.241)",="(2.965)",="(13.441)",="(15.370)",="(17.010)",="(0.959)"
="Observations",="1035",="1035",="1035",="1035",="1008",="1008",="1008",="1008"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
