="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)"
="pre_-3 # National Cancer Institute",="",="",="0.084",="",="",="0.083",="",="",="0.083",="",="",="0.083",="",="",="0.084"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.136)",="",="",="(0.140)"
="pre_-3 # National Health and Medical Rese",="",="",="0.073",="",="",="0.061",="",="",="0.061",="",="",="0.063",="",="",="0.073"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.161)",="",="",="(0.162)"
="pre_-3 # Wellcome Trust",="",="",="0.132",="",="",="0.018",="",="",="0.018",="",="",="0.032",="",="",="0.132"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.245)",="",="",="(0.256)"
="pre_-4 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-4 # INCa/INSERM/DGOS",="",="",="0.079",="",="",="0.086",="",="",="0.086",="",="",="0.085",="",="",="0.079"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.185)",="",="",="(0.185)"
="pre_-4 # National Cancer Institute",="",="",="0.133",="",="",="0.132",="",="",="0.132",="",="",="0.132",="",="",="0.133"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.125)",="",="",="(0.130)"
="pre_-4 # National Health and Medical Rese",="",="",="0.145",="",="",="0.139",="",="",="0.139",="",="",="0.140",="",="",="0.145"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.153)",="",="",="(0.149)"
="pre_-4 # Wellcome Trust",="",="",="0.175",="",="",="0.118",="",="",="0.118",="",="",="0.125",="",="",="0.175"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.229)",="",="",="(0.228)"
="pre_-5 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # INCa/INSERM/DGOS",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Cancer Institute",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # National Health and Medical Rese",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_-5 # Wellcome Trust",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # Cancer Research UK",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000",="",="",="0.000"
="",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)",="",="",="(.)"
="pre_0 # INCa/INSERM/DGOS",="",="",="1.706***",="",="",="1.741***",="",="",="1.741***",="",="",="1.737***",="",="",="1.706***"
="",="",="",="(0.586)",="",="",="(0.564)",="",="",="(0.564)",="",="",="(0.650)",="",="",="(0.646)"
="pre_0 # National Cancer Institute",="",="",="0.584",="",="",="0.581",="",="",="0.581",="",="",="0.582***",="",="",="0.584***"
="",="",="",="(0.442)",="",="",="(0.425)",="",="",="(0.425)",="",="",="(0.199)",="",="",="(0.189)"
="pre_0 # National Health and Medical Rese",="",="",="0.913*",="",="",="0.884*",="",="",="0.884*",="",="",="0.887***",="",="",="0.913***"
="",="",="",="(0.525)",="",="",="(0.505)",="",="",="(0.505)",="",="",="(0.215)",="",="",="(0.208)"
="pre_0 # Wellcome Trust",="",="",="0.375",="",="",="0.089",="",="",="0.089",="",="",="0.124",="",="",="0.375"
="",="",="",="(0.894)",="",="",="(0.860)",="",="",="(0.860)",="",="",="(0.362)",="",="",="(0.324)"
="rsr_career_age",="",="",="",="0.453***",="0.452***",="0.447***",="0.453***",="0.452***",="0.447***",="0.428***",="0.427***",="0.418***",="",="",=""
="",="",="",="",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.006)",="(0.016)",="(0.016)",="(0.016)",="",="",=""
="rsr_career_age_2",="",="",="",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.006***",="-0.006***",="-0.006***",="",="",=""
="",="",="",="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="",="",=""
="F",="",="",="",="-0.883***",="-0.882***",="-0.883***",="-0.883***",="-0.882***",="-0.883***",="-0.724***",="-0.724***",="-0.724***",="",="",=""
="",="",="",="",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.072)",="(0.178)",="(0.178)",="(0.178)",="",="",=""
="M",="",="",="",="0.259***",="0.263***",="0.271***",="0.259***",="0.263***",="0.271***",="0.385**",="0.390**",="0.404**",="",="",=""
="",="",="",="",="(0.067)",="(0.067)",="(0.067)",="(0.067)",="(0.067)",="(0.067)",="(0.170)",="(0.170)",="(0.170)",="",="",=""
="UNKNOWN",="",="",="",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="",="",=""
="",="",="",="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="",="",=""
="Constant",="4.533***",="4.533***",="3.780***",="0.694***",="0.702***",="0.695**",="0.694***",="0.702***",="0.695**",="0.616",="0.627",="0.619",="5.149***",="5.149***",="4.154***"
="",="(0.128)",="(0.128)",="(0.300)",="(0.142)",="(0.142)",="(0.296)",="(0.142)",="(0.142)",="(0.296)",="(0.409)",="(0.409)",="(0.405)",="(0.022)",="(0.022)",="(0.040)"
="Observations",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913",="132913"
="CountryFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No"
="AffiliationFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes",="No",="No",="No"
="ResearcherFE",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="No",="Yes",="Yes",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
