="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="rsr_career_age_2",="",="",="-0.002***",="",="",="",="0.003*",=""
="",="",="",="(0.000)",="",="",="",="(0.001)",=""
="Constant",="0.970***",="0.805***",="0.193",="0.563***",="-0.477",="-0.740",="-1.156",="1.213***"
="",="(0.263)",="(0.275)",="(0.272)",="(0.039)",="(0.518)",="(0.699)",="(0.730)",="(0.055)"
="Observations",="3113",="3113",="3113",="3113",="2992",="2992",="2992",="2992"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
