="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="",="",="(0.002)",="",="",="",="(0.045)",=""
="rsr_career_age_2",="",="",="-0.002***",="",="",="",="0.003***",=""
="",="",="",="(0.000)",="",="",="",="(0.001)",=""
="Constant",="1.778***",="1.614***",="0.613***",="1.607***",="2.848***",="2.990***",="3.200***",="0.027***"
="",="(0.034)",="(0.039)",="(0.037)",="(0.010)",="(0.706)",="(0.654)",="(0.813)",="(0.001)"
="Observations",="132913",="132913",="132913",="132913",="98197",="98197",="98197",="98197"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
