="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="post_flag=0 # Wellcome Trust",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # Cancer Research UK",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="post_flag=1 # INCa/INSERM/DGOS",="-4.502**",="-4.495**",="-4.393**",="-4.826**",="0.138",="0.094",="0.143",="-0.132"
="",="(2.103)",="(2.101)",="(2.091)",="(2.206)",="(2.581)",="(2.591)",="(2.559)",="(2.655)"
="post_flag=1 # National Cancer Institute",="-4.729**",="-4.774**",="-4.738**",="-5.448***",="-0.776",="-0.818",="-0.788",="-1.290"
="",="(1.934)",="(1.928)",="(1.920)",="(1.979)",="(2.479)",="(2.498)",="(2.477)",="(2.559)"
="post_flag=1 # National Health and Medical Rese",="-4.670**",="-4.729**",="-4.644**",="-4.916**",="-0.547",="-0.619",="-0.559",="-0.469"
="",="(2.114)",="(2.107)",="(2.098)",="(2.206)",="(2.870)",="(2.874)",="(2.840)",="(2.930)"
="post_flag=1 # Wellcome Trust",="0.121",="0.025",="0.312",="-1.744",="3.627",="3.593",="3.658",="0.664"
="",="(2.997)",="(3.007)",="(2.988)",="(2.603)",="(3.242)",="(3.275)",="(3.252)",="(2.691)"
="False",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="True",="2.005",="1.755",="2.045",="",="1.673",="1.393",="1.448",=""
="",="(1.964)",="(1.938)",="(1.950)",="",="(1.937)",="(1.903)",="(1.903)",=""
="start_year=2007",="0.000",="0.000",="0.000",="",="0.000",="0.000",="0.000",=""
="",="(.)",="(.)",="(.)",="",="(.)",="(.)",="(.)",=""
="start_year=2008",="1.281***",="1.436***",="1.388***",="",="1.236",="1.311",="1.287",=""
="",="(0.496)",="(0.497)",="(0.495)",="",="(1.125)",="(1.128)",="(1.137)",=""
="start_year=2009",="1.154***",="1.147***",="1.069**",="",="2.074**",="2.182**",="2.110**",=""
="",="(0.422)",="(0.421)",="(0.417)",="",="(0.879)",="(0.892)",="(0.973)",=""
="start_year=2010",="2.029**",="2.090**",="2.110**",="",="0.399",="0.189",="0.196",=""
="",="(0.815)",="(0.818)",="(0.824)",="",="(1.008)",="(1.015)",="(1.023)",=""
="start_year=2011",="1.032**",="1.244***",="1.228***",="",="0.530",="0.587",="0.552",=""
="",="(0.448)",="(0.446)",="(0.437)",="",="(0.973)",="(0.968)",="(1.002)",=""
="start_year=2012",="0.996**",="1.081**",="1.013**",="",="0.787",="0.979",="0.914",=""
="",="(0.475)",="(0.469)",="(0.467)",="",="(1.069)",="(1.044)",="(1.077)",=""
="F",="",="-1.708***",="-1.692***",="",="",="0.461",="0.453",=""
="",="",="(0.500)",="(0.493)",="",="",="(0.704)",="(0.705)",=""
="M",="",="0.738",="0.716",="",="",="1.900**",="1.870**",=""
="",="",="(0.581)",="(0.578)",="",="",="(0.756)",="(0.739)",=""
="UNKNOWN",="",="0.000",="0.000",="",="",="0.000",="0.000",=""
="",="",="(.)",="(.)",="",="",="(.)",="(.)",=""
="rsr_career_age",="",="",="-0.253***",="",="",="",="-0.066",=""
="",="",="",="(0.066)",="",="",="",="(0.111)",=""
="rsr_career_age_2",="",="",="0.006***",="",="",="",="0.002",=""
="",="",="",="(0.002)",="",="",="",="(0.003)",=""
="Constant",="7.654***",="7.804***",="9.828***",="8.419***",="10.052***",="8.756***",="9.264***",="8.837***"
="",="(0.833)",="(0.945)",="(1.162)",="(0.171)",="(1.929)",="(2.009)",="(2.168)",="(0.316)"
="Observations",="11072",="11072",="11072",="11072",="10648",="10648",="10648",="10648"
="YearFE",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes",="Yes"
="AffiliationFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="ResearcherFE",="No",="No",="No",="Yes",="No",="No",="No",="Yes"
="Standard errors in parentheses"
="* p<.1, ** p<.05, *** p<.01"
