funder_name,grnt_rcdc,pub_rcdc,nb_grnts,nb_obs,nb_pubs
Cancer Research UK,,Intellectual and Developmental Disabilities (IDD),5,5,4
Cancer Research UK,,Kidney Disease,32,75,41
Cancer Research UK,,Liver Cancer,3,3,3
Cancer Research UK,,Liver Disease,22,46,38
Cancer Research UK,,Lung,48,86,68
Cancer Research UK,,Lung Cancer,23,56,40
Cancer Research UK,,Lupus,1,1,1
Cancer Research UK,,Lymphoma,18,28,23
Cancer Research UK,,Mental Health,13,14,12
Cancer Research UK,,Mind and Body,11,15,10
Cancer Research UK,,Nanotechnology,4,6,6
Cancer Research UK,,Networking and Information Technology R&D,11,12,10
Cancer Research UK,,Neuroblastoma,2,2,2
Cancer Research UK,,Neurodegenerative,15,18,14
Cancer Research UK,,Neurosciences,59,93,76
Cancer Research UK,,Nutrition,34,75,43
Cancer Research UK,,Obesity,17,38,25
Cancer Research UK,,Organ Transplantation,3,4,4
Cancer Research UK,,Orphan Drug,40,58,44
Cancer Research UK,,Osteoporosis,7,7,4
Cancer Research UK,,Ovarian Cancer,23,36,28
Cancer Research UK,,Pain Conditions - Chronic,2,2,2
Cancer Research UK,,Pain Research,8,11,10
Cancer Research UK,,Pancreatic Cancer,14,31,21
Cancer Research UK,,Patient Safety,49,73,54
Cancer Research UK,,Pediatric,48,97,71
Cancer Research UK,,Pediatric AIDS,1,1,1
Cancer Research UK,,Pediatric Cancer,13,19,15
Cancer Research UK,,Pediatric Research Initiative,10,12,9
Cancer Research UK,,Perinatal Period - Conditions Originating in Perinatal Period,2,2,2
Cancer Research UK,,Prescription Drug Abuse,1,1,1
Cancer Research UK,,Prevention,108,309,225
Cancer Research UK,,Prostate Cancer,22,47,32
Cancer Research UK,,Psoriasis,1,1,1
Cancer Research UK,,Rare Diseases,176,437,326
Cancer Research UK,,Regenerative Medicine,21,26,21
Cancer Research UK,,Rehabilitation,12,14,9
Cancer Research UK,,Schizophrenia,6,6,2
Cancer Research UK,,Septicemia,2,2,1
Cancer Research UK,,Sexually Transmitted Diseases/Herpes,14,23,14
Cancer Research UK,,Sickle Cell Disease,2,2,2
Cancer Research UK,,Small Pox,1,1,1
Cancer Research UK,,Smoking and Health,20,74,56
Cancer Research UK,,Stem Cell Research,48,70,57
Cancer Research UK,,Stem Cell Research - Embryonic - Human,4,5,5
Cancer Research UK,,Stem Cell Research - Embryonic - Non-Human,3,3,3
Cancer Research UK,,Stem Cell Research - Induced Pluripotent Stem Cell - Human,1,1,1
Cancer Research UK,,Stem Cell Research - Nonembryonic - Human,12,15,14
Cancer Research UK,,Stem Cell Research - Nonembryonic - Non-Human,30,41,33
Cancer Research UK,,Stroke,1,13,13
Cancer Research UK,,Substance Abuse,18,30,23
Cancer Research UK,,Tobacco,12,58,48
Cancer Research UK,,Transplantation,19,35,22
Cancer Research UK,,Tuberculosis,2,2,2
Cancer Research UK,,Urologic Diseases,54,158,89
Cancer Research UK,,Uterine Cancer,6,15,7
Cancer Research UK,,Vaccine Related,24,43,32
Cancer Research UK,Aging,,2,32,32
Cancer Research UK,Aging,Aging,2,2,2
Cancer Research UK,Aging,Breast Cancer,1,1,1
Cancer Research UK,Aging,Cancer,2,11,11
Cancer Research UK,Aging,Cervical Cancer,1,5,5
Cancer Research UK,Aging,Clinical Research,2,9,9
Cancer Research UK,Aging,Clinical Trials and Supportive Activities,1,2,2
Cancer Research UK,Aging,Colo-Rectal Cancer,1,1,1
Cancer Research UK,Aging,Contraception/Reproduction,1,1,1
Cancer Research UK,Aging,Diagnostic Radiology,1,3,3
Cancer Research UK,Aging,Estrogen,1,1,1
Cancer Research UK,Aging,Health Services,1,3,3
Cancer Research UK,Aging,Human Genome,1,1,1
Cancer Research UK,Aging,Infant Mortality/ (LBW),1,2,2
Cancer Research UK,Aging,Infectious Diseases,1,2,2
Cancer Research UK,Aging,Patient Safety,1,2,2
Cancer Research UK,Aging,Perinatal - Birth - Preterm (LBW),1,1,1
Cancer Research UK,Aging,Perinatal Period - Conditions Originating in Perinatal Period,1,2,2
Cancer Research UK,Aging,Prevention,1,7,7
Cancer Research UK,Aging,Prostate Cancer,1,1,1
Cancer Research UK,Aging,Sexually Transmitted Diseases/Herpes,1,4,4
Cancer Research UK,Aging,Transplantation,1,1,1
Cancer Research UK,Aging,Urologic Diseases,2,2,2
Cancer Research UK,Aging,Vaccine Related,1,1,1
Cancer Research UK,Autoimmune Disease,,2,2,0
Cancer Research UK,Behavioral and Social Science,,3,53,52
Cancer Research UK,Behavioral and Social Science,Aging,1,2,2
Cancer Research UK,Behavioral and Social Science,Basic Behavioral and Social Science,1,2,2
Cancer Research UK,Behavioral and Social Science,Behavioral and Social Science,1,19,19
Cancer Research UK,Behavioral and Social Science,Brain Disorders,1,3,3
Cancer Research UK,Behavioral and Social Science,Cancer,2,8,8
Cancer Research UK,Behavioral and Social Science,Cardiovascular,1,1,1
Cancer Research UK,Behavioral and Social Science,Clinical Research,2,36,36
Cancer Research UK,Behavioral and Social Science,Conditions Affecting the Embryonic and Fetal Periods,1,4,4
Cancer Research UK,Behavioral and Social Science,Depression,1,1,1
Cancer Research UK,Behavioral and Social Science,HIV/AIDS,1,4,4
Cancer Research UK,Behavioral and Social Science,Health Services,2,5,5
Cancer Research UK,Behavioral and Social Science,Heart Disease,1,2,2
Cancer Research UK,Behavioral and Social Science,Human Genome,1,1,1
Cancer Research UK,Behavioral and Social Science,Infant Mortality/ (LBW),1,1,1
Cancer Research UK,Behavioral and Social Science,Infectious Diseases,1,3,3
Cancer Research UK,Behavioral and Social Science,Injury (total) Accidents/Adverse Effects,1,1,1
Cancer Research UK,Behavioral and Social Science,Kidney Disease,1,1,1
Cancer Research UK,Behavioral and Social Science,Liver Disease,1,1,1
Cancer Research UK,Behavioral and Social Science,Lung,1,3,3
Cancer Research UK,Behavioral and Social Science,Mental Health,1,5,5
Cancer Research UK,Behavioral and Social Science,Mind and Body,1,3,3
Cancer Research UK,Behavioral and Social Science,Neurosciences,1,1,1
Cancer Research UK,Behavioral and Social Science,Obesity,1,1,1
Cancer Research UK,Behavioral and Social Science,Pain Conditions - Chronic,1,4,4
Cancer Research UK,Behavioral and Social Science,Pain Research,1,11,11
Cancer Research UK,Behavioral and Social Science,Patient Safety,1,1,1
Cancer Research UK,Behavioral and Social Science,Pediatric,1,3,3
Cancer Research UK,Behavioral and Social Science,Perinatal - Birth - Preterm (LBW),1,1,1
Cancer Research UK,Behavioral and Social Science,Perinatal Period - Conditions Originating in Perinatal Period,1,8,8
Cancer Research UK,Behavioral and Social Science,Prevention,1,1,1
Cancer Research UK,Behavioral and Social Science,Rare Diseases,1,1,1
Cancer Research UK,Behavioral and Social Science,Substance Abuse,1,1,1
Cancer Research UK,Bioengineering,,21,159,144
Cancer Research UK,Bioengineering,Aging,3,3,3
Cancer Research UK,Bioengineering,Bioengineering,10,31,31
Cancer Research UK,Bioengineering,Biotechnology,9,23,21
Cancer Research UK,Bioengineering,Brain Cancer,1,1,1
Cancer Research UK,Bioengineering,Brain Disorders,4,5,5
Cancer Research UK,Bioengineering,Breast Cancer,6,12,11
Cancer Research UK,Bioengineering,Cancer,12,84,78
Cancer Research UK,Bioengineering,Cardiovascular,1,1,1
Cancer Research UK,Bioengineering,Cervical Cancer,1,1,1
Cancer Research UK,Bioengineering,Clinical Research,8,13,13
Cancer Research UK,Bioengineering,Clinical Trials and Supportive Activities,1,2,1
Cancer Research UK,Bioengineering,Diagnostic Radiology,5,21,21
Cancer Research UK,Bioengineering,Digestive Diseases,6,11,10
Cancer Research UK,Bioengineering,Emerging Infectious Diseases,1,1,1
Cancer Research UK,Bioengineering,Gene Therapy,2,2,2
Cancer Research UK,Bioengineering,Genetics,9,26,22
Cancer Research UK,Bioengineering,Health Services,1,1,1
Cancer Research UK,Bioengineering,Hematology,1,1,1
Cancer Research UK,Bioengineering,Human Genome,1,1,1
Cancer Research UK,Bioengineering,Immunization,2,2,2
Cancer Research UK,Bioengineering,Infectious Diseases,1,1,1
Cancer Research UK,Bioengineering,Injury (total) Accidents/Adverse Effects,1,1,1
Cancer Research UK,Bioengineering,Liver Disease,1,1,1
Cancer Research UK,Bioengineering,Lung,3,3,3
Cancer Research UK,Bioengineering,Lung Cancer,1,1,1
Cancer Research UK,Bioengineering,Nanotechnology,3,4,4
Cancer Research UK,Bioengineering,Neurosciences,4,6,5
Cancer Research UK,Bioengineering,Nutrition,1,3,3
Cancer Research UK,Bioengineering,Orphan Drug,2,3,2
Cancer Research UK,Bioengineering,Pancreatic Cancer,2,2,2
Cancer Research UK,Bioengineering,Patient Safety,1,1,1
Cancer Research UK,Bioengineering,Pediatric,1,1,1
Cancer Research UK,Bioengineering,Pneumonia & Influenza,1,1,1
Cancer Research UK,Bioengineering,Prevention,3,3,3
Cancer Research UK,Bioengineering,Prostate Cancer,1,1,1
Cancer Research UK,Bioengineering,Rare Diseases,5,15,15
Cancer Research UK,Bioengineering,Regenerative Medicine,2,2,2
Cancer Research UK,Bioengineering,Sexually Transmitted Diseases/Herpes,1,1,1
Cancer Research UK,Bioengineering,Stem Cell Research - Nonembryonic - Human,1,1,1
Cancer Research UK,Bioengineering,Urologic Diseases,1,2,2
Cancer Research UK,Bioengineering,Vaccine Related,1,1,1
Cancer Research UK,Biotechnology,,51,580,531
Cancer Research UK,Biotechnology,Aging,5,8,8
Cancer Research UK,Biotechnology,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),1,1,1
Cancer Research UK,Biotechnology,Arthritis,1,1,1
Cancer Research UK,Biotechnology,Autoimmune Disease,4,4,4
Cancer Research UK,Biotechnology,Behavioral and Social Science,2,2,2
Cancer Research UK,Biotechnology,Biodefense,1,1,1
Cancer Research UK,Biotechnology,Bioengineering,9,19,18
Cancer Research UK,Biotechnology,Biotechnology,28,93,86
Cancer Research UK,Biotechnology,Brain Cancer,1,1,1
Cancer Research UK,Biotechnology,Brain Disorders,9,9,8
Cancer Research UK,Biotechnology,Breast Cancer,7,24,24
Cancer Research UK,Biotechnology,Cancer,33,318,300
Cancer Research UK,Biotechnology,Cervical Cancer,3,4,4
Cancer Research UK,Biotechnology,Climate-Related Exposures and Conditions,3,3,2
Cancer Research UK,Biotechnology,Clinical Research,14,84,79
Cancer Research UK,Biotechnology,Clinical Trials and Supportive Activities,6,18,18
Cancer Research UK,Biotechnology,Colo-Rectal Cancer,8,12,10
Cancer Research UK,Biotechnology,Complementary and Alternative Medicine,1,1,1
Cancer Research UK,Biotechnology,Dental/Oral and Craniofacial Disease,1,2,2
Cancer Research UK,Biotechnology,Diabetes,1,1,1
Cancer Research UK,Biotechnology,Diagnostic Radiology,7,20,19
Cancer Research UK,Biotechnology,Digestive Diseases,13,30,26
Cancer Research UK,Biotechnology,Emerging Infectious Diseases,3,6,6
Cancer Research UK,Biotechnology,Estrogen,3,6,6
Cancer Research UK,Biotechnology,Gene Therapy,2,3,3
Cancer Research UK,Biotechnology,Genetic Testing,2,3,3
Cancer Research UK,Biotechnology,Genetics,30,138,134
Cancer Research UK,Biotechnology,HIV/AIDS,3,3,3
Cancer Research UK,Biotechnology,Health Services,2,2,2
Cancer Research UK,Biotechnology,Heart Disease,1,1,1
Cancer Research UK,Biotechnology,Hematology,6,10,9
Cancer Research UK,Biotechnology,Hepatitis,1,1,1
Cancer Research UK,Biotechnology,Hepatitis - C,1,1,1
Cancer Research UK,Biotechnology,Human Genome,5,9,8
Cancer Research UK,Biotechnology,Immunization,6,11,7
Cancer Research UK,Biotechnology,Infectious Diseases,7,14,14
Cancer Research UK,Biotechnology,Injury (total) Accidents/Adverse Effects,1,1,1
Cancer Research UK,Biotechnology,Kidney Disease,3,6,6
Cancer Research UK,Biotechnology,Liver Disease,4,5,4
Cancer Research UK,Biotechnology,Lung,6,10,10
Cancer Research UK,Biotechnology,Lung Cancer,4,7,7
Cancer Research UK,Biotechnology,Lymphoma,1,1,1
Cancer Research UK,Biotechnology,Malaria,1,1,1
Cancer Research UK,Biotechnology,Mental Health,1,1,1
Cancer Research UK,Biotechnology,Multiple Sclerosis,1,1,1
Cancer Research UK,Biotechnology,Nanotechnology,2,3,3
Cancer Research UK,Biotechnology,Networking and Information Technology R&D,4,4,4
Cancer Research UK,Biotechnology,Neuroblastoma,1,1,1
Cancer Research UK,Biotechnology,Neurodegenerative,4,4,3
Cancer Research UK,Biotechnology,Neurosciences,8,9,9
Cancer Research UK,Biotechnology,Nutrition,3,5,5
Cancer Research UK,Biotechnology,Obesity,1,1,1
Cancer Research UK,Biotechnology,Orphan Drug,8,13,12
Cancer Research UK,Biotechnology,Ovarian Cancer,1,1,1
Cancer Research UK,Biotechnology,Pain Research,1,1,1
Cancer Research UK,Biotechnology,Pancreatic Cancer,3,3,3
Cancer Research UK,Biotechnology,Patient Safety,5,12,12
Cancer Research UK,Biotechnology,Pediatric,7,7,6
Cancer Research UK,Biotechnology,Pediatric Cancer,4,4,3
Cancer Research UK,Biotechnology,Prevention,10,16,15
Cancer Research UK,Biotechnology,Prostate Cancer,3,5,5
Cancer Research UK,Biotechnology,Rare Diseases,18,46,43
Cancer Research UK,Biotechnology,Regenerative Medicine,2,3,3
Cancer Research UK,Biotechnology,Sexually Transmitted Diseases/Herpes,2,2,2
Cancer Research UK,Biotechnology,Smoking and Health,1,1,1
Cancer Research UK,Biotechnology,Stem Cell Research,6,8,8
Cancer Research UK,Biotechnology,Stem Cell Research - Embryonic - Non-Human,1,1,1
Cancer Research UK,Biotechnology,Stem Cell Research - Nonembryonic - Human,1,1,1
Cancer Research UK,Biotechnology,Stem Cell Research - Nonembryonic - Non-Human,5,7,7
Cancer Research UK,Biotechnology,Substance Abuse,1,1,1
Cancer Research UK,Biotechnology,Transplantation,1,1,1
Cancer Research UK,Biotechnology,Tuberous Sclerosis,1,1,1
Cancer Research UK,Biotechnology,Urologic Diseases,6,10,9
Cancer Research UK,Biotechnology,Vaccine Related,7,8,8
Cancer Research UK,Brain Disorders,,6,23,21
Cancer Research UK,Brain Disorders,Biotechnology,1,1,1
Cancer Research UK,Brain Disorders,Brain Disorders,3,8,8
Cancer Research UK,Brain Disorders,Breast Cancer,1,1,1
Cancer Research UK,Brain Disorders,Cancer,2,8,8
Cancer Research UK,Brain Disorders,Cardiovascular,1,1,1
Cancer Research UK,Brain Disorders,Climate-Related Exposures and Conditions,1,1,1
Cancer Research UK,Brain Disorders,Clinical Trials and Supportive Activities,1,1,1
Cancer Research UK,Brain Disorders,Colo-Rectal Cancer,1,1,1
Cancer Research UK,Brain Disorders,Diagnostic Radiology,1,1,1
Cancer Research UK,Brain Disorders,Emerging Infectious Diseases,1,1,1
Cancer Research UK,Brain Disorders,Genetics,1,1,1
Cancer Research UK,Brain Disorders,Kidney Disease,1,1,1
Cancer Research UK,Brain Disorders,Multiple Sclerosis,1,1,1
Cancer Research UK,Brain Disorders,Neurodegenerative,1,2,2
Cancer Research UK,Brain Disorders,Neurosciences,2,4,4
Cancer Research UK,Brain Disorders,Pediatric,1,1,1
Cancer Research UK,Brain Disorders,Pediatric Research Initiative,1,1,1
Cancer Research UK,Brain Disorders,Rare Diseases,1,2,2
Cancer Research UK,Breast Cancer,,1,33,33
Cancer Research UK,Breast Cancer,Aging,1,1,1
Cancer Research UK,Breast Cancer,Breast Cancer,1,2,2
Cancer Research UK,Breast Cancer,Cancer,1,5,5
Cancer Research UK,Breast Cancer,Clinical Research,1,4,4
Cancer Research UK,Breast Cancer,Clinical Trials and Supportive Activities,1,4,4
Cancer Research UK,Breast Cancer,Estrogen,1,1,1
Cancer Research UK,Breast Cancer,Ovarian Cancer,1,1,1
Cancer Research UK,Breast Cancer,Patient Safety,1,1,1
Cancer Research UK,Breast Cancer,Prevention,1,1,1
Cancer Research UK,Burden of Illness,,1,83,83
Cancer Research UK,Burden of Illness,"Alcoholism, Alcohol Use and Health",1,1,1
Cancer Research UK,Burden of Illness,Asthma,1,1,1
Cancer Research UK,Burden of Illness,Behavioral and Social Science,1,2,2
Cancer Research UK,Burden of Illness,Burden of Illness,1,1,1
Cancer Research UK,Burden of Illness,Cancer,1,2,2
Cancer Research UK,Burden of Illness,Chronic Obstructive Pulmonary Disease,1,1,1
Cancer Research UK,Burden of Illness,Clinical Research,1,11,11
Cancer Research UK,Burden of Illness,Clinical Trials and Supportive Activities,1,1,1
Cancer Research UK,Burden of Illness,Depression,1,1,1
Cancer Research UK,Burden of Illness,Digestive Diseases,1,1,1
Cancer Research UK,Burden of Illness,Drug Abuse (NIDA Only),1,1,1
Cancer Research UK,Burden of Illness,Emerging Infectious Diseases,1,2,2
Cancer Research UK,Burden of Illness,Foodborne Illness,1,2,2
Cancer Research UK,Burden of Illness,Genetics,1,2,2
Cancer Research UK,Burden of Illness,Health Services,1,1,1
Cancer Research UK,Burden of Illness,Infectious Diseases,1,3,3
Cancer Research UK,Burden of Illness,Lung,1,1,1
Cancer Research UK,Burden of Illness,Neurosciences,1,1,1
Cancer Research UK,Burden of Illness,Nutrition,1,1,1
Cancer Research UK,Burden of Illness,Obesity,1,1,1
Cancer Research UK,Burden of Illness,Pediatric,1,5,5
Cancer Research UK,Burden of Illness,Prevention,1,6,6
Cancer Research UK,Burden of Illness,Rare Diseases,1,1,1
Cancer Research UK,Burden of Illness,Smoking and Health,1,5,5
Cancer Research UK,Burden of Illness,Substance Abuse,1,4,4
Cancer Research UK,Burden of Illness,Tobacco,1,8,8
Cancer Research UK,Cancer,,405,3909,2811
Cancer Research UK,Cancer,Acquired Cognitive Impairment,1,1,1
Cancer Research UK,Cancer,Acute Respiratory Distress Syndrome,1,1,1
Cancer Research UK,Cancer,Aging,53,117,101
Cancer Research UK,Cancer,"Alcoholism, Alcohol Use and Health",2,2,2
Cancer Research UK,Cancer,Allergic Rhinitis (Hay Fever),1,2,2
Cancer Research UK,Cancer,Antimicrobial Resistance,2,2,2
Cancer Research UK,Cancer,Arthritis,1,3,3
Cancer Research UK,Cancer,Assistive Technology,1,1,1
Cancer Research UK,Cancer,Asthma,1,2,2
Cancer Research UK,Cancer,Atherosclerosis,3,6,4
Cancer Research UK,Cancer,Autism,1,1,1
Cancer Research UK,Cancer,Autoimmune Disease,12,13,13
Cancer Research UK,Cancer,Basic Behavioral and Social Science,12,18,14
Cancer Research UK,Cancer,Behavioral and Social Science,19,56,53
Cancer Research UK,Cancer,Biodefense,5,5,5
Cancer Research UK,Cancer,Bioengineering,39,74,59
Cancer Research UK,Cancer,Biotechnology,107,246,192
Cancer Research UK,Cancer,Brain Cancer,4,4,4
Cancer Research UK,Cancer,Brain Disorders,38,62,46
Cancer Research UK,Cancer,Breast Cancer,77,254,170
Cancer Research UK,Cancer,Cancer,204,1417,1065
Cancer Research UK,Cancer,Cardiovascular,22,62,46
Cancer Research UK,Cancer,Cervical Cancer,4,8,8
Cancer Research UK,Cancer,Childhood Leukemia,4,4,4
Cancer Research UK,Cancer,Chronic Liver Disease and Cirrhosis,2,2,2
Cancer Research UK,Cancer,Chronic Obstructive Pulmonary Disease,1,1,1
Cancer Research UK,Cancer,Climate-Related Exposures and Conditions,3,3,3
Cancer Research UK,Cancer,Clinical Research,144,823,637
Cancer Research UK,Cancer,Clinical Trials and Supportive Activities,82,205,144
Cancer Research UK,Cancer,Colo-Rectal Cancer,36,77,48
Cancer Research UK,Cancer,Comparative Effectiveness Research,19,19,12
Cancer Research UK,Cancer,Complementary and Alternative Medicine,11,20,19
Cancer Research UK,Cancer,Conditions Affecting the Embryonic and Fetal Periods,1,1,1
Cancer Research UK,Cancer,Congenital Structural Anomalies,4,5,5
Cancer Research UK,Cancer,Contraception/Reproduction,9,9,7
Cancer Research UK,Cancer,Cost Effectiveness Research,1,1,1
Cancer Research UK,Cancer,Dementia,1,1,1
Cancer Research UK,Cancer,Dental/Oral and Craniofacial Disease,11,27,22
Cancer Research UK,Cancer,Depression,3,4,4
Cancer Research UK,Cancer,Diabetes,12,20,13
Cancer Research UK,Cancer,Diagnostic Radiology,44,153,121
Cancer Research UK,Cancer,Digestive Diseases,82,267,205
Cancer Research UK,Cancer,Digestive Diseases - (Peptic Ulcer),2,2,2
Cancer Research UK,Cancer,Drug Abuse (NIDA Only),5,10,8
Cancer Research UK,Cancer,Eating Disorders,2,2,1
Cancer Research UK,Cancer,Emerging Infectious Diseases,17,24,23
Cancer Research UK,Cancer,Epilepsy,1,2,2
Cancer Research UK,Cancer,Estrogen,11,16,11
Cancer Research UK,Cancer,Eye Disease And Disorders Of Vision,6,17,16
Cancer Research UK,Cancer,Gene Therapy,7,13,10
Cancer Research UK,Cancer,Genetic Testing,12,22,18
Cancer Research UK,Cancer,Genetics,138,560,445
Cancer Research UK,Cancer,HIV/AIDS,4,4,4
Cancer Research UK,Cancer,HPV and/or Cervical Cancer Vaccines,2,3,3
Cancer Research UK,Cancer,Health Services,24,48,39
Cancer Research UK,Cancer,Heart Disease,16,22,17
Cancer Research UK,Cancer,Heart Disease - Coronary Heart Disease,6,8,7
Cancer Research UK,Cancer,Hematology,33,66,58
Cancer Research UK,Cancer,Hepatitis - C,2,2,2
Cancer Research UK,Cancer,Human Genome,32,54,48
Cancer Research UK,Cancer,Hypertension,6,18,9
Cancer Research UK,Cancer,Immunization,10,16,15
Cancer Research UK,Cancer,Infant Mortality/ (LBW),4,4,4
Cancer Research UK,Cancer,Infectious Diseases,22,40,39
Cancer Research UK,Cancer,Inflammatory Bowel Disease,1,5,5
Cancer Research UK,Cancer,Injury (total) Accidents/Adverse Effects,1,1,1
Cancer Research UK,Cancer,Injury - Trauma - (Head and Spine),1,1,1
Cancer Research UK,Cancer,Intellectual and Developmental Disabilities (IDD),2,2,2
Cancer Research UK,Cancer,Kidney Disease,23,51,42
Cancer Research UK,Cancer,Liver Cancer,1,2,2
Cancer Research UK,Cancer,Liver Disease,20,24,17
Cancer Research UK,Cancer,Lung,36,50,37
Cancer Research UK,Cancer,Lung Cancer,27,37,30
Cancer Research UK,Cancer,Lymphoma,5,9,9
Cancer Research UK,Cancer,Malaria,1,1,1
Cancer Research UK,Cancer,Mental Health,16,28,24
Cancer Research UK,Cancer,Mind and Body,6,8,8
Cancer Research UK,Cancer,Nanotechnology,5,7,7
Cancer Research UK,Cancer,Networking and Information Technology R&D,7,10,7
Cancer Research UK,Cancer,Neuroblastoma,2,2,1
Cancer Research UK,Cancer,Neurodegenerative,11,13,12
Cancer Research UK,Cancer,Neurosciences,49,114,81
Cancer Research UK,Cancer,Nutrition,19,54,45
Cancer Research UK,Cancer,Obesity,12,31,27
Cancer Research UK,Cancer,Organ Transplantation,1,1,1
Cancer Research UK,Cancer,Orphan Drug,44,67,47
Cancer Research UK,Cancer,Osteoporosis,2,2,2
Cancer Research UK,Cancer,Ovarian Cancer,15,21,15
Cancer Research UK,Cancer,Pain Conditions - Chronic,7,12,12
Cancer Research UK,Cancer,Pain Research,12,16,15
Cancer Research UK,Cancer,Pancreatic Cancer,13,23,20
Cancer Research UK,Cancer,Patient Safety,49,107,87
Cancer Research UK,Cancer,Pediatric,43,88,72
Cancer Research UK,Cancer,Pediatric Cancer,10,10,8
Cancer Research UK,Cancer,Pediatric Research Initiative,6,9,6
Cancer Research UK,Cancer,Perinatal Period - Conditions Originating in Perinatal Period,7,8,8
Cancer Research UK,Cancer,Peripheral Neuropathy,1,1,1
Cancer Research UK,Cancer,Pneumonia & Influenza,2,2,2
Cancer Research UK,Cancer,Prevention,91,228,181
Cancer Research UK,Cancer,Prostate Cancer,9,30,28
Cancer Research UK,Cancer,Psoriasis,1,4,4
Cancer Research UK,Cancer,Rare Diseases,135,319,252
Cancer Research UK,Cancer,Regenerative Medicine,9,13,12
Cancer Research UK,Cancer,Rehabilitation,9,10,9
Cancer Research UK,Cancer,Rheumatoid Arthritis,1,1,1
Cancer Research UK,Cancer,Rural Health,2,2,2
Cancer Research UK,Cancer,Schizophrenia,2,2,1
Cancer Research UK,Cancer,Septicemia,2,2,2
Cancer Research UK,Cancer,Sexually Transmitted Diseases/Herpes,3,8,8
