rcdc_cso,rcdc,cso,pubs,agency
BREAST CANCER * 2. Etiology,BREAST CANCER,2,122.16349206349199,INCa/INSERM/DGOS
NEUROSCIENCES * 1. Biology,NEUROSCIENCES,1,111.87480158730162,INCa/INSERM/DGOS
NEUROSCIENCES * 5. Treatment,NEUROSCIENCES,5,111.14487734487741,INCa/INSERM/DGOS
NUTRITION * 2. Etiology,NUTRITION,2,106.18360389610392,INCa/INSERM/DGOS
LUNG CANCER * 5. Treatment,LUNG CANCER,5,104.57142857142848,INCa/INSERM/DGOS
"BIOTECHNOLOGY * 4. Early Detection, Diagnosis",BIOTECHNOLOGY,4,102.6303571428571,INCa/INSERM/DGOS
HUMAN GENOME * 2. Etiology,HUMAN GENOME,2,99.61455627705628,INCa/INSERM/DGOS
"HEMATOLOGY * 4. Early Detection, Diagnosis",HEMATOLOGY,4,94.04009740259735,INCa/INSERM/DGOS
"PEDIATRIC * 6. Cancer Control, Survivorship",PEDIATRIC,6,89.22193362193367,INCa/INSERM/DGOS
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 5. Treatment,STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,5,87.71661255411276,INCa/INSERM/DGOS
BRAIN DISORDERS * 5. Treatment,BRAIN DISORDERS,5,87.66233766233775,INCa/INSERM/DGOS
COLO-RECTAL CANCER * 5. Treatment,COLO-RECTAL CANCER,5,87.37142857142851,INCa/INSERM/DGOS
"UROLOGIC DISEASES * 4. Early Detection, Diagnosis",UROLOGIC DISEASES,4,86.77261904761897,INCa/INSERM/DGOS
BIOENGINEERING * 5. Treatment,BIOENGINEERING,5,86.41746031746031,INCa/INSERM/DGOS
PEDIATRIC CANCER * 5. Treatment,PEDIATRIC CANCER,5,85.01323953823973,INCa/INSERM/DGOS
HEMATOLOGY * 2. Etiology,HEMATOLOGY,2,78.70168858918865,INCa/INSERM/DGOS
VACCINE RELATED * 1. Biology,VACCINE RELATED,1,78.2376984126984,INCa/INSERM/DGOS
PEDIATRIC * 2. Etiology,PEDIATRIC,2,76.45932539682536,INCa/INSERM/DGOS
PEDIATRIC * 1. Biology,PEDIATRIC,1,75.81657647907652,INCa/INSERM/DGOS
LUNG * 2. Etiology,LUNG,2,72.45767704517708,INCa/INSERM/DGOS
"HEMATOLOGY * 6. Cancer Control, Survivorship",HEMATOLOGY,6,72.33731962481963,INCa/INSERM/DGOS
LIVER DISEASE * 5. Treatment,LIVER DISEASE,5,70.29388528138537,INCa/INSERM/DGOS
BRAIN DISORDERS * 1. Biology,BRAIN DISORDERS,1,70.07857142857151,INCa/INSERM/DGOS
"COLO-RECTAL CANCER * 4. Early Detection, Diagnosis",COLO-RECTAL CANCER,4,69.62857142857142,INCa/INSERM/DGOS
"UROLOGIC DISEASES * 6. Cancer Control, Survivorship",UROLOGIC DISEASES,6,68.03571428571432,INCa/INSERM/DGOS
AGING * 2. Etiology,AGING,2,65.23287545787552,INCa/INSERM/DGOS
"NEUROSCIENCES * 4. Early Detection, Diagnosis",NEUROSCIENCES,4,61.28892496392503,INCa/INSERM/DGOS
"MENTAL HEALTH * 6. Cancer Control, Survivorship",MENTAL HEALTH,6,60.938167388167464,INCa/INSERM/DGOS
"BRAIN DISORDERS * 4. Early Detection, Diagnosis",BRAIN DISORDERS,4,58.74547258297264,INCa/INSERM/DGOS
"COLO-RECTAL CANCER * 6. Cancer Control, Survivorship",COLO-RECTAL CANCER,6,58.703571428571465,INCa/INSERM/DGOS
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 1. Biology,STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN,1,58.38353174603189,INCa/INSERM/DGOS
"LUNG * 4. Early Detection, Diagnosis",LUNG,4,58.07619047619049,INCa/INSERM/DGOS
REGENERATIVE MEDICINE * 5. Treatment,REGENERATIVE MEDICINE,5,56.42160894660913,INCa/INSERM/DGOS
"AGING * 4. Early Detection, Diagnosis",AGING,4,55.454202741702794,INCa/INSERM/DGOS
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 5. Treatment,DENTAL/ORAL AND CRANIOFACIAL DISEASE,5,54.405952380952385,INCa/INSERM/DGOS
"BRAIN DISORDERS * 6. Cancer Control, Survivorship",BRAIN DISORDERS,6,54.03549783549794,INCa/INSERM/DGOS
COLO-RECTAL CANCER * 1. Biology,COLO-RECTAL CANCER,1,53.18373015873017,INCa/INSERM/DGOS
"PROSTATE CANCER * 4. Early Detection, Diagnosis",PROSTATE CANCER,4,51.355952380952424,INCa/INSERM/DGOS
"NEUROSCIENCES * 6. Cancer Control, Survivorship",NEUROSCIENCES,6,51.35503246753252,INCa/INSERM/DGOS
AGING * 1. Biology,AGING,1,50.62837301587305,INCa/INSERM/DGOS
"LIVER DISEASE * 4. Early Detection, Diagnosis",LIVER DISEASE,4,49.827398989899045,INCa/INSERM/DGOS
"HUMAN GENOME * 4. Early Detection, Diagnosis",HUMAN GENOME,4,49.315873015873066,INCa/INSERM/DGOS
"PAIN RESEARCH * 6. Cancer Control, Survivorship",PAIN RESEARCH,6,49.19406565656568,INCa/INSERM/DGOS
CHILDHOOD LEUKEMIA * 5. Treatment,CHILDHOOD LEUKEMIA,5,48.527886002886106,INCa/INSERM/DGOS
LUNG CANCER * 2. Etiology,LUNG CANCER,2,46.42870879120881,INCa/INSERM/DGOS
"LUNG * 6. Cancer Control, Survivorship",LUNG,6,46.36210317460321,INCa/INSERM/DGOS
"DENTAL/ORAL AND CRANIOFACIAL DISEASE * 6. Cancer Control, Survivorship",DENTAL/ORAL AND CRANIOFACIAL DISEASE,6,46.15119047619049,INCa/INSERM/DGOS
"PEDIATRIC * 4. Early Detection, Diagnosis",PEDIATRIC,4,45.6150793650794,INCa/INSERM/DGOS
INFECTIOUS DISEASES * 5. Treatment,INFECTIOUS DISEASES,5,45.49650072150078,INCa/INSERM/DGOS
STEM CELL RESEARCH - NONEMBRYONIC - HUMAN * 1. Biology,STEM CELL RESEARCH - NONEMBRYONIC - HUMAN,1,44.72391774891785,INCa/INSERM/DGOS
LUNG * 1. Biology,LUNG,1,44.29900793650796,INCa/INSERM/DGOS
HIV/AIDS * 2. Etiology,HIV/AIDS,2,44.0917790542791,INCa/INSERM/DGOS
ESTROGEN * 2. Etiology,ESTROGEN,2,43.82857142857145,INCa/INSERM/DGOS
"NUTRITION * 6. Cancer Control, Survivorship",NUTRITION,6,43.51091269841272,INCa/INSERM/DGOS
BIOENGINEERING * 1. Biology,BIOENGINEERING,1,43.33531746031746,INCa/INSERM/DGOS
TOBACCO * 2. Etiology,TOBACCO,2,41.48750000000004,INCa/INSERM/DGOS
PANCREATIC CANCER * 5. Treatment,PANCREATIC CANCER,5,41.27500000000004,INCa/INSERM/DGOS
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 2. Etiology,CLIMATE-RELATED EXPOSURES AND CONDITIONS,2,41.16666666666667,INCa/INSERM/DGOS
SMOKING AND HEALTH * 2. Etiology,SMOKING AND HEALTH,2,41.154166666666704,INCa/INSERM/DGOS
LYMPHOMA * 2. Etiology,LYMPHOMA,2,40.92192668442673,INCa/INSERM/DGOS
LIVER DISEASE * 2. Etiology,LIVER DISEASE,2,40.86925019425029,INCa/INSERM/DGOS
"LYMPHOMA * 4. Early Detection, Diagnosis",LYMPHOMA,4,39.91926406926407,INCa/INSERM/DGOS
BIOTECHNOLOGY * 2. Etiology,BIOTECHNOLOGY,2,39.07292568542572,INCa/INSERM/DGOS
UROLOGIC DISEASES * 1. Biology,UROLOGIC DISEASES,1,38.299404761904746,INCa/INSERM/DGOS
INFECTIOUS DISEASES * 1. Biology,INFECTIOUS DISEASES,1,37.53472222222224,INCa/INSERM/DGOS
"PAIN CONDITIONS - CHRONIC * 6. Cancer Control, Survivorship",PAIN CONDITIONS - CHRONIC,6,36.96787518037519,INCa/INSERM/DGOS
"LUNG CANCER * 4. Early Detection, Diagnosis",LUNG CANCER,4,36.95952380952381,INCa/INSERM/DGOS
"CARDIOVASCULAR * 6. Cancer Control, Survivorship",CARDIOVASCULAR,6,36.81240981240982,INCa/INSERM/DGOS
"INFECTIOUS DISEASES * 6. Cancer Control, Survivorship",INFECTIOUS DISEASES,6,36.58885281385281,INCa/INSERM/DGOS
BRAIN CANCER * 5. Treatment,BRAIN CANCER,5,35.74920634920634,INCa/INSERM/DGOS
PEDIATRIC RESEARCH INITIATIVE * 5. Treatment,PEDIATRIC RESEARCH INITIATIVE,5,34.7254329004329,INCa/INSERM/DGOS
EMERGING INFECTIOUS DISEASES * 2. Etiology,EMERGING INFECTIOUS DISEASES,2,34.605956543456585,INCa/INSERM/DGOS
OBESITY * 2. Etiology,OBESITY,2,34.265386002886,INCa/INSERM/DGOS
SUBSTANCE ABUSE * 2. Etiology,SUBSTANCE ABUSE,2,33.58663836163836,INCa/INSERM/DGOS
PEDIATRIC CANCER * 1. Biology,PEDIATRIC CANCER,1,32.71836219336221,INCa/INSERM/DGOS
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 2. Etiology,DENTAL/ORAL AND CRANIOFACIAL DISEASE,2,31.451190476190465,INCa/INSERM/DGOS
LIVER DISEASE * 1. Biology,LIVER DISEASE,1,31.332557720057746,INCa/INSERM/DGOS
OBESITY * 3. Prevention,OBESITY,3,31.31111111111111,INCa/INSERM/DGOS
UROLOGIC DISEASES * 2. Etiology,UROLOGIC DISEASES,2,30.62896825396825,INCa/INSERM/DGOS
REGENERATIVE MEDICINE * 1. Biology,REGENERATIVE MEDICINE,1,30.39305555555553,INCa/INSERM/DGOS
OVARIAN CANCER * 5. Treatment,OVARIAN CANCER,5,29.152380952380945,INCa/INSERM/DGOS
"ALCOHOLISM, ALCOHOL USE AND HEALTH * 2. Etiology",ALCOHOLISM ALCOHOL USE AND HEALTH,2,28.607586857586856,INCa/INSERM/DGOS
BRAIN DISORDERS * 2. Etiology,BRAIN DISORDERS,2,28.416407203907212,INCa/INSERM/DGOS
LYMPHOMA * 1. Biology,LYMPHOMA,1,28.34960317460317,INCa/INSERM/DGOS
GENETIC TESTING * 2. Etiology,GENETIC TESTING,2,28.102164502164488,INCa/INSERM/DGOS
"REHABILITATION * 6. Cancer Control, Survivorship",REHABILITATION,6,27.93059163059162,INCa/INSERM/DGOS
"BRAIN CANCER * 4. Early Detection, Diagnosis",BRAIN CANCER,4,27.512698412698413,INCa/INSERM/DGOS
"TRANSPLANTATION * 6. Cancer Control, Survivorship",TRANSPLANTATION,6,27.482178932178922,INCa/INSERM/DGOS
SEXUALLY TRANSMITTED DISEASES/HERPES * 2. Etiology,SEXUALLY TRANSMITTED DISEASES/HERPES,2,27.08829365079364,INCa/INSERM/DGOS
VACCINE RELATED * 2. Etiology,VACCINE RELATED,2,26.85589826839829,INCa/INSERM/DGOS
COLO-RECTAL CANCER * 2. Etiology,COLO-RECTAL CANCER,2,26.80476190476191,INCa/INSERM/DGOS
EMERGING INFECTIOUS DISEASES * 1. Biology,EMERGING INFECTIOUS DISEASES,1,26.629978354978363,INCa/INSERM/DGOS
STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN * 5. Treatment,STEM CELL RESEARCH - NONEMBRYONIC - NON-HUMAN,5,26.44855699855699,INCa/INSERM/DGOS
"PROSTATE CANCER * 6. Cancer Control, Survivorship",PROSTATE CANCER,6,26.255952380952372,INCa/INSERM/DGOS
BRAIN CANCER * 1. Biology,BRAIN CANCER,1,25.58630952380952,INCa/INSERM/DGOS
CARDIOVASCULAR * 5. Treatment,CARDIOVASCULAR,5,25.5845238095238,INCa/INSERM/DGOS
"MIND AND BODY * 6. Cancer Control, Survivorship",MIND AND BODY,6,25.38198051948051,INCa/INSERM/DGOS
"DEPRESSION * 6. Cancer Control, Survivorship",DEPRESSION,6,24.83221500721499,INCa/INSERM/DGOS
"COST EFFECTIVENESS RESEARCH * 6. Cancer Control, Survivorship",COST EFFECTIVENESS RESEARCH,6,24.825000000000006,INCa/INSERM/DGOS
"CERVICAL CANCER * 4. Early Detection, Diagnosis",CERVICAL CANCER,4,24.5186507936508,INCa/INSERM/DGOS
AUTOIMMUNE DISEASE * 1. Biology,AUTOIMMUNE DISEASE,1,24.38273809523809,INCa/INSERM/DGOS
"KIDNEY DISEASE * 4. Early Detection, Diagnosis",KIDNEY DISEASE,4,24.24642857142857,INCa/INSERM/DGOS
LUNG CANCER * 1. Biology,LUNG CANCER,1,24.173412698412694,INCa/INSERM/DGOS
CHRONIC LIVER DISEASE AND CIRRHOSIS * 2. Etiology,CHRONIC LIVER DISEASE AND CIRRHOSIS,2,23.837576312576356,INCa/INSERM/DGOS
NEURODEGENERATIVE * 1. Biology,NEURODEGENERATIVE,1,23.407539682539678,INCa/INSERM/DGOS
BIODEFENSE * 1. Biology,BIODEFENSE,1,22.572619047619053,INCa/INSERM/DGOS
KIDNEY DISEASE * 1. Biology,KIDNEY DISEASE,1,22.444047619047623,INCa/INSERM/DGOS
"LUNG CANCER * 6. Cancer Control, Survivorship",LUNG CANCER,6,22.41646825396826,INCa/INSERM/DGOS
CHILDHOOD LEUKEMIA * 1. Biology,CHILDHOOD LEUKEMIA,1,22.351695526695533,INCa/INSERM/DGOS
"CONTRACEPTION/REPRODUCTION * 6. Cancer Control, Survivorship",CONTRACEPTION/REPRODUCTION,6,22.245238095238086,INCa/INSERM/DGOS
"KIDNEY DISEASE * 6. Cancer Control, Survivorship",KIDNEY DISEASE,6,22.069047619047623,INCa/INSERM/DGOS
PANCREATIC CANCER * 1. Biology,PANCREATIC CANCER,1,21.968650793650788,INCa/INSERM/DGOS
HEPATITIS * 2. Etiology,HEPATITIS,2,21.878160728160754,INCa/INSERM/DGOS
"HEART DISEASE * 6. Cancer Control, Survivorship",HEART DISEASE,6,20.52074314574314,INCa/INSERM/DGOS
ORPHAN DRUG * 1. Biology,ORPHAN DRUG,1,20.11138167388167,INCa/INSERM/DGOS
PAIN RESEARCH * 5. Treatment,PAIN RESEARCH,5,19.942261904761907,INCa/INSERM/DGOS
EMERGING INFECTIOUS DISEASES * 5. Treatment,EMERGING INFECTIOUS DISEASES,5,19.799873737373744,INCa/INSERM/DGOS
NEUROSCIENCES * 2. Etiology,NEUROSCIENCES,2,19.51224053724054,INCa/INSERM/DGOS
LIVER CANCER * 5. Treatment,LIVER CANCER,5,19.46666666666666,INCa/INSERM/DGOS
NUTRITION * 1. Biology,NUTRITION,1,19.397619047619052,INCa/INSERM/DGOS
PROSTATE CANCER * 1. Biology,PROSTATE CANCER,1,19.04821428571429,INCa/INSERM/DGOS
DIGESTIVE DISEASES * 3. Prevention,DIGESTIVE DISEASES,3,18.986670274170283,INCa/INSERM/DGOS
"DENTAL/ORAL AND CRANIOFACIAL DISEASE * 4. Early Detection, Diagnosis",DENTAL/ORAL AND CRANIOFACIAL DISEASE,4,17.88888888888889,INCa/INSERM/DGOS
"PEDIATRIC CANCER * 4. Early Detection, Diagnosis",PEDIATRIC CANCER,4,17.816269841269836,INCa/INSERM/DGOS
KIDNEY DISEASE * 2. Etiology,KIDNEY DISEASE,2,17.742857142857137,INCa/INSERM/DGOS
NEURODEGENERATIVE * 5. Treatment,NEURODEGENERATIVE,5,17.704563492063492,INCa/INSERM/DGOS
TOBACCO * 3. Prevention,TOBACCO,3,17.43412698412698,INCa/INSERM/DGOS
SMOKING AND HEALTH * 3. Prevention,SMOKING AND HEALTH,3,17.43412698412698,INCa/INSERM/DGOS
DIABETES * 2. Etiology,DIABETES,2,17.26015512265512,INCa/INSERM/DGOS
CONTRACEPTION/REPRODUCTION * 2. Etiology,CONTRACEPTION/REPRODUCTION,2,17.163492063492058,INCa/INSERM/DGOS
CARDIOVASCULAR * 3. Prevention,CARDIOVASCULAR,3,17.075,INCa/INSERM/DGOS
AGING * 3. Prevention,AGING,3,17.056746031746034,INCa/INSERM/DGOS
CERVICAL CANCER * 2. Etiology,CERVICAL CANCER,2,17.006547619047616,INCa/INSERM/DGOS
CONTRACEPTION/REPRODUCTION * 1. Biology,CONTRACEPTION/REPRODUCTION,1,16.992857142857144,INCa/INSERM/DGOS
CARDIOVASCULAR * 1. Biology,CARDIOVASCULAR,1,16.98611111111111,INCa/INSERM/DGOS
DENTAL/ORAL AND CRANIOFACIAL DISEASE * 1. Biology,DENTAL/ORAL AND CRANIOFACIAL DISEASE,1,16.97142857142857,INCa/INSERM/DGOS
VACCINE RELATED * 3. Prevention,VACCINE RELATED,3,16.661670274170262,INCa/INSERM/DGOS
PEDIATRIC CANCER * 2. Etiology,PEDIATRIC CANCER,2,16.50833333333334,INCa/INSERM/DGOS
PEDIATRIC RESEARCH INITIATIVE * 2. Etiology,PEDIATRIC RESEARCH INITIATIVE,2,16.322420634920636,INCa/INSERM/DGOS
OVARIAN CANCER * 2. Etiology,OVARIAN CANCER,2,16.2876984126984,INCa/INSERM/DGOS
"NANOTECHNOLOGY * 4. Early Detection, Diagnosis",NANOTECHNOLOGY,4,15.655555555555555,INCa/INSERM/DGOS
LIVER CANCER * 2. Etiology,LIVER CANCER,2,15.63513014763013,INCa/INSERM/DGOS
NANOTECHNOLOGY * 5. Treatment,NANOTECHNOLOGY,5,15.463888888888883,INCa/INSERM/DGOS
ESTROGEN * 5. Treatment,ESTROGEN,5,15.416666666666668,INCa/INSERM/DGOS
"PEDIATRIC CANCER * 6. Cancer Control, Survivorship",PEDIATRIC CANCER,6,15.337409812409804,INCa/INSERM/DGOS
HIV/AIDS * 1. Biology,HIV/AIDS,1,15.140476190476189,INCa/INSERM/DGOS
"INFECTIOUS DISEASES * 4. Early Detection, Diagnosis",INFECTIOUS DISEASES,4,14.5275974025974,INCa/INSERM/DGOS
NUTRITION * 5. Treatment,NUTRITION,5,14.234523809523811,INCa/INSERM/DGOS
"PANCREATIC CANCER * 4. Early Detection, Diagnosis",PANCREATIC CANCER,4,14.166666666666664,INCa/INSERM/DGOS
HUMAN GENOME * 5. Treatment,HUMAN GENOME,5,14.114880952380956,INCa/INSERM/DGOS
"CARDIOVASCULAR * 4. Early Detection, Diagnosis",CARDIOVASCULAR,4,14.018686868686867,INCa/INSERM/DGOS
AUTOIMMUNE DISEASE * 5. Treatment,AUTOIMMUNE DISEASE,5,13.981547619047621,INCa/INSERM/DGOS
"LIVER CANCER * 4. Early Detection, Diagnosis",LIVER CANCER,4,13.77777777777777,INCa/INSERM/DGOS
"CHRONIC LIVER DISEASE AND CIRRHOSIS * 4. Early Detection, Diagnosis",CHRONIC LIVER DISEASE AND CIRRHOSIS,4,13.340494227994222,INCa/INSERM/DGOS
"DIABETES * 6. Cancer Control, Survivorship",DIABETES,6,13.284722222222221,INCa/INSERM/DGOS
"OVARIAN CANCER * 6. Cancer Control, Survivorship",OVARIAN CANCER,6,13.259523809523804,INCa/INSERM/DGOS
PEDIATRIC * 3. Prevention,PEDIATRIC,3,13.128968253968253,INCa/INSERM/DGOS
"GENETIC TESTING * 4. Early Detection, Diagnosis",GENETIC TESTING,4,12.957738095238097,INCa/INSERM/DGOS
"GENETICS * 6. Cancer Control, Survivorship",GENETICS,6,12.817857142857141,INCa/INSERM/DGOS
"NEURODEGENERATIVE * 6. Cancer Control, Survivorship",NEURODEGENERATIVE,6,12.450270562770555,INCa/INSERM/DGOS
"HIV/AIDS * 6. Cancer Control, Survivorship",HIV/AIDS,6,12.40059523809524,INCa/INSERM/DGOS
CLIMATE-RELATED EXPOSURES AND CONDITIONS * 3. Prevention,CLIMATE-RELATED EXPOSURES AND CONDITIONS,3,12.375,INCa/INSERM/DGOS
"LIVER DISEASE * 6. Cancer Control, Survivorship",LIVER DISEASE,6,12.106800144300141,INCa/INSERM/DGOS
"AUTOIMMUNE DISEASE * 6. Cancer Control, Survivorship",AUTOIMMUNE DISEASE,6,12.062698412698408,INCa/INSERM/DGOS
GENE THERAPY * 5. Treatment,GENE THERAPY,5,11.967496392496393,INCa/INSERM/DGOS
"STEM CELL RESEARCH * 6. Cancer Control, Survivorship",STEM CELL RESEARCH,6,11.876406926406924,INCa/INSERM/DGOS
DIABETES * 1. Biology,DIABETES,1,11.626190476190475,INCa/INSERM/DGOS
"OVARIAN CANCER * 4. Early Detection, Diagnosis",OVARIAN CANCER,4,11.458333333333336,INCa/INSERM/DGOS
AUTOIMMUNE DISEASE * 2. Etiology,AUTOIMMUNE DISEASE,2,10.796536796536795,INCa/INSERM/DGOS
HIV/AIDS * 5. Treatment,HIV/AIDS,5,10.785750360750358,INCa/INSERM/DGOS
"ORPHAN DRUG * 4. Early Detection, Diagnosis",ORPHAN DRUG,4,10.755555555555553,INCa/INSERM/DGOS
BREAST CANCER * 3. Prevention,BREAST CANCER,3,10.6281746031746,INCa/INSERM/DGOS
TRANSPLANTATION * 1. Biology,TRANSPLANTATION,1,10.588095238095235,INCa/INSERM/DGOS
BIODEFENSE * 2. Etiology,BIODEFENSE,2,10.394191919191913,INCa/INSERM/DGOS
"PEDIATRIC RESEARCH INITIATIVE * 4. Early Detection, Diagnosis",PEDIATRIC RESEARCH INITIATIVE,4,10.37222222222222,INCa/INSERM/DGOS
HEART DISEASE * 5. Treatment,HEART DISEASE,5,10.26785714285714,INCa/INSERM/DGOS
"BIOENGINEERING * 6. Cancer Control, Survivorship",BIOENGINEERING,6,10.122258297258297,INCa/INSERM/DGOS
STEM CELL RESEARCH * 2. Etiology,STEM CELL RESEARCH,2,10.018398268398263,INCa/INSERM/DGOS
LIVER CANCER * 1. Biology,LIVER CANCER,1,9.949224386724383,INCa/INSERM/DGOS
CERVICAL CANCER * 5. Treatment,CERVICAL CANCER,5,9.947619047619048,INCa/INSERM/DGOS
INFECTIOUS DISEASES * 3. Prevention,INFECTIOUS DISEASES,3,9.816432178932176,INCa/INSERM/DGOS
CARDIOVASCULAR * 2. Etiology,CARDIOVASCULAR,2,9.776190476190477,INCa/INSERM/DGOS
HEPATITIS - C * 2. Etiology,HEPATITIS - C,2,9.729567654567642,INCa/INSERM/DGOS
"OBESITY * 6. Cancer Control, Survivorship",OBESITY,6,9.64424603174603,INCa/INSERM/DGOS
"CHILDHOOD LEUKEMIA * 4. Early Detection, Diagnosis",CHILDHOOD LEUKEMIA,4,9.624404761904763,INCa/INSERM/DGOS
PEDIATRIC RESEARCH INITIATIVE * 1. Biology,PEDIATRIC RESEARCH INITIATIVE,1,9.592370129870131,INCa/INSERM/DGOS
"AUTOIMMUNE DISEASE * 4. Early Detection, Diagnosis",AUTOIMMUNE DISEASE,4,9.3,INCa/INSERM/DGOS
"STEM CELL RESEARCH * 4. Early Detection, Diagnosis",STEM CELL RESEARCH,4,9.157142857142855,INCa/INSERM/DGOS
ESTROGEN * 1. Biology,ESTROGEN,1,8.951190476190474,INCa/INSERM/DGOS
"LYMPHOMA * 6. Cancer Control, Survivorship",LYMPHOMA,6,8.918055555555553,INCa/INSERM/DGOS
PAIN CONDITIONS - CHRONIC * 5. Treatment,PAIN CONDITIONS - CHRONIC,5,8.858928571428573,INCa/INSERM/DGOS
"SCHIZOPHRENIA * 6. Cancer Control, Survivorship",SCHIZOPHRENIA,6,8.759523809523808,INCa/INSERM/DGOS
CHRONIC LIVER DISEASE AND CIRRHOSIS * 5. Treatment,CHRONIC LIVER DISEASE AND CIRRHOSIS,5,8.508567821067821,INCa/INSERM/DGOS
"INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS * 6. Cancer Control, Survivorship",INJURY (TOTAL) ACCIDENTS/ADVERSE EFFECTS,6,8.477777777777778,INCa/INSERM/DGOS
GENETIC TESTING * 1. Biology,GENETIC TESTING,1,8.477579365079363,INCa/INSERM/DGOS
