funder_name,grnt_rcdc,pub_rcdc,nb_grnts,nb_obs,nb_pubs
Cancer Research UK,,Foodborne Illness,4,4,2
Cancer Research UK,,Gene Therapy,1,1,1
Cancer Research UK,,Genetic Testing,15,19,12
Cancer Research UK,,Genetics,209,1086,779
Cancer Research UK,,HIV/AIDS,20,40,30
Cancer Research UK,,HPV and/or Cervical Cancer Vaccines,5,5,2
Cancer Research UK,,Health Services,34,67,59
Cancer Research UK,,Heart Disease,19,25,20
Cancer Research UK,,Heart Disease - Coronary Heart Disease,4,4,3
Cancer Research UK,,Hematology,48,92,71
Cancer Research UK,,Hepatitis,4,4,3
Cancer Research UK,,Hepatitis - B,1,1,1
Cancer Research UK,,Human Fetal Tissue,1,1,1
Cancer Research UK,,Human Genome,51,116,77
Cancer Research UK,,Hypertension,6,7,4
Cancer Research UK,,Immunization,26,41,28
Cancer Research UK,,Infant Mortality/ (LBW),3,3,3
Cancer Research UK,,Infectious Diseases,49,78,63
Cancer Research UK,,Inflammatory Bowel Disease,5,9,7
Cancer Research UK,,Influenza,1,1,1
Cancer Research UK,,Injury (total) Accidents/Adverse Effects,3,3,3
Cancer Research UK,,Injury - Trauma - (Head and Spine),1,1,1
Cancer Research UK,,Intellectual and Developmental Disabilities (IDD),6,6,5
Cancer Research UK,,Kidney Disease,28,79,48
Cancer Research UK,,Liver Cancer,2,2,2
Cancer Research UK,,Liver Disease,17,30,27
Cancer Research UK,,Lung,46,106,84
Cancer Research UK,,Lung Cancer,20,27,19
Cancer Research UK,,Lupus,5,5,4
Cancer Research UK,,Lymphoma,13,22,20
Cancer Research UK,,Macular Degeneration,1,1,1
Cancer Research UK,,Mental Health,19,32,24
Cancer Research UK,,Mind and Body,10,15,9
Cancer Research UK,,Nanotechnology,7,10,8
Cancer Research UK,,Networking and Information Technology R&D,10,14,10
Cancer Research UK,,Neuroblastoma,1,1,1
Cancer Research UK,,Neurodegenerative,12,15,13
Cancer Research UK,,Neurosciences,37,61,51
Cancer Research UK,,Nutrition,44,103,64
Cancer Research UK,,Obesity,11,41,23
Cancer Research UK,,Organ Transplantation,1,1,1
Cancer Research UK,,Orphan Drug,31,38,29
Cancer Research UK,,Osteoporosis,11,13,6
Cancer Research UK,,Ovarian Cancer,23,54,44
Cancer Research UK,,Pain Conditions - Chronic,4,9,9
Cancer Research UK,,Pain Research,5,6,6
Cancer Research UK,,Pancreatic Cancer,12,13,9
Cancer Research UK,,Parkinson's Disease,2,2,1
Cancer Research UK,,Patient Safety,23,37,35
Cancer Research UK,,Pediatric,52,114,79
Cancer Research UK,,Pediatric AIDS,1,1,1
Cancer Research UK,,Pediatric Cancer,10,10,9
Cancer Research UK,,Pediatric Research Initiative,9,11,8
Cancer Research UK,,Perinatal Period - Conditions Originating in Perinatal Period,2,2,2
Cancer Research UK,,Peripheral Neuropathy,1,1,1
Cancer Research UK,,Pneumonia & Influenza,1,1,1
Cancer Research UK,,Prevention,106,295,211
Cancer Research UK,,Prostate Cancer,35,106,61
Cancer Research UK,,Rare Diseases,170,502,385
Cancer Research UK,,Regenerative Medicine,23,29,25
Cancer Research UK,,Rehabilitation,11,13,8
Cancer Research UK,,Schizophrenia,5,5,2
Cancer Research UK,,Sexually Transmitted Diseases/Herpes,11,16,8
Cancer Research UK,,Sickle Cell Disease,2,2,2
Cancer Research UK,,Sleep Research,4,4,2
Cancer Research UK,,Smoking and Health,24,114,81
Cancer Research UK,,Stem Cell Research,66,122,94
Cancer Research UK,,Stem Cell Research - Embryonic - Human,2,2,2
Cancer Research UK,,Stem Cell Research - Embryonic - Non-Human,5,7,6
Cancer Research UK,,Stem Cell Research - Induced Pluripotent Stem Cell,1,1,1
Cancer Research UK,,Stem Cell Research - Nonembryonic - Human,12,17,14
Cancer Research UK,,Stem Cell Research - Nonembryonic - Non-Human,15,18,14
Cancer Research UK,,Stroke,4,13,11
Cancer Research UK,,Substance Abuse,8,18,16
Cancer Research UK,,Suicide,1,1,1
Cancer Research UK,,Teenage Pregnancy,1,1,1
Cancer Research UK,,Tobacco,10,35,32
Cancer Research UK,,Transplantation,17,32,22
Cancer Research UK,,Tuberculosis,2,2,2
Cancer Research UK,,Urologic Diseases,47,122,86
Cancer Research UK,,Uterine Cancer,10,12,8
Cancer Research UK,,Vaccine Related,32,53,41
Cancer Research UK,,Violence Research,1,1,1
Cancer Research UK,Adolescent Sexual Activity,,1,1,0
Cancer Research UK,Aging,,89,1043,630
Cancer Research UK,Aging,Aging,58,1287,578
Cancer Research UK,Aging,"Alcoholism, Alcohol Use and Health",4,6,6
Cancer Research UK,Aging,Antimicrobial Resistance,4,4,2
Cancer Research UK,Aging,Asthma,1,1,1
Cancer Research UK,Aging,Atherosclerosis,4,7,4
Cancer Research UK,Aging,Autoimmune Disease,1,1,1
Cancer Research UK,Aging,Basic Behavioral and Social Science,6,10,8
Cancer Research UK,Aging,Behavioral and Social Science,6,21,21
Cancer Research UK,Aging,Bioengineering,6,7,6
Cancer Research UK,Aging,Biotechnology,19,32,16
Cancer Research UK,Aging,Brain Cancer,1,1,1
Cancer Research UK,Aging,Brain Disorders,1,1,1
Cancer Research UK,Aging,Breast Cancer,33,106,48
Cancer Research UK,Aging,Burden of Illness,2,2,1
Cancer Research UK,Aging,Cancer,54,476,298
Cancer Research UK,Aging,Cardiovascular,8,9,7
Cancer Research UK,Aging,Cervical Cancer,7,17,12
Cancer Research UK,Aging,Clinical Research,40,134,94
Cancer Research UK,Aging,Clinical Trials and Supportive Activities,15,34,22
Cancer Research UK,Aging,Colo-Rectal Cancer,7,11,9
Cancer Research UK,Aging,Comparative Effectiveness Research,6,7,5
Cancer Research UK,Aging,Complementary and Alternative Medicine,1,1,1
Cancer Research UK,Aging,Contraception/Reproduction,2,2,2
Cancer Research UK,Aging,Cost Effectiveness Research,1,1,1
Cancer Research UK,Aging,Dental/Oral and Craniofacial Disease,2,2,2
Cancer Research UK,Aging,Depression,5,5,4
Cancer Research UK,Aging,Diabetes,4,7,7
Cancer Research UK,Aging,Diagnostic Radiology,13,15,10
Cancer Research UK,Aging,Digestive Diseases,17,30,26
Cancer Research UK,Aging,Estrogen,5,5,2
Cancer Research UK,Aging,Genetic Testing,5,8,3
Cancer Research UK,Aging,Genetics,37,231,114
Cancer Research UK,Aging,HIV/AIDS,6,25,12
Cancer Research UK,Aging,HPV and/or Cervical Cancer Vaccines,4,4,1
Cancer Research UK,Aging,Health Services,21,49,32
Cancer Research UK,Aging,Heart Disease,8,9,5
Cancer Research UK,Aging,Hematology,4,4,4
Cancer Research UK,Aging,Human Genome,18,41,23
Cancer Research UK,Aging,Hypertension,1,1,1
Cancer Research UK,Aging,Immunization,4,7,3
Cancer Research UK,Aging,Infant Mortality/ (LBW),2,5,5
Cancer Research UK,Aging,Infectious Diseases,11,24,16
Cancer Research UK,Aging,Infertility,2,2,1
Cancer Research UK,Aging,Intellectual and Developmental Disabilities (IDD),1,1,1
Cancer Research UK,Aging,Kidney Disease,5,7,5
Cancer Research UK,Aging,Liver Disease,1,1,1
Cancer Research UK,Aging,Lung,7,11,11
Cancer Research UK,Aging,Lung Cancer,3,3,3
Cancer Research UK,Aging,Lymphoma,1,2,2
Cancer Research UK,Aging,Malaria,1,1,1
Cancer Research UK,Aging,Mental Health,7,9,7
Cancer Research UK,Aging,Mind and Body,7,9,5
Cancer Research UK,Aging,Neurodegenerative,1,1,1
Cancer Research UK,Aging,Neurosciences,2,3,3
Cancer Research UK,Aging,Nutrition,11,57,45
Cancer Research UK,Aging,Obesity,5,11,11
Cancer Research UK,Aging,Orphan Drug,2,2,2
Cancer Research UK,Aging,Osteoporosis,5,5,2
Cancer Research UK,Aging,Ovarian Cancer,12,17,7
Cancer Research UK,Aging,Pain Conditions - Chronic,2,2,2
Cancer Research UK,Aging,Pain Research,2,2,2
Cancer Research UK,Aging,Pancreatic Cancer,1,1,1
Cancer Research UK,Aging,Patient Safety,4,5,4
Cancer Research UK,Aging,Pediatric,12,44,35
Cancer Research UK,Aging,Pediatric Research Initiative,1,1,1
Cancer Research UK,Aging,Perinatal - Birth - Preterm (LBW),3,3,2
Cancer Research UK,Aging,Perinatal Period - Conditions Originating in Perinatal Period,1,1,1
Cancer Research UK,Aging,Prevention,44,122,102
Cancer Research UK,Aging,Prostate Cancer,23,44,19
Cancer Research UK,Aging,Rare Diseases,31,81,44
Cancer Research UK,Aging,Rehabilitation,2,2,1
Cancer Research UK,Aging,Rural Health,2,2,2
Cancer Research UK,Aging,Sexually Transmitted Diseases/Herpes,4,15,7
Cancer Research UK,Aging,Sleep Research,2,2,2
Cancer Research UK,Aging,Smoking and Health,4,10,9
Cancer Research UK,Aging,Stem Cell Research,11,14,7
Cancer Research UK,Aging,Stem Cell Research - Induced Pluripotent Stem Cell,2,2,1
Cancer Research UK,Aging,Stem Cell Research - Nonembryonic - Non-Human,1,1,1
Cancer Research UK,Aging,Substance Abuse,3,3,3
Cancer Research UK,Aging,Suicide,3,7,4
Cancer Research UK,Aging,Tobacco,1,1,1
Cancer Research UK,Aging,Urologic Diseases,20,68,36
Cancer Research UK,Aging,Uterine Cancer,3,3,1
Cancer Research UK,Aging,Vaccine Related,6,15,8
Cancer Research UK,Aging,Vector-Borne Diseases,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",,2,2,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Aging,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Brain Disorders,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Genetics,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Heart Disease - Coronary Heart Disease,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Lung,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Neurosciences,1,1,1
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Nutrition,1,2,2
Cancer Research UK,"Alcoholism, Alcohol Use and Health",Smoking and Health,1,1,1
Cancer Research UK,Assistive Technology,,1,12,12
Cancer Research UK,Assistive Technology,Cervical Cancer,1,1,1
Cancer Research UK,Assistive Technology,Dental/Oral and Craniofacial Disease,1,1,1
Cancer Research UK,Assistive Technology,Genetics,1,1,1
Cancer Research UK,Assistive Technology,Infectious Diseases,1,1,1
Cancer Research UK,Assistive Technology,Prevention,1,2,2
Cancer Research UK,Assistive Technology,Rare Diseases,1,1,1
Cancer Research UK,Assistive Technology,Sexually Transmitted Diseases/Herpes,1,1,1
Cancer Research UK,Assistive Technology,Vaccine Related,1,1,1
Cancer Research UK,Ataxia Telangiectasia,,4,6,4
Cancer Research UK,Ataxia Telangiectasia,Aging,2,2,1
Cancer Research UK,Ataxia Telangiectasia,Ataxia Telangiectasia,3,6,4
Cancer Research UK,Ataxia Telangiectasia,Biotechnology,3,3,2
Cancer Research UK,Ataxia Telangiectasia,Brain Disorders,2,2,1
Cancer Research UK,Ataxia Telangiectasia,Breast Cancer,1,1,1
Cancer Research UK,Ataxia Telangiectasia,Cancer,3,4,3
Cancer Research UK,Ataxia Telangiectasia,Clinical Research,2,4,2
Cancer Research UK,Ataxia Telangiectasia,Congenital Structural Anomalies,1,2,2
Cancer Research UK,Ataxia Telangiectasia,Genetic Testing,2,3,2
Cancer Research UK,Ataxia Telangiectasia,Genetics,3,15,13
Cancer Research UK,Ataxia Telangiectasia,Human Genome,3,6,4
Cancer Research UK,Ataxia Telangiectasia,Intellectual and Developmental Disabilities (IDD),2,2,1
Cancer Research UK,Ataxia Telangiectasia,Lupus,1,1,1
Cancer Research UK,Ataxia Telangiectasia,Neurodegenerative,1,1,1
Cancer Research UK,Ataxia Telangiectasia,Neurosciences,1,1,1
Cancer Research UK,Ataxia Telangiectasia,Pediatric,1,1,1
Cancer Research UK,Ataxia Telangiectasia,Rare Diseases,2,6,4
Cancer Research UK,Ataxia Telangiectasia,Stem Cell Research,1,1,1
Cancer Research UK,Autoimmune Disease,,6,70,68
Cancer Research UK,Autoimmune Disease,Aging,1,1,1
Cancer Research UK,Autoimmune Disease,Autoimmune Disease,2,22,22
Cancer Research UK,Autoimmune Disease,Biotechnology,2,2,2
Cancer Research UK,Autoimmune Disease,Brain Disorders,1,1,1
Cancer Research UK,Autoimmune Disease,Cancer,3,38,38
Cancer Research UK,Autoimmune Disease,Chronic Liver Disease and Cirrhosis,1,1,1
Cancer Research UK,Autoimmune Disease,Clinical Research,2,10,10
Cancer Research UK,Autoimmune Disease,Clinical Trials and Supportive Activities,1,4,4
Cancer Research UK,Autoimmune Disease,Colo-Rectal Cancer,3,4,4
Cancer Research UK,Autoimmune Disease,Dental/Oral and Craniofacial Disease,1,1,1
Cancer Research UK,Autoimmune Disease,Diabetes,1,2,2
Cancer Research UK,Autoimmune Disease,Digestive Diseases,3,11,11
Cancer Research UK,Autoimmune Disease,Genetics,3,4,4
Cancer Research UK,Autoimmune Disease,Health Services,2,2,2
Cancer Research UK,Autoimmune Disease,Human Genome,1,1,1
Cancer Research UK,Autoimmune Disease,Immunization,1,1,1
Cancer Research UK,Autoimmune Disease,Infectious Diseases,2,2,2
Cancer Research UK,Autoimmune Disease,Inflammatory Bowel Disease,1,1,1
Cancer Research UK,Autoimmune Disease,Liver Disease,2,2,2
Cancer Research UK,Autoimmune Disease,Lung,1,1,1
Cancer Research UK,Autoimmune Disease,Lung Cancer,1,1,1
Cancer Research UK,Autoimmune Disease,Nutrition,1,4,4
Cancer Research UK,Autoimmune Disease,Obesity,1,1,1
Cancer Research UK,Autoimmune Disease,Orphan Drug,1,1,1
Cancer Research UK,Autoimmune Disease,Patient Safety,1,1,1
Cancer Research UK,Autoimmune Disease,Pediatric,1,1,1
Cancer Research UK,Autoimmune Disease,Prevention,2,5,5
Cancer Research UK,Autoimmune Disease,Prostate Cancer,1,1,1
Cancer Research UK,Autoimmune Disease,Rare Diseases,3,6,6
Cancer Research UK,Autoimmune Disease,Regenerative Medicine,1,3,3
Cancer Research UK,Autoimmune Disease,Stem Cell Research,2,4,4
Cancer Research UK,Autoimmune Disease,Stem Cell Research - Nonembryonic - Human,1,1,1
Cancer Research UK,Autoimmune Disease,Stem Cell Research - Nonembryonic - Non-Human,1,1,1
Cancer Research UK,Autoimmune Disease,Vaccine Related,2,4,4
Cancer Research UK,Basic Behavioral and Social Science,,3,34,32
Cancer Research UK,Basic Behavioral and Social Science,Basic Behavioral and Social Science,3,9,9
Cancer Research UK,Basic Behavioral and Social Science,Behavioral and Social Science,2,7,7
Cancer Research UK,Basic Behavioral and Social Science,Brain Disorders,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Cancer,3,11,11
Cancer Research UK,Basic Behavioral and Social Science,Clinical Research,3,20,19
Cancer Research UK,Basic Behavioral and Social Science,Clinical Trials and Supportive Activities,2,2,2
Cancer Research UK,Basic Behavioral and Social Science,Comparative Effectiveness Research,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Digestive Diseases,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Drug Abuse (NIDA Only),2,6,6
Cancer Research UK,Basic Behavioral and Social Science,Eye Disease And Disorders Of Vision,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Health Services,3,4,4
Cancer Research UK,Basic Behavioral and Social Science,Heart Disease,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Liver Disease,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Lung,2,5,5
Cancer Research UK,Basic Behavioral and Social Science,Mental Health,3,4,4
Cancer Research UK,Basic Behavioral and Social Science,Nutrition,1,2,2
Cancer Research UK,Basic Behavioral and Social Science,Obesity,1,1,1
Cancer Research UK,Basic Behavioral and Social Science,Pediatric,2,4,4
Cancer Research UK,Basic Behavioral and Social Science,Prevention,2,6,6
Cancer Research UK,Basic Behavioral and Social Science,Smoking and Health,2,31,31
Cancer Research UK,Basic Behavioral and Social Science,Substance Abuse,2,12,12
Cancer Research UK,Basic Behavioral and Social Science,Tobacco,2,14,14
Cancer Research UK,Behavioral and Social Science,,40,583,459
Cancer Research UK,Behavioral and Social Science,Acute Respiratory Distress Syndrome,1,1,1
Cancer Research UK,Behavioral and Social Science,Aging,6,18,16
Cancer Research UK,Behavioral and Social Science,"Alcoholism, Alcohol Use and Health",3,3,3
Cancer Research UK,Behavioral and Social Science,Alzheimer's Disease,1,1,1
Cancer Research UK,Behavioral and Social Science,Asthma,1,6,6
Cancer Research UK,Behavioral and Social Science,Autoimmune Disease,1,1,1
Cancer Research UK,Behavioral and Social Science,Behavioral and Social Science,25,427,358
Cancer Research UK,Behavioral and Social Science,Biodefense,1,1,1
Cancer Research UK,Behavioral and Social Science,Biotechnology,3,6,6
Cancer Research UK,Behavioral and Social Science,Brain Disorders,10,16,13
Cancer Research UK,Behavioral and Social Science,Breast Cancer,5,19,19
Cancer Research UK,Behavioral and Social Science,Cancer,27,182,154
Cancer Research UK,Behavioral and Social Science,Cardiovascular,4,5,5
Cancer Research UK,Behavioral and Social Science,Cervical Cancer,3,5,4
Cancer Research UK,Behavioral and Social Science,Chronic Fatigue Syndrome (ME/CFS),1,1,1
Cancer Research UK,Behavioral and Social Science,Chronic Liver Disease and Cirrhosis,1,1,1
Cancer Research UK,Behavioral and Social Science,Clinical Research,22,135,117
Cancer Research UK,Behavioral and Social Science,Clinical Trials and Supportive Activities,13,19,18
Cancer Research UK,Behavioral and Social Science,Colo-Rectal Cancer,3,9,7
Cancer Research UK,Behavioral and Social Science,Comparative Effectiveness Research,3,3,3
Cancer Research UK,Behavioral and Social Science,Complementary and Alternative Medicine,1,1,1
Cancer Research UK,Behavioral and Social Science,Conditions Affecting the Embryonic and Fetal Periods,1,1,1
Cancer Research UK,Behavioral and Social Science,Depression,3,4,3
Cancer Research UK,Behavioral and Social Science,Diagnostic Radiology,1,1,1
Cancer Research UK,Behavioral and Social Science,Digestive Diseases,8,26,24
Cancer Research UK,Behavioral and Social Science,Digestive Diseases - (Peptic Ulcer),1,1,1
Cancer Research UK,Behavioral and Social Science,Drug Abuse (NIDA Only),6,14,8
Cancer Research UK,Behavioral and Social Science,Emerging Infectious Diseases,2,2,1
Cancer Research UK,Behavioral and Social Science,Estrogen,1,2,2
Cancer Research UK,Behavioral and Social Science,Eye Disease And Disorders Of Vision,2,2,2
Cancer Research UK,Behavioral and Social Science,Foodborne Illness,2,2,1
Cancer Research UK,Behavioral and Social Science,Genetics,7,43,42
Cancer Research UK,Behavioral and Social Science,HIV/AIDS,1,1,1
Cancer Research UK,Behavioral and Social Science,HPV and/or Cervical Cancer Vaccines,1,1,1
Cancer Research UK,Behavioral and Social Science,Health Services,15,32,26
Cancer Research UK,Behavioral and Social Science,Heart Disease,3,3,3
Cancer Research UK,Behavioral and Social Science,Hematology,1,1,1
Cancer Research UK,Behavioral and Social Science,Human Genome,2,9,9
Cancer Research UK,Behavioral and Social Science,Immunization,1,2,2
Cancer Research UK,Behavioral and Social Science,Infant Mortality/ (LBW),1,2,2
Cancer Research UK,Behavioral and Social Science,Infectious Diseases,4,11,9
Cancer Research UK,Behavioral and Social Science,Inflammatory Bowel Disease,1,3,3
Cancer Research UK,Behavioral and Social Science,Kidney Disease,1,2,2
Cancer Research UK,Behavioral and Social Science,Liver Disease,2,2,2
Cancer Research UK,Behavioral and Social Science,Lung,12,36,27
Cancer Research UK,Behavioral and Social Science,Lung Cancer,1,1,1
Cancer Research UK,Behavioral and Social Science,Mental Health,7,12,10
Cancer Research UK,Behavioral and Social Science,Mind and Body,3,3,2
Cancer Research UK,Behavioral and Social Science,Neurodegenerative,2,2,2
Cancer Research UK,Behavioral and Social Science,Neurosciences,4,5,5
Cancer Research UK,Behavioral and Social Science,Nutrition,8,34,30
Cancer Research UK,Behavioral and Social Science,Obesity,5,16,14
Cancer Research UK,Behavioral and Social Science,Ovarian Cancer,3,12,12
Cancer Research UK,Behavioral and Social Science,Pain Conditions - Chronic,3,11,11
Cancer Research UK,Behavioral and Social Science,Pain Research,4,16,16
Cancer Research UK,Behavioral and Social Science,Patient Safety,1,1,1
Cancer Research UK,Behavioral and Social Science,Pediatric,12,33,24
Cancer Research UK,Behavioral and Social Science,Pediatric Research Initiative,1,1,1
Cancer Research UK,Behavioral and Social Science,Perinatal - Birth - Preterm (LBW),1,2,2
Cancer Research UK,Behavioral and Social Science,Perinatal - Neonatal Respiratory Distress Syndrome,1,1,1
Cancer Research UK,Behavioral and Social Science,Perinatal Period - Conditions Originating in Perinatal Period,1,5,5
Cancer Research UK,Behavioral and Social Science,Physical Rehabilitation,1,1,1
Cancer Research UK,Behavioral and Social Science,Prevention,15,71,60
Cancer Research UK,Behavioral and Social Science,Prostate Cancer,1,1,1
Cancer Research UK,Behavioral and Social Science,Rare Diseases,11,27,24
Cancer Research UK,Behavioral and Social Science,Rehabilitation,1,1,1
Cancer Research UK,Behavioral and Social Science,Schizophrenia,1,1,1
Cancer Research UK,Behavioral and Social Science,Sexual and Gender Minorities (SGM/LGBT*),1,1,1
Cancer Research UK,Behavioral and Social Science,Sleep Research,1,1,1
Cancer Research UK,Behavioral and Social Science,Smoking and Health,12,112,61
Cancer Research UK,Behavioral and Social Science,Stem Cell Research,1,1,1
Cancer Research UK,Behavioral and Social Science,Substance Abuse,11,40,26
Cancer Research UK,Behavioral and Social Science,Tobacco,11,58,41
Cancer Research UK,Behavioral and Social Science,Underage Drinking,1,1,1
Cancer Research UK,Behavioral and Social Science,Uterine Cancer,1,1,1
Cancer Research UK,Behavioral and Social Science,Vaccine Related,1,1,1
Cancer Research UK,Biodefense,,3,15,13
Cancer Research UK,Biodefense,Autoimmune Disease,1,1,1
Cancer Research UK,Biodefense,Biodefense,1,13,13
Cancer Research UK,Biodefense,Cancer,1,3,3
Cancer Research UK,Biodefense,Genetics,1,2,2
Cancer Research UK,Biodefense,HIV/AIDS,1,2,2
Cancer Research UK,Biodefense,Infectious Diseases,1,3,3
Cancer Research UK,Biodefense,Stem Cell Research - Nonembryonic - Non-Human,1,1,1
Cancer Research UK,Biodefense,Vaccine Related,1,2,2
Cancer Research UK,Bioengineering,,36,298,247
Cancer Research UK,Bioengineering,Aging,3,6,6
Cancer Research UK,Bioengineering,Alzheimer's Disease,1,1,1
Cancer Research UK,Bioengineering,Arthritis,1,1,1
Cancer Research UK,Bioengineering,Autoimmune Disease,2,3,3
Cancer Research UK,Bioengineering,Behavioral and Social Science,2,2,1
Cancer Research UK,Bioengineering,Bioengineering,23,139,112
Cancer Research UK,Bioengineering,Biotechnology,11,29,25
Cancer Research UK,Bioengineering,Brain Cancer,3,3,2
Cancer Research UK,Bioengineering,Brain Disorders,6,13,11
Cancer Research UK,Bioengineering,Breast Cancer,14,21,19
Cancer Research UK,Bioengineering,Cancer,22,148,125
Cancer Research UK,Bioengineering,Cardiovascular,1,1,1
Cancer Research UK,Bioengineering,Cervical Cancer,2,2,2
Cancer Research UK,Bioengineering,Chronic Liver Disease and Cirrhosis,1,1,1
Cancer Research UK,Bioengineering,Chronic Obstructive Pulmonary Disease,1,1,1
Cancer Research UK,Bioengineering,Clinical Research,13,30,28
Cancer Research UK,Bioengineering,Clinical Trials and Supportive Activities,4,6,6
Cancer Research UK,Bioengineering,Colo-Rectal Cancer,1,2,2
Cancer Research UK,Bioengineering,Comparative Effectiveness Research,1,1,1
Cancer Research UK,Bioengineering,Contraception/Reproduction,1,1,1
Cancer Research UK,Bioengineering,Crohn's Disease,1,1,1
Cancer Research UK,Bioengineering,Dental/Oral and Craniofacial Disease,1,1,1
Cancer Research UK,Bioengineering,Diagnostic Radiology,13,71,64
Cancer Research UK,Bioengineering,Digestive Diseases,4,16,16
Cancer Research UK,Bioengineering,Emerging Infectious Diseases,1,1,1
Cancer Research UK,Bioengineering,Estrogen,1,1,1
Cancer Research UK,Bioengineering,Gene Therapy,1,1,1
Cancer Research UK,Bioengineering,Genetic Testing,2,2,2
Cancer Research UK,Bioengineering,Genetics,14,34,31
Cancer Research UK,Bioengineering,HIV/AIDS,3,3,2
Cancer Research UK,Bioengineering,Health Services,4,5,5
Cancer Research UK,Bioengineering,Heart Disease,3,3,2
Cancer Research UK,Bioengineering,Heart Disease - Coronary Heart Disease,2,2,1
Cancer Research UK,Bioengineering,Hematology,4,4,2
Cancer Research UK,Bioengineering,Immunization,2,2,2
Cancer Research UK,Bioengineering,Infectious Diseases,2,2,2
Cancer Research UK,Bioengineering,Inflammatory Bowel Disease,1,5,5
Cancer Research UK,Bioengineering,Injury (total) Accidents/Adverse Effects,2,2,1
Cancer Research UK,Bioengineering,Kidney Disease,1,1,1
Cancer Research UK,Bioengineering,Liver Disease,2,3,3
Cancer Research UK,Bioengineering,Lung,7,7,6
Cancer Research UK,Bioengineering,Lung Cancer,1,1,1
Cancer Research UK,Bioengineering,Lymphoma,1,1,1
Cancer Research UK,Bioengineering,Networking and Information Technology R&D,2,2,2
Cancer Research UK,Bioengineering,Neurofibromatosis,1,1,1
Cancer Research UK,Bioengineering,Neurosciences,8,22,20
