funder_name,rcdc_name_1_grnt,rcdc_name_1_pub,weight
Cancer Research UK,Burden of Illness,Foodborne Illness,1
Cancer Research UK,Burden of Illness,Genetics,2
Cancer Research UK,Burden of Illness,Health Services,1
Cancer Research UK,Burden of Illness,Infectious Diseases,4
Cancer Research UK,Burden of Illness,Lung,5
Cancer Research UK,Burden of Illness,Mental Health,1
Cancer Research UK,Burden of Illness,Nutrition,1
Cancer Research UK,Burden of Illness,Obesity,1
Cancer Research UK,Burden of Illness,Pediatric,6
Cancer Research UK,Burden of Illness,Prevention,4
Cancer Research UK,Burden of Illness,Rare Diseases,2
Cancer Research UK,Burden of Illness,Smoking and Health,14
Cancer Research UK,Burden of Illness,Substance Abuse,5
Cancer Research UK,Burden of Illness,Tobacco,8
Cancer Research UK,Cancer,Agent Orange & Dioxin,1
Cancer Research UK,Cancer,Aging,130
Cancer Research UK,Cancer,"Alcoholism, Alcohol Use and Health",3
Cancer Research UK,Cancer,Allergic Rhinitis (Hay Fever),2
Cancer Research UK,Cancer,Alzheimer's Disease,1
Cancer Research UK,Cancer,Antimicrobial Resistance,4
Cancer Research UK,Cancer,Arthritis,6
Cancer Research UK,Cancer,Assistive Technology,2
Cancer Research UK,Cancer,Asthma,1
Cancer Research UK,Cancer,Atherosclerosis,4
Cancer Research UK,Cancer,Autoimmune Disease,13
Cancer Research UK,Cancer,Basic Behavioral and Social Science,18
Cancer Research UK,Cancer,Behavioral and Social Science,56
Cancer Research UK,Cancer,Biodefense,6
Cancer Research UK,Cancer,Bioengineering,81
Cancer Research UK,Cancer,Biotechnology,186
Cancer Research UK,Cancer,Brain Cancer,8
Cancer Research UK,Cancer,Brain Disorders,71
Cancer Research UK,Cancer,Breast Cancer,173
Cancer Research UK,Cancer,Cancer,1911
Cancer Research UK,Cancer,Cardiovascular,46
Cancer Research UK,Cancer,Cervical Cancer,7
Cancer Research UK,Cancer,Childhood Leukemia,8
Cancer Research UK,Cancer,Chronic Liver Disease and Cirrhosis,2
Cancer Research UK,Cancer,Climate-Related Exposures and Conditions,5
Cancer Research UK,Cancer,Clinical Research,473
Cancer Research UK,Cancer,Clinical Trials and Supportive Activities,155
Cancer Research UK,Cancer,Colo-Rectal Cancer,79
Cancer Research UK,Cancer,Comparative Effectiveness Research,20
Cancer Research UK,Cancer,Complementary and Alternative Medicine,6
Cancer Research UK,Cancer,Conditions Affecting the Embryonic and Fetal Periods,2
Cancer Research UK,Cancer,Congenital Structural Anomalies,5
Cancer Research UK,Cancer,Contraception/Reproduction,10
Cancer Research UK,Cancer,Cost Effectiveness Research,7
Cancer Research UK,Cancer,Dementia,5
Cancer Research UK,Cancer,Dental/Oral and Craniofacial Disease,44
Cancer Research UK,Cancer,Depression,3
Cancer Research UK,Cancer,Diabetes,28
Cancer Research UK,Cancer,Diagnostic Radiology,118
Cancer Research UK,Cancer,Digestive Diseases,162
Cancer Research UK,Cancer,Digestive Diseases - (Gallbladder),1
Cancer Research UK,Cancer,Digestive Diseases - (Peptic Ulcer),4
Cancer Research UK,Cancer,Down Syndrome,1
Cancer Research UK,Cancer,Drug Abuse (NIDA Only),10
Cancer Research UK,Cancer,Emerging Infectious Diseases,27
Cancer Research UK,Cancer,Estrogen,15
Cancer Research UK,Cancer,Eye Disease And Disorders Of Vision,19
Cancer Research UK,Cancer,Gene Therapy,4
Cancer Research UK,Cancer,Genetic Testing,6
Cancer Research UK,Cancer,Genetics,613
Cancer Research UK,Cancer,HIV/AIDS,7
Cancer Research UK,Cancer,HPV and/or Cervical Cancer Vaccines,1
Cancer Research UK,Cancer,Health Services,64
Cancer Research UK,Cancer,Heart Disease,29
Cancer Research UK,Cancer,Heart Disease - Coronary Heart Disease,3
Cancer Research UK,Cancer,Hematology,57
Cancer Research UK,Cancer,Hepatitis,4
Cancer Research UK,Cancer,Human Genome,47
Cancer Research UK,Cancer,Hypertension,36
Cancer Research UK,Cancer,Immunization,14
Cancer Research UK,Cancer,Infant Mortality/ (LBW),5
Cancer Research UK,Cancer,Infectious Diseases,34
Cancer Research UK,Cancer,Inflammatory Bowel Disease,3
Cancer Research UK,Cancer,Injury (total) Accidents/Adverse Effects,2
Cancer Research UK,Cancer,Kidney Disease,65
Cancer Research UK,Cancer,Liver Cancer,1
Cancer Research UK,Cancer,Liver Disease,34
Cancer Research UK,Cancer,Lung,76
Cancer Research UK,Cancer,Lung Cancer,23
Cancer Research UK,Cancer,Lupus,1
Cancer Research UK,Cancer,Lymphoma,11
Cancer Research UK,Cancer,Macular Degeneration,1
Cancer Research UK,Cancer,Malaria,3
Cancer Research UK,Cancer,Mental Health,27
Cancer Research UK,Cancer,Mind and Body,13
Cancer Research UK,Cancer,Multiple Sclerosis,1
Cancer Research UK,Cancer,Nanotechnology,11
Cancer Research UK,Cancer,Networking and Information Technology R&D,10
Cancer Research UK,Cancer,Neuroblastoma,2
Cancer Research UK,Cancer,Neurodegenerative,20
Cancer Research UK,Cancer,Neurosciences,87
Cancer Research UK,Cancer,Nutrition,73
Cancer Research UK,Cancer,Obesity,24
Cancer Research UK,Cancer,Organ Transplantation,2
Cancer Research UK,Cancer,Orphan Drug,32
Cancer Research UK,Cancer,Osteoporosis,9
Cancer Research UK,Cancer,Ovarian Cancer,32
Cancer Research UK,Cancer,Pain Conditions - Chronic,15
Cancer Research UK,Cancer,Pain Research,12
Cancer Research UK,Cancer,Pancreatic Cancer,8
Cancer Research UK,Cancer,Patient Safety,62
Cancer Research UK,Cancer,Pediatric,93
Cancer Research UK,Cancer,Pediatric Cancer,9
Cancer Research UK,Cancer,Pediatric Research Initiative,3
Cancer Research UK,Cancer,Perinatal Period - Conditions Originating in Perinatal Period,10
Cancer Research UK,Cancer,Peripheral Neuropathy,2
Cancer Research UK,Cancer,Physical Rehabilitation,1
Cancer Research UK,Cancer,Prevention,249
Cancer Research UK,Cancer,Prostate Cancer,85
Cancer Research UK,Cancer,Psoriasis,2
Cancer Research UK,Cancer,Rare Diseases,344
Cancer Research UK,Cancer,Regenerative Medicine,10
Cancer Research UK,Cancer,Rehabilitation,7
Cancer Research UK,Cancer,Rural Health,1
Cancer Research UK,Cancer,Schizophrenia,2
Cancer Research UK,Cancer,Sexually Transmitted Diseases/Herpes,6
Cancer Research UK,Cancer,Sleep Research,4
Cancer Research UK,Cancer,Smoking and Health,110
Cancer Research UK,Cancer,Stem Cell Research,48
Cancer Research UK,Cancer,Stem Cell Research - Embryonic - Human,3
Cancer Research UK,Cancer,Stem Cell Research - Embryonic - Non-Human,1
Cancer Research UK,Cancer,Stem Cell Research - Nonembryonic - Human,5
Cancer Research UK,Cancer,Stem Cell Research - Nonembryonic - Non-Human,9
Cancer Research UK,Cancer,Stroke,43
Cancer Research UK,Cancer,Substance Abuse,35
Cancer Research UK,Cancer,Tobacco,56
Cancer Research UK,Cancer,Transplantation,10
Cancer Research UK,Cancer,Tuberculosis,1
Cancer Research UK,Cancer,Underage Drinking,3
Cancer Research UK,Cancer,Urologic Diseases,107
Cancer Research UK,Cancer,Uterine Cancer,2
Cancer Research UK,Cancer,Vaccine Related,32
Cancer Research UK,Cancer,Vector-Borne Diseases,2
Cancer Research UK,Childhood Leukemia,Biotechnology,2
Cancer Research UK,Childhood Leukemia,Breast Cancer,1
Cancer Research UK,Childhood Leukemia,Cancer,15
Cancer Research UK,Childhood Leukemia,Colo-Rectal Cancer,1
Cancer Research UK,Childhood Leukemia,Diagnostic Radiology,1
Cancer Research UK,Childhood Leukemia,Digestive Diseases,1
Cancer Research UK,Childhood Leukemia,Genetics,3
Cancer Research UK,Childhood Leukemia,Pediatric,2
Cancer Research UK,Childhood Leukemia,Pediatric Cancer,1
Cancer Research UK,Childhood Leukemia,Pediatric Research Initiative,1
Cancer Research UK,Childhood Leukemia,Regenerative Medicine,1
Cancer Research UK,Childhood Leukemia,Stem Cell Research,1
Cancer Research UK,Climate-Related Exposures and Conditions,Aging,1
Cancer Research UK,Climate-Related Exposures and Conditions,Biodefense,1
Cancer Research UK,Climate-Related Exposures and Conditions,Bioengineering,1
Cancer Research UK,Climate-Related Exposures and Conditions,Cancer,75
Cancer Research UK,Climate-Related Exposures and Conditions,Childhood Leukemia,2
Cancer Research UK,Climate-Related Exposures and Conditions,Climate-Related Exposures and Conditions,10
Cancer Research UK,Climate-Related Exposures and Conditions,Clinical Research,10
Cancer Research UK,Climate-Related Exposures and Conditions,Clinical Trials and Supportive Activities,2
Cancer Research UK,Climate-Related Exposures and Conditions,Colo-Rectal Cancer,4
Cancer Research UK,Climate-Related Exposures and Conditions,Complementary and Alternative Medicine,2
Cancer Research UK,Climate-Related Exposures and Conditions,Digestive Diseases,9
Cancer Research UK,Climate-Related Exposures and Conditions,Emerging Infectious Diseases,1
Cancer Research UK,Climate-Related Exposures and Conditions,Genetic Testing,2
Cancer Research UK,Climate-Related Exposures and Conditions,Genetics,13
Cancer Research UK,Climate-Related Exposures and Conditions,Human Genome,1
Cancer Research UK,Climate-Related Exposures and Conditions,Infectious Diseases,1
Cancer Research UK,Climate-Related Exposures and Conditions,Lung,2
Cancer Research UK,Climate-Related Exposures and Conditions,Mental Health,1
Cancer Research UK,Climate-Related Exposures and Conditions,Neurosciences,4
Cancer Research UK,Climate-Related Exposures and Conditions,Nutrition,4
Cancer Research UK,Climate-Related Exposures and Conditions,Orphan Drug,1
Cancer Research UK,Climate-Related Exposures and Conditions,Pediatric,1
Cancer Research UK,Climate-Related Exposures and Conditions,Prevention,4
Cancer Research UK,Climate-Related Exposures and Conditions,Psoriasis,2
Cancer Research UK,Climate-Related Exposures and Conditions,Rare Diseases,7
Cancer Research UK,Climate-Related Exposures and Conditions,Substance Abuse,1
Cancer Research UK,Climate-Related Exposures and Conditions,Vaccine Related,3
Cancer Research UK,Clinical Research,Aging,22
Cancer Research UK,Clinical Research,Basic Behavioral and Social Science,1
Cancer Research UK,Clinical Research,Bioengineering,9
Cancer Research UK,Clinical Research,Biotechnology,2
Cancer Research UK,Clinical Research,Brain Cancer,1
Cancer Research UK,Clinical Research,Brain Disorders,1
Cancer Research UK,Clinical Research,Breast Cancer,41
Cancer Research UK,Clinical Research,Cancer,148
Cancer Research UK,Clinical Research,Cardiovascular,1
Cancer Research UK,Clinical Research,Cervical Cancer,3
Cancer Research UK,Clinical Research,Childhood Leukemia,3
Cancer Research UK,Clinical Research,Clinical Research,58
Cancer Research UK,Clinical Research,Clinical Trials and Supportive Activities,16
Cancer Research UK,Clinical Research,Comparative Effectiveness Research,1
Cancer Research UK,Clinical Research,Cost Effectiveness Research,1
Cancer Research UK,Clinical Research,Dental/Oral and Craniofacial Disease,4
Cancer Research UK,Clinical Research,Depression,2
Cancer Research UK,Clinical Research,Diagnostic Radiology,12
Cancer Research UK,Clinical Research,Digestive Diseases,7
Cancer Research UK,Clinical Research,Estrogen,7
Cancer Research UK,Clinical Research,Genetics,20
Cancer Research UK,Clinical Research,HIV/AIDS,8
Cancer Research UK,Clinical Research,HPV and/or Cervical Cancer Vaccines,1
Cancer Research UK,Clinical Research,Health Services,6
Cancer Research UK,Clinical Research,Heart Disease,3
Cancer Research UK,Clinical Research,Heart Disease - Coronary Heart Disease,1
Cancer Research UK,Clinical Research,Hodgkin's Disease,1
Cancer Research UK,Clinical Research,Human Genome,1
Cancer Research UK,Clinical Research,Immunization,2
Cancer Research UK,Clinical Research,Infant Mortality/ (LBW),1
Cancer Research UK,Clinical Research,Infectious Diseases,4
Cancer Research UK,Clinical Research,Lung,2
Cancer Research UK,Clinical Research,Mental Health,1
Cancer Research UK,Clinical Research,Neuroblastoma,1
Cancer Research UK,Clinical Research,Nutrition,2
Cancer Research UK,Clinical Research,Obesity,2
Cancer Research UK,Clinical Research,Organ Transplantation,1
Cancer Research UK,Clinical Research,Orphan Drug,2
Cancer Research UK,Clinical Research,Osteoporosis,5
Cancer Research UK,Clinical Research,Ovarian Cancer,3
Cancer Research UK,Clinical Research,Patient Safety,4
Cancer Research UK,Clinical Research,Pediatric,4
Cancer Research UK,Clinical Research,Pediatric Cancer,1
Cancer Research UK,Clinical Research,Prevention,18
Cancer Research UK,Clinical Research,Prostate Cancer,10
Cancer Research UK,Clinical Research,Rare Diseases,9
Cancer Research UK,Clinical Research,Rehabilitation,5
Cancer Research UK,Clinical Research,Schizophrenia,1
Cancer Research UK,Clinical Research,Sexually Transmitted Diseases/Herpes,4
Cancer Research UK,Clinical Research,Stem Cell Research,1
Cancer Research UK,Clinical Research,Stem Cell Research - Nonembryonic - Non-Human,1
Cancer Research UK,Clinical Research,Transplantation,1
Cancer Research UK,Clinical Research,Urologic Diseases,5
Cancer Research UK,Clinical Research,Vaccine Related,4
Cancer Research UK,Colo-Rectal Cancer,Aging,5
Cancer Research UK,Colo-Rectal Cancer,Behavioral and Social Science,1
Cancer Research UK,Colo-Rectal Cancer,Bioengineering,2
Cancer Research UK,Colo-Rectal Cancer,Biotechnology,5
Cancer Research UK,Colo-Rectal Cancer,Breast Cancer,5
Cancer Research UK,Colo-Rectal Cancer,Cancer,57
Cancer Research UK,Colo-Rectal Cancer,Cardiovascular,4
Cancer Research UK,Colo-Rectal Cancer,Cervical Cancer,1
Cancer Research UK,Colo-Rectal Cancer,Climate-Related Exposures and Conditions,1
Cancer Research UK,Colo-Rectal Cancer,Clinical Research,30
Cancer Research UK,Colo-Rectal Cancer,Clinical Trials and Supportive Activities,4
Cancer Research UK,Colo-Rectal Cancer,Colo-Rectal Cancer,11
Cancer Research UK,Colo-Rectal Cancer,Comparative Effectiveness Research,2
Cancer Research UK,Colo-Rectal Cancer,Contraception/Reproduction,2
Cancer Research UK,Colo-Rectal Cancer,Dental/Oral and Craniofacial Disease,3
Cancer Research UK,Colo-Rectal Cancer,Diabetes,1
Cancer Research UK,Colo-Rectal Cancer,Digestive Diseases,13
Cancer Research UK,Colo-Rectal Cancer,Eye Disease And Disorders Of Vision,1
Cancer Research UK,Colo-Rectal Cancer,Genetics,12
Cancer Research UK,Colo-Rectal Cancer,Health Services,10
Cancer Research UK,Colo-Rectal Cancer,Heart Disease,1
Cancer Research UK,Colo-Rectal Cancer,Hypertension,1
Cancer Research UK,Colo-Rectal Cancer,Infectious Diseases,1
Cancer Research UK,Colo-Rectal Cancer,Kidney Disease,8
Cancer Research UK,Colo-Rectal Cancer,Liver Disease,2
Cancer Research UK,Colo-Rectal Cancer,Lung,1
Cancer Research UK,Colo-Rectal Cancer,Macular Degeneration,1
Cancer Research UK,Colo-Rectal Cancer,Mental Health,1
Cancer Research UK,Colo-Rectal Cancer,Mind and Body,3
Cancer Research UK,Colo-Rectal Cancer,Neurodegenerative,1
Cancer Research UK,Colo-Rectal Cancer,Neurosciences,1
Cancer Research UK,Colo-Rectal Cancer,Nutrition,5
Cancer Research UK,Colo-Rectal Cancer,Pain Conditions - Chronic,3
Cancer Research UK,Colo-Rectal Cancer,Pain Research,1
Cancer Research UK,Colo-Rectal Cancer,Prevention,18
Cancer Research UK,Colo-Rectal Cancer,Prostate Cancer,1
Cancer Research UK,Colo-Rectal Cancer,Rare Diseases,4
Cancer Research UK,Colo-Rectal Cancer,Urologic Diseases,1
Cancer Research UK,Comparative Effectiveness Research,Aging,40
Cancer Research UK,Comparative Effectiveness Research,Antimicrobial Resistance,1
Cancer Research UK,Comparative Effectiveness Research,Atherosclerosis,2
Cancer Research UK,Comparative Effectiveness Research,Autoimmune Disease,1
Cancer Research UK,Comparative Effectiveness Research,Basic Behavioral and Social Science,5
Cancer Research UK,Comparative Effectiveness Research,Behavioral and Social Science,19
Cancer Research UK,Comparative Effectiveness Research,Bioengineering,1
Cancer Research UK,Comparative Effectiveness Research,Biotechnology,5
Cancer Research UK,Comparative Effectiveness Research,Brain Disorders,1
Cancer Research UK,Comparative Effectiveness Research,Breast Cancer,2
Cancer Research UK,Comparative Effectiveness Research,Cancer,96
Cancer Research UK,Comparative Effectiveness Research,Cardiovascular,3
Cancer Research UK,Comparative Effectiveness Research,Cervical Cancer,2
Cancer Research UK,Comparative Effectiveness Research,Clinical Research,57
Cancer Research UK,Comparative Effectiveness Research,Clinical Trials and Supportive Activities,9
Cancer Research UK,Comparative Effectiveness Research,Colo-Rectal Cancer,7
Cancer Research UK,Comparative Effectiveness Research,Comparative Effectiveness Research,1
Cancer Research UK,Comparative Effectiveness Research,Complementary and Alternative Medicine,1
Cancer Research UK,Comparative Effectiveness Research,Conditions Affecting the Embryonic and Fetal Periods,1
Cancer Research UK,Comparative Effectiveness Research,Contraception/Reproduction,2
Cancer Research UK,Comparative Effectiveness Research,Depression,2
Cancer Research UK,Comparative Effectiveness Research,Diabetes,4
Cancer Research UK,Comparative Effectiveness Research,Diagnostic Radiology,3
Cancer Research UK,Comparative Effectiveness Research,Digestive Diseases,13
Cancer Research UK,Comparative Effectiveness Research,Estrogen,1
Cancer Research UK,Comparative Effectiveness Research,Genetic Testing,1
Cancer Research UK,Comparative Effectiveness Research,Genetics,23
Cancer Research UK,Comparative Effectiveness Research,Health Services,11
Cancer Research UK,Comparative Effectiveness Research,Heart Disease,3
